sample_key,user_id,target_group,history_length,passage_index,recency_rank,recency_quartile,history_item,full_legal_ce,removed_legal_ce,removal_improvement,harmful,competitive_steps
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,15,14,2,B00CDGA69Y,0.3202014435402816,0.3072886328212917,0.01291281071898992,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,16,15,3,B007U7LZQO,0.3202014435402816,0.3271754008339485,-0.006973957293666899,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,17,16,3,B005ZCY36K,0.3202014435402816,0.3731713447719812,-0.05296990123169959,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,18,17,3,B003WE34HC,0.3202014435402816,0.32523200175492095,-0.005030558214639325,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,19,18,3,B003UHCV4S,0.3202014435402816,0.30446577828552107,0.015735665254760556,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,20,19,3,B001U5N786,0.3202014435402816,0.26542098725622054,0.054780456284061085,1,5
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,1,0,0,B007Q0OA8A,2.737197001775106,3.4908479849497476,-0.7536509831746416,0,3
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,2,1,0,B005NID08I,2.737197001775106,2.746095657348633,-0.00889865557352687,0,3
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,3,2,1,B005C3F3SY,2.737197001775106,2.5909467538197837,0.14625024795532227,1,3
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,4,3,2,B0051U86Z0,2.737197001775106,3.417090892791748,-0.6798938910166421,0,3
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,5,4,3,B000FK3WDC,2.737197001775106,2.6587984561920166,0.07839854558308934,1,3
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,6,5,3,B0000A9XZ2,2.737197001775106,2.781914154688517,-0.04471715291341116,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,1,0,0,B00C6PWX02,0.13879152092461786,2.5579690833886466,-2.4191775624640286,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,2,1,0,B00C6PWR6M,0.13879152092461786,0.12659737716118494,0.012194143763432919,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,3,2,1,B00C6PVXTY,0.13879152092461786,0.1404115977541854,-0.0016200768295675516,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,4,3,2,B008B68IEA,0.13879152092461786,0.1281881726657351,0.010603348258882761,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,5,4,2,B00840LASY,0.13879152092461786,0.13207578115786114,0.006715739766756712,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,6,5,3,B00840LAB6,0.13879152092461786,0.11997675135110815,0.018814769573509707,0,3
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,7,6,3,B007Y75C2I,0.13879152092461786,0.14262842138608298,-0.0038369004614651203,0,3
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,1,0,0,B0015XJ8KY,1.0851074869278818,1.0005644535995089,0.08454303332837299,1,4
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,2,1,0,B000F9J3M2,1.0851074869278818,1.6415903382003307,-0.5564828512724489,0,4
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,3,2,1,B004G4AP06,1.0851074869278818,1.103357702260837,-0.018250215332955122,0,4
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,4,3,2,B004A1QUFY,1.0851074869278818,1.066862003877759,0.018245483050122857,0,4
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,5,4,2,B001Q8U39I,1.0851074869278818,1.3208664627745748,-0.23575897584669292,0,4
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,6,5,3,B002YI6FC8,1.0851074869278818,1.1299547320231795,-0.044847245095297694,0,4
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,7,6,3,B000ZPF8PC,1.0851074869278818,1.2403795714490116,-0.15527208452112973,0,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,1,0,0,B0028AECR2,1.623078990727663,2.0724241137504578,-0.4493451230227947,0,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,2,1,0,B0085UA7UA,1.623078990727663,1.657228254713118,-0.034149263985455036,0,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,3,2,1,B004C7OIGY,1.623078990727663,1.4466868191957474,0.17639217153191566,1,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,4,3,2,B003TPPXAU,1.623078990727663,1.597979087382555,0.025099903345108032,0,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,5,4,2,B000IBRD74,1.623078990727663,1.7804640382528305,-0.15738504752516747,0,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,6,5,3,B009FU8RT2,1.623078990727663,1.5561119876801968,0.06696700304746628,1,4
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,7,6,3,B0000C9WI2,1.623078990727663,1.631147962063551,-0.008068971335887909,0,4
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,1,0,0,B0042RU0BQ,2.085006535053253,2.5036182403564453,-0.41861170530319214,0,4
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,2,1,0,B0042F99PG,2.085006535053253,1.9836114645004272,0.10139507055282593,1,4
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,3,2,1,B002RL7VNO,2.085006535053253,1.8984382450580597,0.18656828999519348,1,4
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,4,3,2,B0028K2AY4,2.085006535053253,2.1643806993961334,-0.07937416434288025,0,4
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,5,4,3,B000GKXY66,2.085006535053253,2.0582287907600403,0.02677774429321289,0,4
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,6,5,3,B00009XNSY,2.085006535053253,2.2999082505702972,-0.21490171551704407,0,4
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,1,0,0,B00C6BWA8Q,2.1811007255043173,2.4100559948698597,-0.22895526936554234,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,2,1,0,B00CRZXUZI,2.1811007255043173,2.163149714005461,0.01795101149885614,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,3,2,1,B0083SSMEM,2.1811007255043173,2.1499553511093836,0.0311453743949337,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,4,3,1,B007UE75PW,2.1811007255043173,2.2655970162692634,-0.08449629076494602,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,5,4,2,B007RDFO1I,2.1811007255043173,2.180143077812924,0.0009576476913935039,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,6,5,2,B001VG7USC,2.1811007255043173,2.285448510951634,-0.10434778544731671,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,7,6,3,B006OJM5OU,2.1811007255043173,2.1362057509638057,0.04489497454051161,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,8,7,3,B004ORT3OY,2.1811007255043173,2.1450153977202717,0.03608532778404561,0,3
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,9,8,3,B00421AGFW,2.1811007255043173,2.2607416667548628,-0.07964094125054544,0,3
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,1,0,0,B007S3S8HO,0.9988814813941644,1.1590693443308737,-0.16018786293670928,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,2,1,0,B007AR4ZA2,0.9988814813941644,0.9600385650287535,0.03884291636541093,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,3,2,0,B0084BPZES,0.9988814813941644,1.494917370378971,-0.49603588898480666,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,4,3,0,B008HYGFGE,0.9988814813941644,1.000727727823687,-0.00184624642952258,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,5,4,0,B00804BDCM,0.9988814813941644,1.00811541441999,-0.009233933025825536,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,6,5,1,B006ROJIUG,0.9988814813941644,1.0358897148794313,-0.03700823348526683,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,7,6,1,B0085UA8ZE,0.9988814813941644,0.9968119336854215,0.0020695477087429026,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,8,7,1,B0083TXVLA,0.9988814813941644,0.9939620493910297,0.004919432003134716,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,9,8,1,B006ROJQTE,0.9988814813941644,0.9738221167253869,0.025059364668777562,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,10,9,1,B006ROJI10,0.9988814813941644,0.9928095861910151,0.0060718952031493245,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,11,10,2,B001KCUC5U,0.9988814813941644,0.9836694746372814,0.015212006756883056,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,12,11,2,B004T1R75W,0.9988814813941644,1.0503207144865883,-0.05143923309242382,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,13,12,2,B0044D4SD4,0.9988814813941644,0.9940556732481127,0.004825808146051713,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,14,13,2,B004I8V6Z8,0.9988814813941644,0.9735550729155875,0.025326408478576923,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,15,14,2,B0043E0XJM,0.9988814813941644,1.0173006800823714,-0.01841919868820696,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,16,15,3,B004UU9XG8,0.9988814813941644,0.9779918489584816,0.02088963243568287,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,17,16,3,B004SGS3OM,0.9988814813941644,1.0285042362156673,-0.029622754821502895,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,18,17,3,B004Q2Q0RU,0.9988814813941644,1.057666182151479,-0.05878470075731457,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,19,18,3,B0042MAKAW,0.9988814813941644,1.0430063974572477,-0.04412491606308322,0,4
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,20,19,3,B0040GK7IU,0.9988814813941644,1.002906329691541,-0.004024848297376593,0,4
A153RS9Z63XYB7:5:B000F9ZG3M,A153RS9Z63XYB7,tail,5,1,0,0,B003U7CVCU,2.8611489137013755,2.690830945968628,0.17031796773274754,1,3
A153RS9Z63XYB7:5:B000F9ZG3M,A153RS9Z63XYB7,tail,5,2,1,1,B00295WCJQ,2.8611489137013755,3.3483046690622964,-0.48715575536092093,0,3
A153RS9Z63XYB7:5:B000F9ZG3M,A153RS9Z63XYB7,tail,5,3,2,2,B001QXDIX6,2.8611489137013755,2.9133217334747314,-0.05217281977335597,0,3
A153RS9Z63XYB7:5:B000F9ZG3M,A153RS9Z63XYB7,tail,5,4,3,3,B004RSGBOA,2.8611489137013755,2.8684624830881753,-0.007313569386799834,0,3
A153RS9Z63XYB7:5:B000F9ZG3M,A153RS9Z63XYB7,tail,5,5,4,3,B00067TAWG,2.8611489137013755,2.950958728790283,-0.08980981508890773,0,3
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,1,0,0,B005NM4ECA,1.4282306875102222,1.394591765525547,0.03363892198467511,0,4
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,2,1,0,B00421AGGG,1.4282306875102222,1.5594125592615455,-0.13118187175132334,0,4
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,3,2,1,B00421AGFW,1.4282306875102222,1.3825209938222542,0.045709693687967956,0,4
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,4,3,2,1933318996,1.4282306875102222,1.3716802339768037,0.05655045353341848,1,4
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,5,4,2,B003AJ7PGA,1.4282306875102222,1.4633613137702923,-0.03513062626007013,0,4
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,6,5,3,B003AIM52A,1.4282306875102222,1.4212185312062502,0.007012156303972006,0,4
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,7,6,3,B002DHC6FA,1.4282306875102222,1.4615389591781422,-0.03330827166792005,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,1,0,0,B0033RVDVC,0.12263263098429888,0.08556732480792562,0.03706530617637327,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,2,1,0,B00366YWFY,0.12263263098429888,0.12634233427525032,-0.0037097032909514382,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,3,2,1,B000M8H8Y6,0.12263263098429888,0.12469944725307869,-0.002066816268779803,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,4,3,2,1589946634,0.12263263098429888,0.1226226939324988,9.937051800079644e-06,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,5,4,2,B001HA9JOA,0.12263263098429888,0.12813990224822192,-0.00550727126392303,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,6,5,3,B004GW3CAI,0.12263263098429888,0.12095784152188571,0.0016747894624131732,0,4
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,7,6,3,B002YDNN8W,0.12263263098429888,0.1282814708974911,-0.005648839913192205,0,4
A167KPMW1NBZJW:26:B00CQDGYKO,A167KPMW1NBZJW,tail,20,1,0,0,B00CFAA6FM,1.1461030368009233,1.3171679285587743,-0.171064891757851,0,4
A167KPMW1NBZJW:26:B00CQDGYKO,A167KPMW1NBZJW,tail,20,2,1,0,B00AMEINDA,1.1461030368009233,1.1301168090612919,0.01598622773963143,0,4
A167KPMW1NBZJW:26:B00CQDGYKO,A167KPMW1NBZJW,tail,20,3,2,0,B00CTUGP6W,1.1461030368009233,1.242903120117262,-0.09680008331633871,0,4
