item,popularity_train,popularity_stratum,top_k_similar_item,current_link_raw,current_link_visible,current_cf_raw,current_cf_visible,current_cf_lost,current_metadata_raw,current_metadata_visible,current_metadata_lost,metadata_first_cf_raw,metadata_first_cf_visible,metadata_first_cf_lost,metadata_first_metadata_raw,metadata_first_metadata_visible,metadata_first_metadata_lost,recoverable_metadata_tokens,displaced_cf_tokens,current_metadata_retention,current_title_raw,current_title_visible,metadata_first_title_visible,current_brand_raw,current_brand_visible,metadata_first_brand_visible,current_categories_raw,current_categories_visible,metadata_first_categories_visible,current_description_raw,current_description_visible,metadata_first_description_visible,current_price_raw,current_price_visible,metadata_first_price_visible,current_salesrank_raw,current_salesrank_visible,metadata_first_salesrank_visible,current_other_metadata_raw,current_other_metadata_visible,metadata_first_other_metadata_visible
B000052WYN,27,top50,10,7,7,79,79,0,96,34,62,79,17,62,96,96,0,62,62,0.3541666666666667,37,34,37,5,0,5,11,0,11,27,0,27,4,0,4,7,0,7,0,0,0
B000052X9G,3,nonzero_bottom50,10,7,7,79,79,0,177,34,143,79,0,79,177,117,60,83,79,0.192090395480226,18,18,18,5,5,5,14,9,14,120,0,77,5,0,0,10,0,0,0,0,0
B000052XIA,7,nonzero_bottom50,10,7,7,79,79,0,265,34,231,79,0,79,265,117,148,83,79,0.12830188679245283,17,17,17,6,6,6,14,9,14,14,0,14,4,0,0,10,0,0,187,0,61
B000052XW5,11,top50,10,7,7,79,79,0,125,34,91,79,0,79,125,117,8,83,79,0.272,5,5,5,5,5,5,12,10,12,75,0,75,4,0,4,7,0,0,10,10,10
B000052XYQ,5,nonzero_bottom50,10,7,7,79,79,0,140,34,106,79,0,79,140,117,23,83,79,0.24285714285714285,15,15,15,4,4,4,9,9,9,31,0,31,4,0,0,7,0,0,61,3,51
B000052XZP,31,top50,10,7,7,79,79,0,54,34,20,79,59,20,54,54,0,20,20,0.6296296296296297,19,19,19,5,5,5,9,8,9,5,0,5,4,0,4,7,0,7,0,0,0
B000052XZX,14,top50,10,7,7,79,79,0,209,34,175,79,0,79,209,117,92,83,79,0.16267942583732056,24,24,24,5,5,5,9,3,9,26,0,26,4,0,0,7,0,0,127,0,49
B000052Y25,5,nonzero_bottom50,10,7,7,79,79,0,117,34,83,79,0,79,117,117,0,83,79,0.2905982905982906,21,21,21,6,6,6,9,5,9,64,0,64,4,0,4,8,0,8,0,0,0
B000052Y33,5,nonzero_bottom50,10,7,7,79,79,0,173,34,139,79,0,79,173,117,56,83,79,0.19653179190751446,26,26,26,8,7,8,10,0,10,84,0,70,5,0,0,6,0,0,28,0,0
B000052Y5F,7,nonzero_bottom50,10,7,7,79,79,0,168,34,134,79,0,79,168,117,51,83,79,0.20238095238095238,36,18,18,17,2,2,30,11,19,33,0,33,8,0,4,34,0,34,0,0,0
B000052Y6Z,3,nonzero_bottom50,10,7,7,79,79,0,74,34,40,79,39,40,74,74,0,40,40,0.4594594594594595,27,27,27,8,6,8,14,0,14,7,0,7,4,0,4,9,0,9,0,0,0
B000052YJC,8,top50,10,7,7,79,79,0,278,34,244,79,0,79,278,117,161,83,79,0.1223021582733813,14,14,14,6,6,6,22,12,22,212,0,72,4,0,0,6,0,0,8,0,0
B000052YJD,7,nonzero_bottom50,10,7,7,79,79,0,182,34,148,79,0,79,182,117,65,83,79,0.18681318681318682,18,18,18,6,6,6,12,8,12,131,0,78,4,0,0,6,0,0,0,0,0
B000052YJH,24,top50,10,7,7,79,79,0,122,34,88,79,0,79,122,117,5,83,79,0.2786885245901639,13,13,13,6,6,6,12,12,12,76,0,76,4,0,4,6,0,1,0,0,0
B000052YJM,39,top50,10,7,7,79,79,0,91,34,57,79,22,57,91,91,0,57,57,0.37362637362637363,4,4,4,4,4,4,22,10,22,32,0,32,4,0,4,6,0,6,12,12,12
B000052YJX,16,top50,10,7,7,79,79,0,197,34,163,79,0,79,197,117,80,83,79,0.17258883248730963,21,21,21,5,5,5,12,6,12,144,0,76,4,0,0,6,0,0,0,0,0
B000052YKI,6,nonzero_bottom50,10,7,7,79,79,0,186,34,152,79,0,79,186,117,69,83,79,0.1827956989247312,24,24,24,3,3,3,15,5,15,129,0,72,4,0,0,6,0,0,0,0,0
B000052YKM,9,top50,10,7,7,79,79,0,113,34,79,79,0,79,113,113,0,79,79,0.3008849557522124,19,19,19,5,5,5,12,8,12,61,0,61,4,0,4,7,0,7,0,0,0
B000052YKS,6,nonzero_bottom50,10,7,7,79,79,0,141,34,107,79,0,79,141,117,24,83,79,0.24113475177304963,13,13,13,3,3,3,16,16,16,94,0,82,4,0,0,6,0,0,0,0,0
B000052YKY,7,nonzero_bottom50,10,7,7,79,79,0,127,34,93,79,0,79,127,117,10,83,79,0.2677165354330709,16,16,16,5,5,5,14,11,14,77,0,77,4,0,1,6,0,0,0,0,0
B000052YL1,5,nonzero_bottom50,10,7,7,79,79,0,182,34,148,79,0,79,182,117,65,83,79,0.18681318681318682,20,20,20,5,5,5,14,7,14,111,0,75,4,0,0,7,0,0,15,0,0
B000052YLX,5,nonzero_bottom50,10,8,8,78,78,0,152,34,118,78,0,78,152,116,36,82,78,0.2236842105263158,14,14,14,3,3,3,14,14,14,106,0,82,4,0,0,6,0,0,0,0,0
B000052YM0,5,nonzero_bottom50,10,8,8,79,79,0,121,33,88,79,0,79,121,116,5,83,79,0.2727272727272727,18,18,18,6,6,6,14,7,14,67,0,67,4,0,4,7,0,2,0,0,0
B000052YM3,17,top50,10,7,7,79,79,0,141,34,107,79,0,79,141,117,24,83,79,0.24113475177304963,16,16,16,6,6,6,12,10,12,91,0,80,4,0,0,7,0,0,0,0,0
B000052YM4,40,top50,10,7,7,79,79,0,275,34,241,79,0,79,275,117,158,83,79,0.12363636363636364,17,17,17,6,6,6,16,9,16,114,0,75,4,0,0,7,0,0,102,0,0
B000052YM7,77,top50,10,7,7,79,79,0,337,34,303,79,0,79,337,117,220,83,79,0.10089020771513353,26,26,26,6,6,6,22,0,22,94,0,60,4,0,0,7,0,0,170,0,0
B000052YM8,18,top50,10,7,7,79,79,0,273,34,239,79,0,79,273,117,156,83,79,0.12454212454212454,23,23,23,6,6,6,12,3,12,118,0,73,4,0,0,7,0,0,97,0,0
B000052YMG,5,nonzero_bottom50,10,7,7,79,79,0,122,34,88,79,0,79,122,117,5,83,79,0.2786885245901639,15,15,15,5,5,5,12,12,12,19,0,19,4,0,4,7,0,2,54,0,54
B000052YMQ,11,top50,10,7,7,79,79,0,312,34,278,79,0,79,312,117,195,83,79,0.10897435897435898,16,16,16,5,5,5,15,11,15,129,0,78,4,0,0,6,0,0,131,0,0
B000052YMR,49,top50,10,7,7,78,78,0,164,35,129,78,0,78,164,117,47,82,78,0.21341463414634146,19,19,19,5,5,5,15,9,15,109,0,75,4,0,0,7,0,0,0,0,0
B000052YMS,7,nonzero_bottom50,10,7,7,79,79,0,164,34,130,79,0,79,164,117,47,83,79,0.2073170731707317,19,19,19,5,5,5,12,8,12,2,0,0,4,0,0,6,0,0,108,0,77
B000052YMT,6,nonzero_bottom50,10,7,7,80,80,0,156,33,123,80,0,80,156,117,39,84,80,0.21153846153846154,18,18,18,5,5,5,12,8,12,61,0,61,5,0,0,8,0,0,41,0,17
B000052YMV,5,nonzero_bottom50,10,7,7,79,79,0,146,34,112,79,0,79,146,117,29,83,79,0.2328767123287671,16,16,16,5,5,5,12,11,12,56,0,56,4,0,0,6,0,0,41,0,24
B000052YMX,7,nonzero_bottom50,10,7,7,79,79,0,165,34,131,79,0,79,165,117,48,83,79,0.20606060606060606,13,13,13,5,5,5,14,14,14,5,0,5,5,0,0,6,0,0,110,0,75
B000052YN5,7,nonzero_bottom50,10,7,7,79,79,0,132,34,98,79,0,79,132,117,15,83,79,0.25757575757575757,20,20,20,6,6,6,14,6,14,42,0,42,4,0,0,8,0,0,32,0,31
B000052YN7,6,nonzero_bottom50,10,7,7,79,79,0,93,34,59,79,20,59,93,93,0,59,59,0.3655913978494624,15,15,15,6,6,6,22,11,22,34,0,34,4,0,4,7,0,7,0,0,0
B000052YOL,49,top50,10,7,7,79,79,0,61,34,27,79,52,27,61,61,0,27,27,0.5573770491803278,22,22,22,5,5,5,14,5,14,5,0,5,4,0,4,6,0,6,0,0,0
B000052YOR,33,top50,10,7,7,80,80,0,103,33,70,80,10,70,103,103,0,70,70,0.32038834951456313,18,18,18,5,5,5,14,8,14,51,0,51,4,0,4,6,0,6,0,0,0
B000052YOX,30,top50,10,7,7,79,79,0,62,34,28,79,51,28,62,62,0,28,28,0.5483870967741935,15,15,15,5,5,5,22,12,22,5,0,5,4,0,4,6,0,6,0,0,0
B000052YP4,8,top50,10,7,7,79,79,0,56,34,22,79,57,22,56,56,0,22,22,0.6071428571428571,13,13,13,5,5,5,18,14,18,5,0,5,4,0,4,6,0,6,0,0,0
B000052YP6,44,top50,10,7,7,79,79,0,96,34,62,79,17,62,96,96,0,62,62,0.3541666666666667,17,17,17,5,5,5,15,10,15,44,0,44,4,0,4,6,0,6,0,0,0
B000052YQ0,4,nonzero_bottom50,10,7,7,79,79,0,301,34,267,79,0,79,301,117,184,83,79,0.11295681063122924,27,27,27,5,5,5,22,0,22,232,0,60,4,0,0,6,0,0,0,0,0
B000052YQ2,25,top50,10,7,7,79,79,0,303,34,269,79,0,79,303,117,186,83,79,0.11221122112211221,27,27,27,5,5,5,14,0,14,242,0,68,4,0,0,6,0,0,0,0,0
B000052YQN,14,top50,10,7,7,79,79,0,59,34,25,79,54,25,59,59,0,25,25,0.576271186440678,16,16,16,7,7,7,14,9,14,5,0,5,4,0,4,8,0,8,0,0,0
B000052YQU,7,nonzero_bottom50,10,7,7,79,79,0,67,34,33,79,46,33,67,67,0,33,33,0.5074626865671642,18,18,18,7,7,7,22,7,22,5,0,5,4,0,4,6,0,6,0,0,0
B000052Z5B,6,nonzero_bottom50,10,7,7,79,79,0,90,34,56,79,23,56,90,90,0,56,56,0.37777777777777777,19,19,19,5,5,5,9,8,9,20,0,20,4,0,4,7,0,7,20,0,20
B000052Z8D,8,top50,10,7,7,79,79,0,134,34,100,79,0,79,134,117,17,83,79,0.2537313432835821,24,24,24,5,5,5,9,3,9,80,0,76,4,0,0,7,0,0,0,0,0
B000052ZB1,5,nonzero_bottom50,10,7,7,79,79,0,150,34,116,79,0,79,150,117,33,83,79,0.22666666666666666,19,19,19,5,5,5,18,8,18,92,0,72,5,0,0,6,0,0,0,0,0
B000052ZB2,14,top50,10,7,7,79,79,0,134,34,100,79,0,79,134,117,17,83,79,0.2537313432835821,14,14,14,5,5,5,12,12,12,88,0,83,4,0,0,6,0,0,0,0,0
B000052ZB4,37,top50,10,7,7,79,79,0,163,34,129,79,0,79,163,117,46,83,79,0.2085889570552147,21,21,21,5,5,5,14,6,14,42,0,42,4,0,0,6,0,0,65,0,31
B000052ZBD,7,nonzero_bottom50,10,7,7,79,79,0,148,34,114,79,0,79,148,117,31,83,79,0.22972972972972974,15,15,15,5,5,5,15,12,15,17,0,17,4,0,0,6,0,0,80,0,61
B000052ZBH,7,nonzero_bottom50,10,7,7,79,79,0,182,34,148,79,0,79,182,117,65,83,79,0.18681318681318682,21,21,21,4,4,4,9,7,9,131,0,80,4,0,0,8,0,0,0,0,0
B000052ZBP,7,nonzero_bottom50,10,7,7,79,79,0,108,34,74,79,5,74,108,108,0,74,74,0.3148148148148148,16,16,16,4,4,4,11,11,11,41,0,41,4,0,4,7,0,7,19,0,19
B000052ZTY,8,top50,10,7,7,79,79,0,164,34,130,79,0,79,164,117,47,83,79,0.2073170731707317,21,21,21,5,5,5,13,6,13,56,0,56,5,0,0,8,0,0,50,0,18
B00005302B,5,nonzero_bottom50,10,7,7,79,79,0,187,34,153,79,0,79,187,117,70,83,79,0.18181818181818182,17,17,17,6,6,6,13,9,13,134,0,78,4,0,0,8,0,0,0,0,0
B00005304H,18,top50,10,7,7,80,80,0,378,33,345,80,0,80,378,117,261,84,80,0.0873015873015873,14,14,14,6,6,6,18,11,18,30,0,30,4,0,0,9,0,0,280,0,44
B0000530ED,83,top50,10,7,7,79,79,0,689,34,655,79,0,79,689,117,572,83,79,0.04934687953555878,25,25,25,10,8,10,14,0,14,84,0,65,4,0,0,8,0,0,531,0,0
B0000530EZ,34,top50,10,7,7,79,79,0,52,34,18,79,61,18,52,52,0,18,18,0.6538461538461539,19,19,19,4,4,4,9,9,9,5,0,5,4,0,4,6,0,6,0,0,0
B0000530G6,7,nonzero_bottom50,10,7,7,79,79,0,53,34,19,79,60,19,53,53,0,19,19,0.6415094339622641,17,17,17,5,5,5,9,9,9,5,0,5,4,0,4,8,0,8,0,0,0
B0000530LO,9,top50,10,7,7,78,78,0,52,35,17,78,61,17,52,52,0,17,17,0.6730769230769231,17,17,17,5,5,5,9,9,9,5,1,5,4,0,4,7,0,7,0,0,0
B0000530LP,12,top50,10,7,7,78,78,0,49,35,14,78,64,14,49,49,0,14,14,0.7142857142857143,14,14,14,5,5,5,9,9,9,5,4,5,4,0,4,7,0,7,0,0,0
B0000530LV,7,nonzero_bottom50,10,7,7,79,79,0,171,34,137,79,0,79,171,117,54,83,79,0.19883040935672514,18,18,18,5,5,5,9,9,9,20,0,20,4,0,0,8,0,0,99,0,60
B0000530M0,9,top50,10,7,7,79,79,0,63,34,29,79,50,29,63,63,0,29,29,0.5396825396825397,27,27,27,5,5,5,9,0,9,5,0,5,4,0,4,8,0,8,0,0,0
B0000530NA,6,nonzero_bottom50,10,7,7,79,79,0,124,34,90,79,0,79,124,117,7,83,79,0.27419354838709675,18,18,18,5,5,5,17,9,17,67,0,67,4,0,4,8,0,1,0,0,0
B0000530O9,9,top50,10,7,7,79,79,0,116,34,82,79,0,79,116,116,0,82,79,0.29310344827586204,17,17,17,5,5,5,11,10,11,68,0,68,4,0,4,6,0,6,0,0,0
B0000531GD,14,top50,10,7,7,79,79,0,102,34,68,79,11,68,102,102,0,68,68,0.3333333333333333,20,20,20,5,5,5,9,7,9,52,0,52,4,0,4,7,0,7,0,0,0
B0000531GV,8,top50,10,7,7,79,79,0,93,34,59,79,20,59,93,93,0,59,59,0.3655913978494624,27,27,27,5,5,5,11,0,11,34,0,34,4,0,4,7,0,7,0,0,0
B0000531II,15,top50,10,7,7,79,79,0,81,34,47,79,32,47,81,81,0,47,47,0.41975308641975306,20,20,20,5,5,5,9,7,9,31,0,31,4,0,4,7,0,7,0,0,0
B0000531NU,14,top50,10,7,7,79,79,0,137,34,103,79,0,79,137,117,20,83,79,0.24817518248175183,23,23,23,5,5,5,9,4,9,83,0,77,4,0,0,8,0,0,0,0,0
B0000531SW,23,top50,10,7,7,79,79,0,72,34,38,79,41,38,72,72,0,38,38,0.4722222222222222,13,13,13,10,7,10,9,0,9,11,0,11,3,0,3,8,0,8,12,12,12
B0000531WZ,34,top50,10,7,7,79,79,0,62,34,28,79,51,28,62,62,0,28,28,0.5483870967741935,24,24,24,5,5,5,9,3,9,7,0,7,4,0,4,8,0,8,0,0,0
B00005321Z,5,nonzero_bottom50,10,7,7,79,79,0,152,34,118,79,0,79,152,117,35,83,79,0.2236842105263158,21,21,21,5,5,5,22,6,22,88,0,66,4,0,0,7,0,0,0,0,0
B0000532AN,7,nonzero_bottom50,10,7,7,79,79,0,405,34,371,79,0,79,405,117,288,83,79,0.08395061728395062,12,12,12,5,5,5,17,15,17,9,0,9,4,0,0,8,0,0,335,0,70
B0000532VT,6,nonzero_bottom50,10,7,7,79,79,0,160,34,126,79,0,79,160,117,43,83,79,0.2125,17,17,17,5,5,5,16,10,16,2,0,0,4,0,0,6,0,0,100,0,73
B0000532YN,5,nonzero_bottom50,10,7,7,79,79,0,136,34,102,79,0,79,136,117,19,83,79,0.25,20,20,20,5,5,5,12,7,12,84,0,77,4,0,0,6,0,0,0,0,0
B00005333G,7,nonzero_bottom50,10,7,7,79,79,0,125,34,91,79,0,79,125,117,8,83,79,0.272,21,21,21,10,10,10,22,1,22,56,0,56,4,0,4,7,0,0,0,0,0
B00005333I,6,nonzero_bottom50,10,7,7,79,79,0,143,34,109,79,0,79,143,117,26,83,79,0.23776223776223776,16,16,16,10,10,10,12,6,12,89,0,76,4,0,0,7,0,0,0,0,0
B0000533CC,13,top50,10,7,7,80,80,0,688,33,655,80,0,80,688,117,571,84,80,0.04796511627906977,12,12,12,3,3,3,15,15,15,144,0,84,4,0,0,9,0,0,481,0,0
B0000534VO,16,top50,10,7,7,79,79,0,110,34,76,79,3,76,110,110,0,76,76,0.3090909090909091,4,4,4,4,4,4,12,7,12,58,0,58,4,0,4,6,0,6,15,15,15
B0000535CH,18,top50,10,7,7,79,79,0,708,34,674,79,0,79,708,117,591,83,79,0.0480225988700565,19,19,19,7,7,7,28,6,28,2,0,0,4,0,0,7,0,0,625,0,59
B0000535OF,9,top50,10,7,7,79,79,0,148,34,114,79,0,79,148,117,31,83,79,0.22972972972972974,15,15,15,6,6,6,12,11,12,32,0,32,4,0,0,7,0,0,65,0,47
B0000535RA,35,top50,10,7,7,79,79,0,138,34,104,79,0,79,138,117,21,83,79,0.2463768115942029,25,25,25,5,5,5,17,2,17,76,0,67,4,0,0,6,0,0,0,0,0
B0000535RC,11,top50,10,7,7,79,79,0,170,34,136,79,0,79,170,117,53,83,79,0.2,19,19,19,5,5,5,17,8,17,112,0,73,4,0,0,8,0,0,0,0,0
B0000535RD,40,top50,10,7,7,79,79,0,156,34,122,79,0,79,156,117,39,83,79,0.21794871794871795,19,19,19,5,5,5,114,8,91,2,0,0,4,0,0,6,0,0,0,0,0
B0000535U2,8,top50,10,7,7,79,79,0,240,34,206,79,0,79,240,117,123,83,79,0.14166666666666666,15,15,15,7,7,7,22,10,22,177,0,70,4,0,0,10,0,0,0,0,0
B0000535UA,15,top50,10,7,7,79,79,0,219,34,185,79,0,79,219,117,102,83,79,0.1552511415525114,13,13,13,5,5,5,9,9,9,177,4,87,4,0,0,6,0,0,0,0,0
B0000535UM,10,top50,10,7,7,79,79,0,221,34,187,79,0,79,221,117,104,83,79,0.15384615384615385,15,15,15,5,5,5,9,9,9,177,2,85,4,0,0,6,0,0,0,0,0
B0000535UN,4,nonzero_bottom50,10,7,7,79,79,0,114,34,80,79,0,79,114,114,0,80,79,0.2982456140350877,12,12,12,5,5,5,9,9,9,73,5,73,4,0,4,6,0,6,0,0,0
B0000535UT,18,top50,10,7,7,79,79,0,201,34,167,79,0,79,201,117,84,83,79,0.1691542288557214,17,17,17,7,7,7,15,8,15,4,0,4,4,0,0,7,0,0,139,0,69
B0000535UX,6,nonzero_bottom50,10,7,7,79,79,0,227,34,193,79,0,79,227,117,110,83,79,0.14977973568281938,17,17,17,5,5,5,13,10,13,177,0,79,4,0,0,6,0,0,0,0,0
B0000535VH,7,nonzero_bottom50,10,7,7,79,79,0,295,34,261,79,0,79,295,117,178,83,79,0.1152542372881356,33,33,33,6,0,6,22,0,22,13,0,13,4,0,0,7,0,0,201,0,37
B000053676,6,nonzero_bottom50,10,7,7,79,79,0,133,34,99,79,0,79,133,117,16,83,79,0.2556390977443609,21,21,21,8,8,8,11,3,11,76,0,74,4,0,0,8,0,0,0,0,0
B0000536A3,4,nonzero_bottom50,10,7,7,79,79,0,115,34,81,79,0,79,115,115,0,81,79,0.2956521739130435,23,23,23,8,8,8,13,1,13,51,0,51,5,0,5,10,0,10,0,0,0
B0000536EK,4,nonzero_bottom50,10,7,7,79,79,0,141,34,107,79,0,79,141,117,24,83,79,0.24113475177304963,16,16,16,4,4,4,15,12,15,20,0,20,4,0,0,6,0,0,69,0,57
B0000536EW,8,top50,10,7,7,79,79,0,106,34,72,79,7,72,106,106,0,72,72,0.32075471698113206,15,15,15,7,7,7,15,10,15,54,0,54,4,0,4,6,0,6,0,0,0
B0000536F0,7,nonzero_bottom50,10,7,7,79,79,0,120,34,86,79,0,79,120,117,3,83,79,0.2833333333333333,28,28,28,7,5,7,14,0,14,56,0,56,4,0,4,6,0,3,0,0,0
B0000536M2,28,top50,10,7,7,78,78,0,114,35,79,78,0,78,114,114,0,79,78,0.30701754385964913,22,22,22,5,5,5,9,6,9,55,0,55,4,0,4,7,0,7,6,0,6
B0000536M3,11,top50,10,7,7,79,79,0,179,34,145,79,0,79,179,117,62,83,79,0.18994413407821228,16,16,16,5,5,5,9,9,9,51,1,51,4,0,0,7,0,0,80,0,32
B0000536P3,44,top50,10,7,7,79,79,0,249,34,215,79,0,79,249,117,132,83,79,0.13654618473895583,25,25,25,5,5,5,14,2,14,189,0,70,4,0,0,7,0,0,0,0,0
B0000536P4,64,top50,10,7,7,79,79,0,256,34,222,79,0,79,256,117,139,83,79,0.1328125,21,21,21,5,5,5,14,6,14,200,0,74,4,0,0,7,0,0,0,0,0
B00005375C,5,nonzero_bottom50,10,7,7,79,79,0,233,34,199,79,0,79,233,117,116,83,79,0.1459227467811159,16,16,16,7,7,7,15,9,15,94,0,76,4,0,0,6,0,0,85,0,0
B0000537NH,5,nonzero_bottom50,10,7,7,79,79,0,109,34,75,79,4,75,109,109,0,75,75,0.3119266055045872,18,18,18,5,5,5,13,9,13,57,0,57,5,0,5,6,0,6,0,0,0
B0000537SD,11,top50,10,7,7,79,79,0,296,34,262,79,0,79,296,117,179,83,79,0.11486486486486487,15,15,15,7,7,7,12,10,12,245,0,80,4,0,0,8,0,0,0,0,0
B000053L6W,4,nonzero_bottom50,10,7,7,79,79,0,114,34,80,79,0,79,114,114,0,80,79,0.2982456140350877,16,16,16,7,7,7,12,9,12,63,0,63,4,0,4,7,0,7,0,0,0
B000056I89,8,top50,10,8,8,79,79,0,146,33,113,79,0,79,146,116,30,83,79,0.22602739726027396,22,22,22,5,5,5,12,4,12,67,0,67,4,0,0,6,0,0,23,0,6
B000056W5Y,5,nonzero_bottom50,10,7,7,79,79,0,90,34,56,79,23,56,90,90,0,56,56,0.37777777777777777,18,18,18,7,7,7,15,7,15,33,0,33,4,0,4,8,0,8,0,0,0
B000056W74,12,top50,10,7,7,79,79,0,114,34,80,79,0,79,114,114,0,80,79,0.2982456140350877,25,25,25,7,7,7,15,0,15,51,0,51,4,0,4,7,0,7,0,0,0
B00005A43X,12,top50,10,7,7,79,79,0,194,34,160,79,0,79,194,117,77,83,79,0.17525773195876287,13,13,13,4,4,4,13,13,13,147,1,84,5,0,0,7,0,0,0,0,0
B00005A443,6,nonzero_bottom50,10,7,7,79,79,0,187,34,153,79,0,79,187,117,70,83,79,0.18181818181818182,17,17,17,4,4,4,13,11,13,137,0,80,4,0,0,7,0,0,0,0,0
B00005A9WP,42,top50,10,7,7,79,79,0,244,34,210,79,0,79,244,117,127,83,79,0.13934426229508196,11,11,11,4,4,4,22,17,22,120,0,77,5,0,0,7,0,0,67,0,0
B00005AVC7,4,nonzero_bottom50,10,7,7,79,79,0,117,34,83,79,0,79,117,117,0,83,79,0.2905982905982906,4,4,4,4,4,4,15,14,15,69,0,69,4,0,4,6,0,6,8,8,8
B00005B9FV,13,top50,10,7,7,79,79,0,214,34,180,79,0,79,214,117,97,83,79,0.1588785046728972,25,25,25,7,7,7,15,0,15,152,0,67,4,0,0,6,0,0,0,0,0
B00005CDSP,25,top50,10,7,7,79,79,0,260,34,226,79,0,79,260,117,143,83,79,0.13076923076923078,13,13,13,5,5,5,17,14,17,208,0,79,4,0,0,8,0,0,0,0,0
B00005IBW0,8,top50,10,7,7,79,79,0,65,34,31,79,48,31,65,65,0,31,31,0.5230769230769231,22,22,22,5,5,5,17,5,17,5,0,5,5,0,5,6,0,6,0,0,0
B00005LBRT,5,nonzero_bottom50,10,8,8,79,79,0,199,33,166,79,0,79,199,116,83,83,79,0.1658291457286432,19,19,19,8,8,8,14,4,14,141,0,72,4,0,0,8,0,0,0,0,0
B00005NAOD,41,top50,10,7,7,79,79,0,208,34,174,79,0,79,208,117,91,83,79,0.16346153846153846,25,25,25,7,7,7,22,0,22,139,0,60,4,0,0,6,0,0,0,0,0
B00005NAOJ,3,nonzero_bottom50,10,7,7,79,79,0,143,34,109,79,0,79,143,117,26,83,79,0.23776223776223776,13,13,13,5,5,5,12,12,12,54,1,54,4,0,0,6,0,0,41,0,27
