dataset	split	user	target_item_id	target_logit	target_rank_in_expansion	target_passes_margin	target_selected_top3	passing_candidates	max_nontarget_logit
Toys	calibration_t_minus_3	A21QC2AASBR09L	9342	1.017652281300828	1	1	1	1	-4.003539227628199
Toys	calibration_t_minus_3	A21VMME3RYDJZ5	2605	-0.5667727500623121	1	0	0	0	-1.2958445007328319
Toys	calibration_t_minus_3	A24RR8LLPYVVAU	4619	2.8340398831319007	1	1	1	1	-1.108064108237551
Toys	calibration_t_minus_3	A25GXPS2BAR2C5	7722	0.4061184420942112	1	1	1	1	-2.7059144290016546
Toys	calibration_t_minus_3	A2AFRV0A0B48VP	5353	-0.8513915471493778	1	0	0	0	-3.667317925973264
Toys	calibration_t_minus_3	A2B6ZD5AYVIF5U	10293	-1.3086877634092282	1	0	0	0	-2.3489387161524444
Toys	calibration_t_minus_3	A2CV9RK6P9IY0	6596	-1.2667189719503735	1	0	0	0	-4.592623985256397
Toys	calibration_t_minus_3	A2IMGHMF0LO151	10571	-1.0850450108227943	1	0	0	0	-2.238414086573343
Toys	calibration_t_minus_3	A2KP4CWYUTKUFO	8965	-5.01420864887175	57	0	0	0	-2.304853022936629
Toys	calibration_t_minus_3	A2L4BBNT6DXHWM	3614	3.1150763113431488	1	1	1	1	-1.8818040456406226
Toys	calibration_t_minus_3	A2LER8S3UAHQDZ	9153	0.25015119647474116	1	1	1	1	-0.8573926927409854
Toys	calibration_t_minus_3	A2PQ780ZQ2OLNS	532	-0.7957731937219545	1	0	0	0	-1.7742600971257385
Toys	calibration_t_minus_3	A2RF8MOE6QVE9U	2817	-1.8032943895271547	1	0	0	0	-2.638741476069656
Toys	calibration_t_minus_3	A2RF8O3ELEMVIZ	7507	-2.4904598601524146	1	0	0	0	-2.802423854010068
Toys	calibration_t_minus_3	A2RGEQ4EOILD9Q	5139	1.858557853620205	1	1	1	1	-0.8423816032215994
Toys	calibration_t_minus_3	A2SOKHEHOGE1GH	5893	-3.1682619500504257	1	0	0	0	-3.5741783714233275
Toys	calibration_t_minus_3	A2Y3EIC15JB7MV	2288	-2.7252965585462006	2	0	0	0	-2.0268607978318487
Toys	calibration_t_minus_3	A31FN9JW9AB1DT	5212	0.2580747837992927	1	1	1	1	-3.3761952959299286
Toys	calibration_t_minus_3	A3240EHV7FGBXM	3527	0.7758029975070642	1	1	1	1	-1.775505859221501
Toys	calibration_t_minus_3	A33F1QQY1IZJQX	2819	-3.1752185501057024	1	0	0	0	-3.4216030824232533
Toys	calibration_t_minus_3	A33W1ED2CINHHF	3689	-3.898220543847355	2	0	0	0	-3.6797709677124324
Toys	calibration_t_minus_3	A33XV0FDZCY5WP	7556	1.0198114728681986	1	1	1	1	-0.9182848290090373
Toys	calibration_t_minus_3	A394ODETD69NJP	4059	-1.3297014810075005	1	0	0	0	-1.779070616309438
Toys	calibration_t_minus_3	A39CFHC9J5W59B	5173	2.317558285099313	1	1	1	1	-1.3604258364333832
Toys	calibration_t_minus_3	A3BEWNPSZB6J9G	1209	1.033628910663829	1	1	1	1	-2.947077996633954
Toys	calibration_t_minus_3	A3BGQMHZA5317Z	2003	-0.3679901699446706	1	0	0	0	-2.363047125965558
Toys	calibration_t_minus_3	A3CF8IFZ1WQ3TQ	2976	0.025004326467108484	1	1	1	1	-2.454218861331941
Toys	calibration_t_minus_3	A3G0FEWUT5RS7G	7721	-0.6214617414177717	1	0	0	0	-3.3934403238625563
Toys	calibration_t_minus_3	A3KVF4JBEAE8O1	1061	-1.0942932936858014	1	0	0	0	-2.0874280454650567
Toys	calibration_t_minus_3	A3LPH1Q12SPHGR	8356	2.5762494033301273	1	1	1	1	-0.4096677074463848
Toys	calibration_t_minus_3	A3MDETK0D5UAIN	7659	-0.9277859997924516	1	0	0	0	-2.96672494551224
Toys	calibration_t_minus_3	A3N6OKUWJ478E3	11198	1.2658420232555336	1	1	1	1	-3.2396122833060144
Toys	calibration_t_minus_3	A3NZWY6KXHYJWE	2947	-0.9884733950006304	1	0	0	0	-2.602063211326116
Toys	calibration_t_minus_3	A3O9F8ZI5TOE4M	9972	0.2837019994530623	1	1	1	1	-1.8560359010978402
Toys	calibration_t_minus_3	A3OBT5OPKSEHAQ	7118	-1.3617500101590156	1	0	0	0	-4.193558087001511
Toys	calibration_t_minus_3	A3ODDZH7HRP3CU	1585	-1.4403880353637453	1	0	0	0	-1.7178296198867926
Toys	calibration_t_minus_3	A3OFLIA0S929XR	4471	1.4997105886906574	1	1	1	1	-0.9706563962991162
Toys	calibration_t_minus_3	A3OYU4OAT7DCU2	6521	0.23168809229019427	1	1	1	1	-1.7520755792645524
Toys	calibration_t_minus_3	A3Q0M13QFMD84D	3944	-1.9349202189289372	1	0	0	0	-4.20161653632727
Toys	calibration_t_minus_3	A3QCCG9OME82AW	5418	-0.8455497395973506	2	0	0	0	-0.4475389189287524
Toys	calibration_t_minus_3	A3QT709ZY4VZ8S	9202	2.308442742042086	1	1	1	1	-2.169469630973383
Toys	calibration_t_minus_3	A3SKMWPVR5CO1H	9149	-0.3258734568667201	1	0	0	0	-1.7960944693864214
Toys	calibration_t_minus_3	A3UE1PURTS8PG	8415	1.7946845523297448	1	1	1	1	-1.5061833175981594
Toys	calibration_t_minus_3	A3UEQ1CYG8E6D2	11643	-1.7228418433913397	1	0	0	0	-2.83082566105906
Toys	calibration_t_minus_3	A3VXM4Z75RRI0M	10309	1.6773439525048506	1	1	1	1	-1.7341718881335915
Toys	calibration_t_minus_3	A82HDHO6IJWRE	9292	-3.387532433063228	1	0	0	0	-4.127420241469337
Toys	calibration_t_minus_3	AAJ1IYOUIHWF	1438	-3.5101551945965745	1	0	0	0	-3.571668211418417
Toys	calibration_t_minus_3	AB8HCOX3YULQS	3653	3.37251940666809	1	1	1	3	1.9105563531909322
Toys	calibration_t_minus_3	ABBL3ZGK2J23Y	4496	0.5487952465713146	2	1	1	2	1.130711877400028
Toys	calibration_t_minus_3	ACVVB07ZG6O9	2228	2.962483621061862	1	1	1	1	-3.1605032038143976
Toys	calibration_t_minus_3	AF0E9G6Q48G3S	6010	-0.33306288356862	1	0	0	0	-3.4975506502901483
Toys	calibration_t_minus_3	AFJ9846LEZWS7	1672	-0.09617450625396984	1	0	0	0	-2.5691884247752936
Toys	calibration_t_minus_3	AFRWXEHK151Z1	6173	1.0608499315550297	1	1	1	1	-2.0047989029158444
Toys	calibration_t_minus_3	AG506JWT6JQQT	10503	-1.6643329307613364	1	0	0	0	-3.1842979979822097
Toys	calibration_t_minus_3	AG6WOD5BUD8BH	780	-0.9675135184044388	1	0	0	0	-2.676855314779406
Toys	calibration_t_minus_3	AGBD6P8Y1E42A	3926	-5.463385205450942	31	0	0	0	-1.8719224385956057
Toys	calibration_t_minus_3	AJVKP4SH3WNZP	10829	-2.4064662495324765	1	0	0	0	-3.1160437549804563
Toys	calibration_t_minus_3	AK5O0I9PCDANE	11272	2.228385360335352	1	1	1	1	-2.4450704315725265
Toys	calibration_t_minus_3	AKFGSU829J32R	4056	-2.286416316831449	1	0	0	0	-3.031944223234726
Toys	calibration_t_minus_3	AKHFY3VCNZL2W	2085	-2.3673584483615278	1	0	0	0	-2.949106411351017
Toys	calibration_t_minus_3	AMQWWN5Y9NVP9	813	-0.07326546867615313	1	0	0	0	-3.3829445665045648
Toys	calibration_t_minus_3	ANB6K82JIWGYL	6283	-1.7971690537248808	1	0	0	0	-3.2329280686049158
Toys	calibration_t_minus_3	ANIPJFOOLX3EX	2188	-1.2785349344090928	1	0	0	0	-4.022532127627528
Toys	calibration_t_minus_3	AO2AQRPPSTABB	11180	-4.5324608231981305	29	0	0	0	-2.5877350570356192
Toys	calibration_t_minus_3	AOUQCCU5VU5QL	5191	-0.3987998575213041	1	0	0	0	-1.7089435323600561
Toys	calibration_t_minus_3	AOVY1Q6WI9MHA	424	0.9655881412874248	1	1	1	1	-3.1559067378936234
Toys	calibration_t_minus_3	ARFCFY2JIZLU2	10128	-1.6797932484925644	1	0	0	0	-2.8223934639876447
Toys	calibration_t_minus_3	ARFT8HC5W76XP	7346	0.3965005887570392	1	1	1	2	0.0005215638821685076
Toys	calibration_t_minus_3	AU21B5JSG23FQ	4841	-0.5618466892965266	1	0	0	0	-2.0071353806937466
Toys	calibration_t_minus_3	AUBZC9PUOY695	3583	-1.5945837244454228	1	0	0	0	-1.6710454428651502
Toys	calibration_t_minus_3	AXYJVS6ZIPC55	9619	3.348493030356199	1	1	1	1	-2.267452046607283
Toys	calibration_t_minus_3	AZIT7MTLNHYPU	3047	-0.8828288218220361	1	0	0	0	-2.9364424844871184
Toys	calibration_t_minus_3	AZR1RBKOE6XDN	501	2.5838844387366358	1	1	1	1	-3.2154705244924697
Toys	validation_t_minus_2	A12H774IJ9EWZI	5364	-2.2353876393721963	3	0	0	0	-0.7517796325009627
Toys	validation_t_minus_2	A17ZPLHRUPPEG5	3140	-7.946605923863302	124	0	0	0	-1.44073651944933
Toys	validation_t_minus_2	A187FKQNMXSS8L	9481	-2.070238458380846	1	0	0	0	-2.6422027156054364
Toys	validation_t_minus_2	A1954JA0H5WBJQ	7146	-6.445791459940149	70	0	0	0	-2.6930489207926502
Toys	validation_t_minus_2	A19LLI6RU662B8	5713	-5.605281089223119	32	0	0	1	0.054780588275002984
Toys	validation_t_minus_2	A1BK60GZ4QME6I	11028	-6.876142556267597	82	0	0	0	-3.104397015197178
Toys	validation_t_minus_2	A1J5FNJLW42BL8	3338	-6.972503504312824	100	0	0	0	-3.185871678033682
Toys	validation_t_minus_2	A1J6SUXLMJMLLR	2027	-6.8461792937562445	64	0	0	0	-2.2471235997214603
Toys	validation_t_minus_2	A1NHBJ146UYR06	3352	-8.565885457353408	116	0	0	0	-3.7810277932909275
Toys	validation_t_minus_2	A1THY8LHOAST5O	10544	-4.804066086593421	6	0	0	0	-3.0589386955246196
Toys	validation_t_minus_2	A1TKM36EYEQNSM	9388	-4.249678494471016	24	0	0	0	-2.68655015497286
Toys	validation_t_minus_2	A22F6WEVKDYJ0O	2676	-8.313629900533181	118	0	0	0	-3.9124101448080433
Toys	validation_t_minus_2	A24F60FH23CSWL	9858	-5.736875054582321	51	0	0	0	-3.0998168312853744
Toys	validation_t_minus_2	A261ZEKT6OATPN	9976	-2.6368017002089754	1	0	0	0	-2.950292763470686
Toys	validation_t_minus_2	A27EMTPVMIDZKW	8895	-8.31401794899742	128	0	0	0	-0.02850275187128304
Toys	validation_t_minus_2	A2974R9BTPZPOJ	7989	-3.4037006417579496	6	0	0	0	-2.826413545711546
Toys	validation_t_minus_2	A2A4HGFGKO6BKP	9800	-6.434861021804098	61	0	0	0	-3.1835634407677946
Toys	validation_t_minus_2	A2D5Z9KLWTDW51	6513	-6.670676402108462	88	0	0	0	-2.274097430089647
Toys	validation_t_minus_2	A2I02MYK9NI73B	7687	-4.724539663558566	13	0	0	0	-0.3792212417091845
Toys	validation_t_minus_2	A2KQT4D0OZR569	10541	-5.0685513642141515	32	0	0	0	-2.3690935239442314
Toys	validation_t_minus_2	A2LEZE5UVHFALD	1585	-8.222829774050247	124	0	0	0	-2.41597757409785
Toys	validation_t_minus_2	A2O35ES6WSV2Z2	11405	-1.5563582943973913	1	0	0	0	-2.368800115868403
Toys	validation_t_minus_2	A2RVSAIPOK5Z3H	342	-3.4425087145743456	5	0	0	0	-2.7001905393889967
Toys	validation_t_minus_2	A2TJJCSCF7YKB3	1663	-4.163324983354785	15	0	0	0	-1.3779444916576704
Toys	validation_t_minus_2	A2YGB747HQLREO	2798	-4.72314862006616	41	0	0	4	3.527530383176938
Toys	validation_t_minus_2	A2YSWNMW4E78GF	7708	-5.588096668228838	22	0	0	0	-3.5341447113910966
Toys	validation_t_minus_2	A309CYRJJNFMDG	8321	-5.058581291516721	16	0	0	0	-3.0771557561516096
Toys	validation_t_minus_2	A379O5JZOPENK2	10148	-5.309364510142401	18	0	0	0	-3.3045712643389384
Toys	validation_t_minus_2	A37RS6K0AP1DQJ	2461	-9.406514255171025	150	0	0	0	-3.0876957798114084
Toys	validation_t_minus_2	A3CNL2EG5ARWL4	7110	-4.222143651997304	16	0	0	0	-2.8767740273368974
Toys	validation_t_minus_2	A3EZIP6YQX5J8Q	5369	-5.1580456922001225	13	0	0	0	-3.001393661779172
Toys	validation_t_minus_2	A3H52GVIONVIK7	5276	-9.388983358303642	145	0	0	0	-0.37983037544738973
Toys	validation_t_minus_2	A3HORVSI2I23YR	71	-7.640784386277177	78	0	0	0	-2.557748917875424
Toys	validation_t_minus_2	A3JQ9SPK2QOTQT	8754	-2.424271928539537	1	0	0	0	-3.067594583020314
Toys	validation_t_minus_2	A3MKRAD7Z64ED5	6611	-5.006686835833005	22	0	0	0	-2.95662540064108
Toys	validation_t_minus_2	A3MPWZNB1K8J1G	3983	-7.1994228509681495	100	0	0	0	-1.7574958328643913
Toys	validation_t_minus_2	A3OFAMMKK080ES	11637	-7.89405293015871	103	0	0	0	-3.2981401042935583
Toys	validation_t_minus_2	A3Q8JHRXVW2P8B	10259	-4.493784585496526	2	0	0	0	-3.6437728229170787
Toys	validation_t_minus_2	A3R5GTYQ50QVMD	11725	-3.1403081465985707	5	0	0	0	-1.9019677142997073
Toys	validation_t_minus_2	A3T2FHMUNYZB7T	9231	-6.373604259157839	75	0	0	0	-1.675445436816462
Toys	validation_t_minus_2	A3UJ65AN55YBP6	9881	-5.705871265336322	17	0	0	0	-3.2694680349999903
Toys	validation_t_minus_2	A3UOS7EC0NN88A	10477	-2.0869097970483796	7	0	0	1	0.7834225155458086
Toys	validation_t_minus_2	A7JEWP1ITKQVJ	10790	-6.630423072699657	62	0	0	1	1.3521015265124046
Toys	validation_t_minus_2	A7X9SBEVSHV5N	5364	-6.838455231620708	89	0	0	0	-2.731142033183561
Toys	validation_t_minus_2	A7Y0MEKYZS3X6	9399	-6.626101818997795	38	0	0	0	-4.0062075501173275
Toys	validation_t_minus_2	A8757LV5QW9VX	6802	-3.9253926933658225	11	0	0	0	-0.6557095905662909
Toys	validation_t_minus_2	ACH40GDEWZRJS	6680	-4.970184210281921	11	0	0	0	-3.3892709517454076
Toys	validation_t_minus_2	AFO678EAGH4Y9	11893	-2.2381890471521597	6	0	0	0	-1.775612178504165
Toys	validation_t_minus_2	AJ48OJORP4NE4	4225	-4.121985880948154	30	0	0	0	-2.4736431819128457
Toys	validation_t_minus_2	AMRMK86X3PKXD	301	-7.671264771690408	64	0	0	0	-3.2206085106040954
Toys	validation_t_minus_2	ANBVYCAEPWHY3	11095	-4.679819083112851	21	0	0	0	-2.4377259642881928
Toys	validation_t_minus_2	ANCQKZHPGDKS2	29	-4.527987416302446	9	0	0	0	-3.587465040552954
Toys	validation_t_minus_2	AO645B6SU6DZV	11620	-5.299015911531415	23	0	0	0	-3.248658437583623
Toys	validation_t_minus_2	AOMKUI325W2TJ	10445	-3.604490807989558	14	0	0	0	-2.5375622518138172
Toys	validation_t_minus_2	AS1FPHXL6YLOW	4707	-8.75014635770022	112	0	0	0	-3.98501001441739
Toys	validation_t_minus_2	AVX7RB9XQ29Q5	11629	-4.482992817500552	13	0	0	0	-2.3315621755835743
Toys	validation_t_minus_2	AXQSVBTBF6SLA	128	-6.82087236454857	68	0	0	0	-1.9869529544888032
Toys	validation_t_minus_2	AYFGIZUMHUKCT	1280	-5.876696699368098	51	0	0	0	-2.5256190497290953
Toys	validation_t_minus_2	AYMRVJI3K0XUK	3945	-0.5010858643509586	1	0	0	0	-1.753109847857596
Toys	validation_t_minus_2	AYUF7YETYOLNX	10589	-4.763505428501119	20	0	0	0	-3.2349869626333403
