user,target,sasrec_rank,pop_group,history_length
A11ETVT8EYHOW2,B000ZMBSPE,4,head,9
A2GJ6UJAJ3E3BG,B001GEEQ90,34,head,13
A1CZ8H4XCZ8DQT,B000C234ZY,26,head,3
A2G9C2ED6C4EM5,B00A0IWSIO,50,head,4
A2XBY85Q66APKR,B001JKTTVQ,6,head,7
ALLY2ZFHNKB3C,B001MWV40U,20,head,3
A1MXA7BT95J28Z,B005GHP5UC,47,head,3
AU0Y2UA2OF7DZ,B00ATWDTIE,42,head,3
A417UK6568G60,B006T8T0P8,37,head,3
A15MQTLXQE56ZX,B003RF82UK,43,head,3
A1TB1MDGPMSAF5,B008SPOKIW,14,head,3
A31AVXMESQRQAC,B00ALV8EKQ,13,head,4
A3NYNI9Y5GZZ6F,B007Q0WW0S,33,head,4
A4DIVP0NEQDA3,B0084A5PSK,17,head,8
A3DEZ6XJMPWNKH,B00C7DYBX0,15,head,10
A3BDK0JTA1EO6R,B0046VGPHQ,42,head,5
AB0Z0W6E4BWNX,B00A51LI1O,15,head,7
AO9KZ2D5EH0N4,B0056GDG90,34,head,6
AL5IW29C1ZI5U,B004DIXYUI,21,head,4
A8A2Z5WRS4WRC,B0043OYFKU,14,head,4
A1MV4JYOZEDGNX,B007Q0WW0S,26,head,6
ASJE1XJY3EIN2,B004INUWX0,22,head,5
A1WDRY72NJZ8LQ,B00021C1LI,14,head,3
AGGZRNKOHJ5QE,B0038TYTSO,18,head,14
A10UH6NKDBE2Z,B006L16BHS,22,head,7
AYN5W3Y23CZ7L,B0014UAHQW,48,head,12
A13E3L5NR2VOOQ,B000TKH6G2,6,head,3
AS79L77IK4S1V,B006K9OQSC,43,head,4
A1XWX7QTBR3UPV,B00GYB13OQ,17,head,4
A28N9L2ODRWPEN,B009T47YZ2,41,head,7
A105TMLESHR0Y4,B007Q0WW0S,25,head,5
A66PUSYYU0VPQ,B003V265QW,17,head,3
A1R3N03RC1Q3BD,B008PEXV3Q,5,head,3
A2OZ6PW2W5FQTP,B00AHF1GK6,7,head,11
A1K4UFU4G2IRUV,B008SPOKIW,7,head,6
A1HS1JS92UY6HK,B006L1DNWY,11,head,7
A21U4DR8M6I9QN,B000ZMBSPE,27,head,6
AXKYV5H8BP3P7,B006CD6616,39,head,9
A2SWQ0G4HSG0KL,B0038TVH3Y,14,head,8
A13D08OA1VG6J3,B007BJ3KQ4,50,head,7
A1BAR0DUQ1770Z,B004SXTF38,47,head,12
A1IT4BZFQ69KMD,B0027VCNGO,45,head,4
A2GU4IYFN4CDS0,B003MJ7Z0O,28,head,8
ACSGHYYW0Y2FN,B004TSFE6Y,14,head,5
A2FXPDJMNEXY2M,B004TSFBNK,21,head,7
A22L9WVGO65VGE,B001MWV40U,8,head,4
A3CW0ZLUO5X2B1,B00121UVU0,8,head,3
ANL4FGMVWPQ6K,B002WTC37A,11,head,8
A10QJVO4NWCL74,B00021C1LI,30,head,7
A1HRZX0SKMZ025,B004BCT950,11,tail,10
A1CWKWRW91JAK7,B00538TSMU,31,head,3
A20HT40PQ53X3V,B003V265QW,26,head,5
A35FXC9PQBB7BS,B006IBM21K,28,head,5
A1FELY9TDK5KDS,B0000CC64W,13,head,3
A2HYEJ7Y0R5FSD,B00AZBSPQA,29,head,9
A2XK9NPCPIF8HJ,B00AE07IEM,29,head,7
A2M6OZ8KDJGIJK,B009FKNGRA,47,head,7
A19ASCRHT5N8EV,B000ZMBSPE,3,head,6
AORFFI6CYLO4X,B002PBCAEQ,39,head,3
A3C8W1FDQ3LYPW,B005UBN2AO,37,head,3
AU45521RWBVNJ,B000TKH6G2,13,head,9
A1AKMZ9CTQMKBB,B004TSFBNK,24,head,5
A2PUEQLH8A19FZ,B00150LT40,6,head,3
A13X2JFJO9XUC,B004TSFBJO,26,head,11
A2IRKG98LO6ZFI,B000052YM7,39,head,3
A1DCBQD9QX2I3J,B007BJ3KQ4,23,head,20
A483CZ67W5XNY,B004DIXYUI,27,head,5
A3S19E6CYG3406,B004TSFE28,37,head,3
AVAL1T27UJ5HD,B00HM6JLNW,19,head,15
A3UNMNTX1Q9R6M,B003RF82UK,22,head,4
A3BFKX0KZ5A9SS,B008RTNSJQ,31,head,3
A327PRMDA0HJVJ,B005C5FP9Y,15,head,4
A2D5Y5Q2I8M7NU,B000ZMBSPE,1,head,3
ACITRRS5O3D4C,B006T8T0P8,15,head,10
AC2XZ2EOOTIUO,B005C5FP9Y,25,head,3
A2QVYND4OO835K,B0002Z8HAI,49,head,5
A30JPZ9TZ7I61U,B00A0J09C0,10,head,6
A3GHTSDCM8B4V7,B005OZJYUS,45,head,20
A3MB1U4FW8ZTP6,B0043OYFKU,44,head,9
ANCVB1IFJR04Q,B003MJ7Z0O,7,head,7
A356FDKTK6DL4H,B003RF82UK,46,head,4
A62YLUD4BHI1Y,B000OYJ9AO,48,head,4
A3BEJ9UVJMENK2,B003ILUQPM,42,head,3
A1VJCR1AJRFJJ7,B006U98T08,27,head,5
A38R6HM8DRQ6PE,B000HRVC5I,10,head,4
ANP2HRJGC0Z43,B0014UAHQW,47,head,6
A1PAGHECG401K1,B00F008GFQ,6,head,20
A2RM1ZBF5BG3CV,B006U98T08,31,head,8
ARWGSFZJBDBGW,B000ZV0D9W,18,head,8
ALNFHVS3SC4FV,B00KCFAZTE,16,head,20
AYM4NKOZCZVA6,B006QO4BRM,49,head,5
AWPGV9OROV3BU,B005BF1M10,2,head,17
A16O41ZVTTGSDK,B000NE6QP6,32,head,7
AQPW5A9DGW5SQ,B003MJ7Z0O,1,head,3
ADJAFCKGZH27Y,B000TKH6G2,17,head,6
A1ZA7NTBENBUW3,B004TSFE6Y,10,head,6
A5JAJJGS9RA99,B009T47YZ2,36,head,4
A25FX4RJOHPQ5O,B004TSFE6Y,16,head,20
A145HTPNSBUTFU,B000ZMBSPE,12,head,5
A3UQ5RCJLA6RV2,B00CDGR29G,49,head,4
A7ZUY93SQIMVM,B000L596FE,11,head,13
A23W0SJ22G5WW1,B006L16BHS,45,head,4
A2RS1G1TUUUCU4,B0048O2R1E,2,head,4
A19HDB4BN6RFFT,B00AQX87M4,16,head,20
A3CCY15WKC3VDH,B005HIH7YM,4,head,6
AT83N7GQD5EIM,B0056GDG90,13,head,3
A20B85W2RYRTQO,B0068Y6CA4,6,head,4
A3GJRZ7FN51LMK,B00150LT40,2,head,5
A3JJBCPBEJQEM4,B007BLN17K,5,head,4
A31MGUAK2T9IGT,B00AVP37G8,38,head,3
AB2D59DYSGGEV,B005HIH7YM,10,head,3
ADI6PGLLK3CU3,B000VPPUEA,29,head,7
A3VHZJN0SQ01M0,B004XJNQXW,15,head,4
A3V82SML10Y4Y7,B003RF82UK,17,head,13
A1INJS8JX8RIDT,B004675EI6,21,head,20
ARSQ2F9U315WG,B00G5WO2VK,37,head,16
A1MYSJOMXDP56N,B000HRVC5I,28,head,6
A3RPH26JTPO3JO,B0038TYTSO,40,head,4
A3QHWECV61PZFD,B004DIXYWG,2,head,6
A23MUHEJ2XCOUX,B001U9M2EW,34,head,3
AWU8B9JFO1BIE,B002QI1E9K,43,head,4
A2P3YTFT1NQGGO,B00700H128,14,head,5
A1QI4WYUKN9U9L,B0068Y6CA4,12,head,3
A1HFX09Y3MG3G5,B002WTC37A,23,head,3
A3M6KV5PDU46YI,B00HM6JLNW,20,head,20
AJ48OJORP4NE4,B00A0IWSIO,49,head,11
A1DOS1TMRAS4MT,B001GEEQ90,27,head,3
A344JWPJ7HIG2K,B005HIH7YM,44,head,3
A1YP3QSM10EECD,B001MA0QY2,34,head,6
A1HG89CGT7YODD,B001Q878WI,43,head,5
AIGKP8O35C6NK,B0030O3VRW,5,head,3
A16POG0WCQ8YMI,B005Y6F4WO,34,head,4
A16GWMW2GI8XUJ,B000052YM7,44,head,8
A3FY8LBZYT2RPN,B003I6O5RC,36,head,9
AFQSRY04WVAQY,B007BLN17K,13,head,4
AEF7LMTURVVI8,B0020MMCJI,50,head,4
A3N3CLV6EBSY53,B00683MOWK,25,head,16
AH7LEM0PY61FA,B007ML0OY2,31,head,5
A21XW1M1DOSJS5,B0068Z7MT8,28,head,6
A2CFPL1FSZ6X89,B008SPOKIW,3,head,3
A2LQ1O3IHJQPFF,B001ABLKK2,21,head,18
A1T0TLLC73F604,B005XIDZHO,50,head,3
AFWYLWKLOZZQ4,B001T8JLRK,45,head,3
A3EXR47MYDRLQG,B004DIXYWG,2,head,7
A1M4OLB2W10T0P,B004BCT93C,44,head,3
A1IWKQIP49VK14,B002X9XV48,42,head,3
A1759F3VE8NZWM,B0076D1YF4,34,head,8
A28DUP3ZYFS6NH,B0012J30LY,44,head,7
A2I02GDZCKPPZQ,B000PQGYOU,39,head,3
A1W4F91DH3XPB2,B00AHF1GTM,32,head,9
A135R0GHEPD0IN,B000NE6QP6,25,head,3
A1QV5IH6HDRN0L,B004ZD2M6I,19,head,20
A2BKT51JAU9XV7,B0043OYFKU,3,head,6
A3SZHL2TCTLJVR,B000L596FE,47,head,3
A2VMYH4YFRJPH2,B00683MOWK,36,head,5
A32NFU7Z7PM0PC,B0023A7JF4,30,head,4
AQRWEVFYNOYLJ,B004INUWX0,17,head,4
A2DGJH4QB9LFBP,B0092SVTGA,49,head,4
A1JVEOIYFZO6T0,B000052YM7,36,head,3
A1TIR6Q7YY3PAM,B007BJ3KQ4,15,head,3
A816UQK3N6G6R,B00C7DYBX0,24,head,4
A21S2DEKTA0VG3,B0046VGPHQ,13,head,4
A2QMXTMA9OQH1G,B0038TYTSO,48,head,3
A1YIYGMYN18994,B007BLN17K,9,head,5
A2THH7V29APXNE,B007Q0WW0S,9,head,3
A2YWRWSLEJRM92,B00GYB13OQ,14,head,17
A1D6DFC3AGV3JZ,B00AO4E9E0,24,head,12
A2MG633AUOR3CZ,B005X2F7KI,29,head,6
A2Z4TTV42014IG,B0062MAAAK,40,head,4
A3N3HKXI8Y5BSR,B005PZ2PNK,21,head,4
A5L44YGYRWV64,B004TSFBNK,22,head,8
A84FLVDK2R5JF,B005XIM6J2,47,head,5
A2I0HOY7DY69CA,B006UET5UG,27,head,11
A2H59CMG8AI37Y,B0020MMCZW,44,head,3
AZ8LWA8572X3T,B006L16BHS,13,head,5
A3TVN0ZKRRMP7U,B005UBN2AO,42,head,6
A24ND9UBZ6DKTK,B002R23I76,21,head,5
A33ATJOPO2HF3C,B005HIH7YM,20,head,3
A2B7JMKJJ93VQX,B004LEJ8R2,43,head,4
A20VJZAFCQVEBT,B00683MOWK,43,head,6
A3RWTLSDOA4G77,B003VMZYSC,33,head,4
A28SADW5GPJEFA,B007TLJP2W,35,head,11
A3NYUIJ1ATRS42,B000TKH6G2,5,head,5
A1KS4OCFJWMZ0V,B001Q878WI,27,head,5
A3SQAU1OFMPLNI,B006OMHR1S,23,head,14
ANCBTPN4DK3DJ,B008FOT6U8,32,head,6
A1ERG6UTN8OHME,B004DIUWAI,33,head,4
AODLDPOXTT05S,B004Y5M8QQ,10,head,4
AUUEV1QO5IIF6,B004LEJ8R2,24,head,3
AO5AUBM8XAU2E,B003UH0528,4,head,5
A1AB3SEDDMS0BO,B0089JVDPK,49,head,8
A2EDE9CG313SPV,B0002Z8HAI,41,head,4
A34AXW82A6CC80,B002PBCAEQ,38,head,3
A2EFZL81NIDHEE,B004MJIL92,33,head,3
A2GAL6WJMW2HQE,B003OH07G8,48,head,4
A1MPWQVJBMGDSB,B0030HAF4G,38,head,6
AB0Y33G717HOU,B008U2Y9BQ,5,head,5
ATD0ZMQC92NIT,B0023A7JF4,38,head,4
AKAOBD332CLPP,B001MA0QY2,41,head,7
A1YHXGV6GC51IM,B002WTC37A,16,head,10
AVF7PHGY9NDII,B005UBN2AO,41,head,7
A3UB4ZB8L4CPJS,B001MWV40U,14,head,4
AB1TXTH9KT4YM,B002WTC37A,3,head,11
A3O0KKQBWVOFWY,B003V265QW,36,head,3
A80LBUXF4KNNC,B0019QL0OY,42,head,7
A32ZGQ60J29IEW,B00GYB13OQ,44,head,3
A195KGTKPYJK22,B003RF82UK,29,head,14
A27RVRXXT1JLO3,B00GYB13OQ,45,head,12
AUGIRATZBW84W,B005X2F7KI,44,head,3
A1O76U1I1I93E8,B0030O3VRW,32,head,4
A2LYK1AGZ4U9L8,B000L596FE,9,head,7
A2T9BT0JW2VUQ8,B0058P6S2Q,35,head,17
A2CCQTFW5J6RP9,B00150LT40,1,head,5
A33VELHWFACU48,B00AE078TM,11,head,11
A2UTUFIKBSMS9P,B0020MMCJI,10,head,3
A2H0O8QY5WZ1ZA,B007Q0WW0S,22,head,8
A377RYV182M3D7,B00150LT40,18,head,7
A33BBAXQY7RDX9,B004DIXYUI,12,head,3
A22J0NRBF5PV,B004LXHEX8,26,head,9
A1ROZSS0KIE0CC,B00AQX87M4,5,head,20
A2JJ3PGTYH4RBW,B000VPPUEA,14,head,5
A18R5UX0U1R642,B004VMGTY4,18,head,7
AA727ZC2CFXJB,B006CD6616,29,head,12
A3KIIIC0MX3UA3,B001MA0QY2,30,head,3
A1PH5HH9PG8EKB,B004DIXYWG,6,head,4
A3F5DTMDJPAQGB,B003OGT4KE,38,head,5
A2DLRRMRYOCLU3,B00DSLFNQ4,29,tail,20
AV8Z6FP0WTDG8,B0046VGPHQ,27,head,3
APZ7K2I5XO129,B000L596FE,18,head,3
A39K0P5TVTWLWT,B0013TM9UQ,32,head,10
A3QAJ0P6RBB6H2,B0080GV0Z0,50,head,3
A1PW5SQLR0Z6IH,B00AO4EBOI,33,head,12
A3DBFP8GMZR209,B001V3TVEQ,8,head,3
ANWWNTNGY86CX,B0046VGPHQ,31,head,3
A2CUWCJHUPGL9W,B00ALV8EJM,26,head,11
A1YKICY93I50R4,B001UREIFU,32,head,3
A2U9NZZAI2NV4Z,B000ZMBSPE,2,head,6
A36FIOWY2S2S8J,B006L16BHS,12,head,3
A3G7GEO2Z9AO9L,B0012J30LY,28,head,3
A2MXNH5CYUBMAS,B003MJ7Z0O,6,head,4
A276FG0XPT31AC,B006BA3BAY,4,head,7
A1OOSIETFRZHRD,B0070TSNO4,29,head,3
A3G5YHRG57Z4TQ,B003COAFPQ,1,head,3
A27NGZGV63VMP2,B008SPOKIW,20,head,3
AWKZAUC0D8DYL,B00AE07EGO,43,head,4
ABSI0HAXWZ82G,B006L1DNWY,14,head,5
A3H4FKAS5IKN9V,B004J31KOO,49,tail,7
AR8R7ACJNVXFN,B004XJNQXW,10,head,10
AI4KPBNGE59JG,B005R3UYEW,41,head,3
A3KW0DQEUCD8FO,B004YBW5T0,35,head,5
A19DZQ1GLMCD2P,B00021C1LI,8,head,7
A3HM7UFESAMWLW,B005XP4YNQ,36,head,3
A24VQTY2LYNAFT,B003V265QW,39,head,6
A1O533QVSOTWNY,B004LUZ956,26,head,5
A1SORA0GA7W3WG,B0000CC64W,40,head,5
A11EIDY6DD40CS,B000E0K7NQ,42,head,5
ALBBQ185G7AQT,B0048O358S,48,tail,3
A3EDU8NW2S6CO5,B003VI0HVA,9,head,8
A2I89FQUSMESB,B002LB75AO,7,head,4
A2EOX5XAVNXE2O,B00GTC0IY6,42,head,15
A23164157UKPXV,B008U1Q4DI,7,head,3
A1VOSV0YY10DDO,B002LB75AO,36,head,3
A2LJY9YPPUJZT0,B006Z96OI2,42,head,4
A6YDRG64KXEN4,B003MJ7Z0O,8,head,10
A2IHBYQAW5MAJN,B008SPOKIW,5,head,3
A2S0PELQX7R57K,B008U1Q4DI,1,head,10
AZN28ZLXYIJDE,B004D24818,22,head,5
AVOKU5ACZSB0J,B009T47YZ2,23,head,11
A1SKTMYIR5EF0,B0046VGPHQ,22,head,3
AGF7BHKPVO8DV,B008RTNSJQ,20,head,3
A3PRGEQY08KBGE,B005MG86TY,27,head,4
A17CHDFZ6SQI9X,B0038TYTSO,22,head,3
A9UKC8VZM9W0L,B006BA3BAY,37,head,6
A27FZGNMKJ1VEP,B0062MAAAK,36,head,9
ABJM5JJP6E63J,B003UF0RB4,30,head,3
A8TM0MI3D9T29,B001ECQ55M,15,head,3
A5AHNBEE928YO,B001AO0WCG,6,head,9
A2FYHXEQIH45GT,B002QI1F8A,42,head,3
A2LRWPOU63KCW8,B006UET5UG,4,head,16
AZLE2XFH3JUNG,B0087O4XKE,28,head,6
A2BIZHHB24Q1XE,B00021C1LI,13,head,3
A3UD0EXO01PSQE,B003COAFPQ,4,head,11
A6DU9Y2G39QDK,B0053ZA1ME,49,head,3
A27TG3E0Z6G7YK,B00EA4MHN0,44,head,4
A26UIADA3AI330,B002L6NZHG,35,head,3
A2KTFTRTY0ONWF,B000L596FE,16,head,6
AXR28VF2RUCQ9,B008PEXV3Q,24,head,14
A1SBVY5DX5ZKUX,B002AMUIBM,25,head,5
A1U7YAYZCG6ELL,B009RNUH7M,40,head,4
A3PQR9UQ9SW1N9,B0090UJFYI,48,head,3
AT951J96VUHO1,B001AO0WCG,15,head,9
A2T3KX5WCGK7CM,B000ELP5KA,40,head,6
A21W2EZ9LA25ST,B000L596FE,22,head,3
A1B0R9I86NKVTH,B000ELP5KA,34,head,9
A33IYETJ5C08YM,B005Y6F4WO,15,head,6
AFIJQ8UPED1QV,B005TKZS76,26,head,7
AVXGN90BU95P8,B00GCQMSVA,11,head,5
A1JUF8HCOHA6UU,B000PLUZL8,15,head,9
A2RGMDNRJX33RA,B003VMV7D8,47,head,3
A140PADBB2597I,B000ZMBSPE,7,head,8
A3CMGL5WZ60EO2,B000142C1A,15,head,7
AXCNGPU7W5OGF,B0048O2R1E,3,head,4
AZ2NEHE8TNRUW,B001HTYJLO,36,head,3
A3S7CW4A14NECU,B001MA0QY2,12,head,3
A1B7SK8VN4XSP0,B002OVV7F0,37,head,3
A29XZH9BCY6T8T,B008GOR6O0,42,head,3
A37J11YG3P1DZR,B003VI0HVA,8,head,12
A1X7XDM0JCD46O,B005HIH7YM,22,head,3
A1D60ZR3L1XABY,B00021C1LI,22,head,3
A1L0PKTLW3M9HM,B005HIH7YM,4,head,3
A1CPVQO0UZGJ3C,B00683MOWK,24,head,3
A2BWY2EWWXSG1W,B000KNHJ5G,30,head,4
A4VPO0ZINJPB0,B006IBM21K,50,head,7
A3P738KVXL2YYM,B00B33Y2JI,15,head,3
A2XN4KMQJK2NN4,B0000CC64W,18,head,4
A3O8XXC0JGYQJ9,B003ILUQPM,40,head,3
A1YKI3IKM9KW8V,B000142FVW,9,head,5
A1GGIE85D0GCHN,B007O7AZBG,35,head,3
A2L6LGTCAO02FY,B006OMHR1S,18,head,10
A2QT3SNG7LBEQA,B0068Z7MT8,40,head,5
A35TGEG9SROFH4,B0016A8DT8,34,head,4
A2NC8NCS4DDAIW,B0030O3VRW,3,head,3
A2QJCQSBKEZ7F,B004ZD2M6I,43,head,7
A15U1Z3N0L3C12,B004YBW5T0,8,head,4
AMGULES114BUS,B0018DAUKI,32,head,7
ABZ8ZEVMD3CSX,B005HIH7YM,23,head,4
A1GMIZV2HQJTM,B001TJXI5U,21,head,4
A1VPNNU07W851J,B000VPPUEA,23,head,11
A3OX97ETWE4B55,B003COAFPQ,2,head,4
A2QQGLB70MWUPO,B004TSFBNK,49,head,7
A341ET90CBX4QE,B002WTC37A,11,head,8
A14H48G9QSK7F9,B007BJ3KQ4,24,head,13
A2M4B6PU38EFFM,B004TSFBNK,26,head,4
A2YOTVH5D5LVND,B003MJ7Z0O,38,head,5
A1AFXP7V5ROR47,B001U9M2EW,21,head,3
A24FY1EBJ7EWLH,B0056GDG90,9,head,17
A2HALHQIXTRBIR,B00AHF1GK6,10,head,5
A10UCR7QHTF29U,B0055E61KY,34,head,14
A1BYTWGKRF0LGJ,B0084A5PSK,47,head,6
A30UMK015J2IL8,B0014UAHQW,25,head,7
A2YLT28MXFIGF9,B004TSFE6Y,11,head,3
A2DPY1L4RDVHCV,B000ELP5KA,46,head,4
A2M26V917G31KY,B003ZX32ZO,41,head,6
ANFCYKPR7JU6J,B005FYJB92,33,head,6
AD0IJBVJ4FPB7,B0068Z7MT8,27,head,4
AS4R1T6OAJ5GG,B0068Z7MT8,46,head,4
A333LT37BEIV62,B007TL60IE,35,head,5
AYPLK04PQAKSW,B005HIH7YM,9,head,3
A3HISVKMJY30J9,B000ELP5KA,13,head,4
A1VESLZ76NGW4Z,B007ML0OY2,39,head,7
A21WDSFK5QOURU,B002OVV7F0,29,head,3
A37BB0V6ZIMKJO,B0068Z7MT8,20,head,4
A3VFRKLYD51HBX,B0012J30LY,22,head,4
A2JVDPBG3907OM,B0023A7JF4,37,head,3
A276UN19IILK07,B003ONLAXQ,45,tail,10
A2DYY6ZLCLRQHW,B000ZV0D9W,38,head,8
A3SWGPPBPZ1HVB,B002WTC37A,4,head,3
A3VL263FW0O1JL,B00121UVU0,8,head,4
AVQX6URGMHGPX,B0030HMQTS,50,head,5
AAAIJRGMQBXUG,B003V265QW,12,head,7
A24PKWXPJ4EPXH,B00C61F1C8,48,head,4
A21AOUVQBB2LJH,B0038TVH3Y,10,head,3
A3SGRYIICHGMX,B00AHF1GK6,7,head,3
A2R99I2RXNYT8A,B0087O4XKE,35,head,10
A3JFGQ8CISNRJ1,B0058L24O6,18,head,4
A37KS8CKH4Z3JI,B006K9OQSC,24,head,4
AR3YM3HMHNNED,B0014UAHQW,38,head,4
A371WIN4QTP8NF,B004DIUWAI,25,head,7
A2MAR6D62KLC3R,B000UVZU1S,11,head,4
A1ZKJNRH8LV10E,B005FYJB92,16,head,4
A8I2FWORWRBQV,B000UVZU1S,16,head,3
A2JXJYOR07ILN5,B002WTC37A,19,head,3
A206I34LH1OOE5,B004DIXYWG,6,head,5
A1A6XXVD54PNRU,B0046VGPHQ,47,head,5
A3FZ9YRXKIJ5I3,B000TKH6G2,10,head,4
A28UFYH79BA0Q1,B000V8MTIC,35,head,6
A2GK5S3ZF9Y8YO,B00GTBZXTC,32,head,9
A3SFI0SLCMP0KX,B008PTPSF0,45,head,20
