item,top_k_similar_item,current_tensor_width,ffnf_cf_tensor_width,ffnf_metadata_tensor_width,ffnf_tensor_width_sum,current_active_tokens,ffnf_cf_active_tokens,ffnf_metadata_active_tokens,ffnf_active_tokens,current_link_visible,ffnf_link_visible,current_cf_visible,ffnf_cf_visible,current_metadata_visible,ffnf_metadata_visible,metadata_visible_gain,link_duplication_count,current_title_visible,ffnf_title_visible,current_brand_visible,ffnf_brand_visible,current_categories_visible,ffnf_categories_visible,current_description_visible,ffnf_description_visible,current_price_visible,ffnf_price_visible,current_salesrank_visible,ffnf_salesrank_visible,current_other_metadata_visible,ffnf_other_metadata_visible
0980223644,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
0981924840,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,18,18,5,5,9,9,51,28,0,0,0,0,0,0
0984155848,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
0984155856,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
0984155872,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,10,10,62,39,0,0,0,0,0,0
0984608028,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
0992251656,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
1223062341,5,128,64,64,128,101,41,60,101,5,5,29,29,59,59,0,0,8,8,5,5,17,17,5,5,4,4,6,6,8,8
1223063097,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,14,14,60,37,0,0,0,0,0,0
1223063119,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
1223063151,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,6,6,65,42,0,0,0,0,0,0
1223069192,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,16,16,5,5,13,13,49,26,0,0,0,0,0,0
1556344732,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1556345542,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,9,9,59,36,0,0,0,0,0,0
1556346638,5,128,64,64,128,110,42,64,106,5,5,30,30,67,63,-4,0,8,8,5,5,9,9,12,12,4,4,9,5,14,14
1556347677,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,15,15,0,0,0,0,44,23
155634774X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
1556347782,5,128,64,64,128,128,42,64,106,6,6,29,29,85,63,-22,0,21,21,5,5,9,9,47,25,0,0,0,0,0,0
1564518531,5,128,64,64,128,120,41,64,105,5,5,29,29,78,63,-15,0,14,14,5,5,9,9,32,32,4,0,9,0,0,0
1570545340,5,128,64,64,128,89,41,48,89,5,5,29,29,47,47,0,0,5,5,5,5,13,13,5,5,4,4,10,10,0,0
1579822460,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,19,19,5,5,8,8,51,28,0,0,0,0,0,0
1579822630,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,13,13,60,37,0,0,0,0,0,0
157982269X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,13,13,59,36,0,0,0,0,0,0
1579823084,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,18,18,5,5,13,13,47,24,0,0,0,0,0,0
1581170769,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,12,12,53,30,0,0,0,0,0,0
1581171862,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,12,12,60,37,0,0,0,0,0,0
1581174837,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,15,15,5,5,12,12,51,28,0,0,0,0,0,0
1581178816,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,17,17,5,5,12,12,49,26,0,0,0,0,0,0
1589473221,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,10,10,57,34,0,0,0,0,0,0
158978068X,5,128,64,64,128,81,41,40,81,5,5,29,29,39,39,0,0,5,5,5,5,9,9,5,5,4,4,6,6,0,0
1589780817,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
1589781066,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
1589781244,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,9,9,58,35,0,0,0,0,0,0
1589781317,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,9,9,57,34,0,0,0,0,0,0
158994030X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
158994206X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,9,9,56,33,0,0,0,0,0,0
1589942108,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,48,40,0,0,0,0,14,0
158994223X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1589942841,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,9,9,56,33,0,0,0,0,0,0
1589942981,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1589944208,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,9,9,56,33,0,0,0,0,0,0
1589944348,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
1589944607,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,14,14,57,34,0,0,0,0,0,0
1589944623,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,15,15,5,5,9,9,53,31,0,0,0,0,0,0
1589944968,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
1589945158,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,9,9,58,35,0,0,0,0,0,0
1589946464,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,9,9,56,33,0,0,0,0,0,0
1589946634,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
158994691X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,9,9,56,33,0,0,0,0,0,0
1589947061,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,9,9,57,34,0,0,0,0,0,0
1589947207,5,128,64,64,128,91,41,50,91,5,5,29,29,49,49,0,0,22,22,5,5,0,0,5,5,5,5,8,8,0,0
1589949811,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,9,9,57,34,0,0,0,0,0,0
1591747775,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,15,15,5,5,10,10,19,19,0,0,0,0,33,10
1592923356,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,18,18,50,27,0,0,0,0,0,0
1593953534,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,17,17,51,28,0,0,0,0,2,2
1594721270,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
1601252455,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
1601253729,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,14,14,54,31,0,0,0,0,0,0
1601255624,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,24,24,5,5,10,10,44,21,0,0,0,0,0,0
1603800689,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,50,40,4,0,7,0,0,0
1603800859,5,128,64,64,128,93,41,52,93,5,5,29,29,51,51,0,0,14,14,5,5,9,9,5,5,5,5,8,8,0,0
1603801286,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,8,8,5,5,7,7,62,40,0,0,0,0,0,0
1604189681,5,128,64,64,128,122,41,64,105,5,5,29,29,80,63,-17,0,8,8,5,5,9,9,43,38,4,0,6,0,0,0
1604189738,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,16,16,5,5,9,9,43,30,4,0,4,0,0,0
1616610158,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
1616611359,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
1616611626,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,9,9,58,35,0,0,0,0,0,0
1616611715,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
1616611898,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,9,9,58,35,0,0,0,0,0,0
1616613769,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,13,13,5,5,14,14,50,28,0,0,0,0,0,0
1616613777,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,14,14,5,5,6,6,57,35,0,0,0,0,0,0
1616613785,5,128,64,64,128,128,42,64,106,6,6,29,29,85,63,-22,0,13,13,5,5,14,14,50,28,0,0,0,0,0,0
1616613793,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,14,14,5,5,14,14,49,27,0,0,0,0,0,0
1616613807,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,14,14,51,28,0,0,0,0,0,0
1616613815,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,9,9,60,37,0,0,0,0,0,0
161661398X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
1616614471,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,10,10,57,34,0,0,0,0,0,0
1616614609,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,9,9,60,37,0,0,0,0,0,0
1616615044,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,9,9,60,37,0,0,0,0,0,0
1616615354,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,20,20,5,5,9,9,49,26,0,0,0,0,0,0
1616615362,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,17,17,5,5,9,9,52,29,0,0,0,0,0,0
1616615370,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,17,17,5,5,9,9,52,29,0,0,0,0,0,0
1616615389,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,17,17,5,5,9,9,52,29,0,0,0,0,0,0
161661658X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,17,17,5,5,9,9,32,29,0,0,0,0,19,0
161661675X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,16,16,5,5,14,14,48,25,0,0,0,0,0,0
1616616768,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,14,14,5,5,14,14,50,27,0,0,0,0,0,0
1616616776,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,14,14,5,5,14,14,50,27,0,0,0,0,0,0
1616617047,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,19,19,5,5,14,14,45,22,0,0,0,0,0,0
1616617667,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,14,14,57,34,0,0,0,0,0,0
1617680893,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,9,9,59,36,0,0,0,0,0,0
1886978018,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,19,19,5,5,9,9,50,27,0,0,0,0,0,0
1886978034,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,12,12,57,34,0,0,0,0,0,0
1892069725,5,128,64,64,128,105,41,64,105,5,5,29,29,63,63,0,0,7,7,5,5,15,15,18,18,4,4,9,9,0,0
192978001X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,14,14,58,35,0,0,0,0,0,0
1929780109,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1929780664,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1929780699,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,21,21,5,5,9,9,48,25,0,0,0,0,0,0
1929780753,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
1929780907,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,52,41,4,0,6,0,0,0
1932188126,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,56,41,4,0,2,0,0,0
1932359842,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,15,15,5,5,9,9,24,24,0,0,0,0,29,6
1932855785,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,11,11,55,32,0,0,0,0,0,0
1933054395,5,128,64,64,128,87,41,46,87,5,5,29,29,45,45,0,0,8,8,5,5,9,9,5,5,5,5,8,8,0,0
1933054913,5,128,64,64,128,115,42,64,106,6,6,29,29,72,63,-9,0,10,10,5,5,15,15,24,24,4,4,9,0,0,0
1933318430,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,10,10,5,5,9,9,58,36,0,0,0,0,0,0
1933318465,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
1933318732,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,14,14,5,5,9,9,55,32,0,0,0,0,0,0
1933318872,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,9,9,58,35,0,0,0,0,0,0
1933318996,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,14,14,5,5,9,9,55,32,0,0,0,0,0,0
1935305239,5,128,64,64,128,119,41,64,105,5,5,29,29,77,63,-14,0,11,11,5,5,4,4,39,39,4,0,9,0,0,0
1936112159,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1936112191,5,128,64,64,128,112,41,64,105,5,5,29,29,70,63,-7,0,5,5,5,5,9,9,34,34,4,4,8,1,0,0
1936112264,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
193611237X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,9,9,57,34,0,0,0,0,0,0
1936300036,5,128,64,64,128,124,42,64,106,6,6,29,29,81,63,-18,0,7,7,5,5,15,15,37,33,4,0,8,0,0,0
1938146905,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
1938146999,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,9,9,60,37,0,0,0,0,0,0
2914849648,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
2914849656,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
291484977X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,6,6,62,39,0,0,0,0,0,0
2914849850,5,128,64,64,128,128,42,64,106,6,6,29,29,85,63,-22,0,6,6,5,5,9,9,62,40,0,0,0,0,0,0
2914849869,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
7293000014,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,31,31,5,5,22,22,25,2,0,0,0,0,0,0
8499000606,5,128,64,64,128,128,43,64,107,6,6,30,30,84,63,-21,0,19,19,5,5,28,28,29,8,0,0,0,0,0,0
8499002323,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,28,28,38,15,0,0,0,0,0,0
8499009522,5,128,64,64,128,128,42,64,106,6,6,29,29,85,63,-22,0,34,34,5,0,28,28,15,0,0,0,0,0,0,0
8677805966,5,128,64,64,128,128,41,64,105,6,6,28,28,86,63,-23,0,32,32,5,1,28,28,18,0,0,0,0,0,0,0
9269806723,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,35,35,5,0,26,26,17,0,0,0,0,0,0,0
9269807096,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,25,25,5,5,28,28,25,2,0,0,0,0,0,0
9269807312,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,45,45,5,0,28,17,5,0,0,0,0,0,0,0
9269808955,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,49,49,5,0,28,13,1,0,0,0,0,0,0,0
9269809579,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,22,22,5,5,28,28,28,5,0,0,0,0,0,0
B00000DMBB,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,4,4,5,5,14,14,59,37,0,0,0,0,0,0
B00000DMBD,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
B00000DMBF,5,128,64,64,128,80,41,39,80,5,5,29,29,38,38,0,0,4,4,5,5,9,9,5,5,4,4,6,6,0,0
B00000DMBJ,5,128,64,64,128,128,42,64,106,6,6,29,29,85,63,-22,0,11,11,5,5,9,9,57,35,0,0,0,0,0,0
B00000DMBK,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
B00000DMC6,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,11,11,59,36,0,0,0,0,0,0
B00000DMCE,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,10,10,58,35,0,0,0,0,0,0
B00000DMD2,5,128,64,64,128,100,41,59,100,5,5,29,29,58,58,0,0,6,6,5,5,19,19,5,5,5,5,8,8,4,4
B00000DMDN,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
B00000DMER,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,56,39,0,0,0,0,5,0
B00000DMF5,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,11,11,5,5,14,14,53,30,0,0,0,0,0,0
B00000DMF6,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,14,14,57,34,0,0,0,0,0,0
B00000DMFD,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
B00000DMFM,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
B00000DMFN,5,128,64,64,128,128,42,64,106,5,5,30,30,85,63,-22,0,5,5,5,5,14,14,58,36,0,0,0,0,0,0
B00000DMFS,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
B00000DMFU,5,128,64,64,128,128,40,64,104,5,5,28,28,87,63,-24,0,12,12,5,5,9,9,58,34,0,0,0,0,0,0
B00000GBQJ,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
B00000IRMM,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,10,10,60,37,0,0,0,0,0,0
B00000IRTH,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,18,18,52,29,0,0,0,0,0,0
B00000IRTI,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,11,11,57,34,0,0,0,0,0,0
B00000IRTS,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,17,17,52,29,0,0,0,0,0,0
B00000IRW0,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,14,14,58,35,0,0,0,0,0,0
B00000IRWA,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,62,39,0,0,0,0,0,0
B00000IRY1,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,6,6,64,41,0,0,0,0,0,0
B00000IRYI,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,12,12,57,34,0,0,0,0,0,0
B00000IRYM,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,11,11,50,27,0,0,0,0,10,10
B00000IRYQ,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,6,6,65,42,0,0,0,0,0,0
B00000IRZ4,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,7,7,63,40,0,0,0,0,0,0
