user_id	fold	history_length	target_frequency	tail_mass	effective_lambda	beta	gamma	baseline_rank	fixed_p9c_rank	oof_rank
A35NGY49ZY896M	3	4	12	0.000000	1.00000000	0.5	1.0	51	51	51
A1BP92HYW0HQST	1	6	4	0.100000	0.90000000	0.5	1.0	51	51	51
A144U5041CFKQR	0	6	4	0.000000	1.00000000	0.5	1.0	51	51	51
A3VAGT9TQUS9WE	4	4	3	0.300000	0.70000000	0.5	1.0	51	51	51
A2RXOQQCU6Z2X8	2	8	23	0.200000	0.80000000	0.5	1.0	51	51	51
A2OETFZ7IA6XSQ	3	3	3	0.000000	1.00000000	0.5	1.0	51	51	51
A1N03V52IRZ5PR	0	3	26	0.000000	1.00000000	0.5	1.0	51	51	51
A17B2QIN8RVRBJ	3	6	2	0.400000	0.60000000	0.5	1.0	51	51	51
AO9XKAUG5XH22	2	4	10	0.200000	0.80000000	0.5	1.0	51	51	51
A3G7BEJJCPD6DS	2	17	25	0.000000	1.00000000	0.5	1.0	51	51	51
A1V23RXLRBR73T	4	15	14	0.200000	0.80000000	0.5	1.0	51	51	51
A3N9DRV2RSEU6Y	4	6	11	0.000000	1.00000000	0.5	1.0	51	51	51
A25OJH02IZ86EP	4	7	3	0.100000	0.90000000	0.5	1.0	51	51	51
A2OD23539QMZS5	1	4	27	0.500000	0.50000000	0.5	1.0	51	51	51
A2M87ULJS7K5TQ	3	3	12	0.100000	0.90000000	0.5	1.0	51	51	51
A2R9PCIR3X3CAC	2	3	17	0.000000	1.00000000	0.5	1.0	17	11	8
A1CM9DM8R7ODFX	0	3	12	0.300000	0.70000000	0.5	1.0	1	1	1
A2CBPT24N2SQDJ	4	3	8	0.300000	0.70000000	0.5	1.0	51	51	51
A9RTRKZM3IEOY	0	4	29	0.200000	0.80000000	0.5	1.0	51	51	51
A3BRSKXH5657SJ	3	5	9	0.200000	0.80000000	0.5	1.0	51	51	51
A2NN8PP67SRX44	0	3	83	0.100000	0.90000000	0.5	1.0	51	51	51
A2J8P71K1DWF6J	1	6	24	0.100000	0.90000000	0.5	1.0	26	14	18
A3SU0OXYEQXLEK	2	6	94	0.200000	0.80000000	0.5	1.0	1	1	1
A316PEISP38C8O	1	7	7	0.200000	0.80000000	0.5	1.0	51	51	51
A3ARXE2KRSM0VF	3	8	23	0.200000	0.80000000	0.5	1.0	51	51	51
AQ1XM9TPJZ5MR	1	3	127	0.300000	0.70000000	0.5	1.0	51	51	51
AW9BJULSBM5Q	4	3	2	0.300000	0.70000000	0.5	1.0	51	51	51
A3UKTZTJRBF719	0	9	9	0.100000	0.90000000	0.5	1.0	51	51	51
A2WP8B9T3X61P0	3	3	21	0.200000	0.80000000	0.5	1.0	51	51	51
A2AVTJPQVX4OWG	4	8	51	0.000000	1.00000000	0.5	1.0	51	51	51
A5V4PMU0M4ILG	2	6	36	0.300000	0.70000000	0.5	1.0	23	28	28
A3M450F1MI9G5X	4	3	12	0.000000	1.00000000	0.5	1.0	51	51	51
A1AGUB4IUV7MFU	0	3	9	0.000000	1.00000000	0.5	1.0	51	51	51
ARIDN94LOCQFD	2	20	13	0.200000	0.80000000	0.5	1.0	51	51	51
A38K7SSI5890AP	0	5	7	0.200000	0.80000000	0.5	1.0	51	51	51
A1KHLGSQO7G7J0	1	4	6	0.400000	0.60000000	0.5	1.0	51	51	51
AEXG2O420LTLY	4	3	18	0.200000	0.80000000	0.5	1.0	51	51	51
A1O9TQSCKSLG9J	3	5	6	0.300000	0.70000000	0.5	1.0	51	51	51
APB9ABGPIWISR	1	5	1	0.100000	0.90000000	0.5	1.0	51	51	51
ARJ30AM9A4VPS	4	5	10	0.000000	1.00000000	0.5	1.0	51	51	51
A3MJ6KO3BG5PSX	2	3	130	0.100000	0.90000000	0.5	1.0	51	51	51
A2ILF5254TTZ98	2	3	7	0.400000	0.60000000	0.5	1.0	51	51	51
ADLYO655RWJUI	1	4	49	0.100000	0.90000000	0.5	1.0	51	51	51
A1VSD1TTO9LTA6	2	3	55	0.300000	0.70000000	0.5	1.0	51	51	51
A4PPZNQF1X2IY	0	3	8	0.000000	1.00000000	0.5	1.0	51	51	51
A2XOGLJ3V3X7DR	0	4	31	0.400000	0.60000000	0.5	1.0	51	51	51
A2H2W4UV8OHUDI	1	4	38	0.100000	0.90000000	0.5	1.0	15	14	14
A7YLDDB1MZP8H	0	4	51	0.100000	0.90000000	0.5	1.0	51	51	51
A1KU2VHK8BECRW	3	4	20	0.200000	0.80000000	0.5	1.0	38	8	9
AK9QPADLB9CV0	1	6	1	0.500000	0.50000000	0.5	1.0	6	12	8
A2I1B7GHNP1JTA	1	4	3	0.100000	0.90000000	0.5	1.0	51	51	51
A234HXDATOAYEY	4	20	14	0.000000	1.00000000	0.5	1.0	51	51	51
A2IJZWRR8GJ9A	1	4	71	0.000000	1.00000000	0.5	1.0	51	51	51
A4ONPTKOHKXPB	4	3	132	0.100000	0.90000000	0.5	1.0	49	37	45
ALYO802XSAPL7	4	20	4	0.200000	0.80000000	0.5	1.0	51	51	51
ASSJWXLNP773X	2	3	4	0.200000	0.80000000	0.5	1.0	51	51	51
A31ORAA66G2I2P	0	3	2	0.200000	0.80000000	0.5	1.0	1	1	1
AUMB4GTLYFGY9	1	7	13	0.000000	1.00000000	0.5	1.0	51	51	51
A139KRFZTCSJE6	1	3	11	0.100000	0.90000000	0.5	1.0	51	51	51
A3S2TOPDUII9K0	1	3	4	0.100000	0.90000000	0.5	1.0	51	51	51
ASB4QQBKZD6W2	2	5	17	0.000000	1.00000000	0.5	1.0	51	51	51
A241UDYWOGCAGX	0	7	9	0.300000	0.70000000	0.5	1.0	51	51	51
A1JTTI1KH3DOCY	4	20	3	0.100000	0.90000000	0.5	1.0	51	51	51
A1BOJE4E44MYW6	4	4	6	0.100000	0.90000000	0.5	1.0	30	42	33
A1PVOHZGN3G8VN	3	3	9	0.400000	0.60000000	0.5	1.0	51	51	51
A238ZSESNZ0OPF	1	13	15	0.200000	0.80000000	0.5	1.0	51	51	51
A2KB9VJBOMIC4Y	2	4	17	0.000000	1.00000000	0.5	1.0	51	51	51
A102DV5B0MSC68	0	3	74	0.100000	0.90000000	0.5	1.0	35	24	25
A1VLDIHYXRTMAH	3	3	24	0.100000	0.90000000	0.5	1.0	51	51	51
A3RRHT01JBVE5N	0	3	14	0.400000	0.60000000	0.5	1.0	51	51	51
A2B8V5HGXLYIDV	1	5	6	0.100000	0.90000000	0.5	1.0	51	51	51
A3A2AVD40MO6QT	2	7	5	0.000000	1.00000000	0.5	1.0	51	51	51
A2OW5HR1083Q0G	3	3	7	0.200000	0.80000000	0.5	1.0	51	51	51
A2380HQZW3LHP	1	3	5	0.400000	0.60000000	0.5	1.0	3	3	3
A1II2ZRPKZAQQD	0	20	7	0.100000	0.90000000	0.5	1.0	11	11	8
A1IDAKX7OM3QIE	0	16	32	0.100000	0.90000000	0.5	1.0	35	34	37
A16QWJNSAWFCQ4	1	3	12	0.000000	1.00000000	0.5	1.0	51	51	51
A1ZR54GWZM4QYK	4	7	17	0.000000	1.00000000	0.5	1.0	6	4	3
A1A4QTASZGJL3W	4	6	1	0.100000	0.90000000	0.5	1.0	51	51	51
A3R4GFCDXI93C1	1	15	34	0.300000	0.70000000	0.5	1.0	51	51	51
A14UOOROH3XRQ9	2	18	11	0.000000	1.00000000	0.5	1.0	51	51	51
A265B1IZE5RVG6	2	20	4	0.500000	0.50000000	0.5	1.0	51	51	51
A2L6QS8SVHT9RG	4	3	38	0.000000	1.00000000	0.5	1.0	45	46	46
A6879F1Z2OQVX	2	4	3	0.200000	0.80000000	0.5	1.0	25	44	38
A3UOJ4RLVUUDMI	4	3	11	0.100000	0.90000000	0.5	1.0	51	51	51
APDPA11IZPYLN	0	20	25	0.000000	1.00000000	0.5	1.0	51	51	51
A45B33GH6R0FJ	2	3	7	0.200000	0.80000000	0.5	1.0	1	1	1
A2OXB18PCWKLX1	3	3	11	0.000000	1.00000000	0.5	1.0	18	17	19
A1FJ5KR8PK0QF1	4	4	4	0.400000	0.60000000	0.5	1.0	51	51	51
A3UBR469X3HQF9	0	5	11	0.000000	1.00000000	0.5	1.0	35	43	33
A31JC6RV4951A0	3	5	7	0.200000	0.80000000	0.5	1.0	51	51	51
A1D0PIT85H5VO9	1	5	5	0.300000	0.70000000	0.5	1.0	51	51	51
A23TGI02RB7JC	3	20	22	0.000000	1.00000000	0.5	1.0	51	51	51
A2PFI4YA2DW1RF	1	7	51	0.100000	0.90000000	0.5	1.0	30	42	48
A3DTP68HT6DBJL	2	5	72	0.000000	1.00000000	0.5	1.0	51	51	51
A3N27L13CWJ9HY	0	9	36	0.000000	1.00000000	0.5	1.0	51	51	51
A1AK05CHLZX3GF	0	16	72	0.000000	1.00000000	0.5	1.0	3	4	5
A3TOH9LAG3SVDJ	0	3	41	0.400000	0.60000000	0.5	1.0	51	51	51
A26AYSYQM0TBNI	3	3	4	0.300000	0.70000000	0.5	1.0	51	51	51
A2C1R5BBL1WXTB	2	5	3	0.200000	0.80000000	0.5	1.0	51	51	51
A27S42MP4XMHV5	1	5	99	0.300000	0.70000000	0.5	1.0	39	23	33
ARHXHJ2NX9Q1Y	3	6	22	0.000000	1.00000000	0.5	1.0	51	51	51
AQ0Y2DX63QGNB	1	6	7	0.300000	0.70000000	0.5	1.0	51	51	51
AFICF7DKHTQ87	0	17	38	0.000000	1.00000000	0.5	1.0	24	26	33
A1JFETASTBHVJB	1	4	22	0.100000	0.90000000	0.5	1.0	51	51	51
A384GILMVNUQXT	2	6	25	0.000000	1.00000000	0.5	1.0	51	51	51
AUTXXHPDWKEOL	3	3	73	0.000000	1.00000000	0.5	1.0	51	51	51
AU503FDD0DI4K	1	4	14	0.100000	0.90000000	0.5	1.0	51	51	51
A12HI8X1Y0NU6O	2	3	9	0.100000	0.90000000	0.5	1.0	3	2	2
A2H1L3WQ0RUO4M	4	4	42	0.100000	0.90000000	0.5	1.0	21	10	12
A2OOLI2WFY4L2	2	4	18	0.100000	0.90000000	0.5	1.0	11	12	13
A6HHN1BJB7PDO	4	3	32	0.200000	0.80000000	0.5	1.0	51	51	51
A1NSRBEA58I0FB	4	5	63	0.100000	0.90000000	0.5	1.0	51	51	51
A3SDHJV8D9BYM	0	7	11	0.100000	0.90000000	0.5	1.0	51	51	51
A2XOGQZH6L5U2H	1	10	42	0.500000	0.50000000	0.5	1.0	51	51	51
A2NTIDRF1329W8	4	3	27	0.400000	0.60000000	0.5	1.0	51	51	51
A1OZGV36KIAUEZ	1	10	72	0.200000	0.80000000	0.5	1.0	51	51	51
A2X186408TL18S	1	8	10	0.300000	0.70000000	0.5	1.0	51	51	51
A1DM78KNH8K1UN	4	19	7	0.500000	0.50000000	0.5	1.0	51	51	51
A70GLR2U4JSX9	2	7	2	0.400000	0.60000000	0.5	1.0	51	51	51
A14SIELSDKS5GR	0	4	26	0.400000	0.60000000	0.5	1.0	7	14	11
A10O18BTQL8QBE	4	6	3	0.200000	0.80000000	0.5	1.0	51	51	51
A32K817L9ULU8J	4	6	24	0.300000	0.70000000	0.5	1.0	28	9	9
A3MW876EZJMTHH	3	8	43	0.100000	0.90000000	0.5	1.0	51	51	51
A2H6M2IH5YN68J	3	3	2	0.100000	0.90000000	0.5	1.0	51	51	51
A2RGEQ4EOILD9Q	2	3	4	0.300000	0.70000000	0.5	1.0	19	48	43
A1HADVV7ZTJARK	2	4	6	0.200000	0.80000000	0.5	1.0	51	51	51
A3JM4IBJ42RY2F	1	3	139	0.100000	0.90000000	0.5	1.0	6	5	7
A18SK0IT354975	0	4	29	0.000000	1.00000000	0.5	1.0	51	51	51
A2MKY6T9KE7I54	3	5	14	0.000000	1.00000000	0.5	1.0	1	1	1
A2A07Z5PLR6AB9	3	3	10	0.100000	0.90000000	0.5	1.0	51	51	51
A3ECKVQPQ1DCFL	3	4	21	0.300000	0.70000000	0.5	1.0	51	51	51
A2KY6POA5T8URA	3	4	86	0.000000	1.00000000	0.5	1.0	51	51	51
A2CEUUD4H3JV8D	1	10	3	0.600000	0.40000000	0.5	1.0	40	23	24
A2RI25U0F857W2	1	3	4	0.200000	0.80000000	0.5	1.0	51	51	51
A3HL1LRW4VDG6A	3	13	9	0.000000	1.00000000	0.5	1.0	51	51	51
A1KHFO37SJWIRR	1	10	5	0.100000	0.90000000	0.5	1.0	51	51	51
A1PI2MSVWR8LWR	1	4	21	0.300000	0.70000000	0.5	1.0	51	51	51
A3V14SK22N2VAI	3	14	7	0.000000	1.00000000	0.5	1.0	51	51	51
A3M7H9O909Y3GZ	4	7	35	0.000000	1.00000000	0.5	1.0	48	47	47
A2MIHMKWI2D00L	0	3	30	0.100000	0.90000000	0.5	1.0	51	51	51
A39UX5CZ9X2ZIO	3	3	68	0.000000	1.00000000	0.5	1.0	1	1	1
A1XJPPTA54KCDT	4	8	34	0.100000	0.90000000	0.5	1.0	51	51	51
ASNC7GK0GTHL8	1	3	22	0.000000	1.00000000	0.5	1.0	7	3	3
A17437N1L775IJ	1	18	18	0.200000	0.80000000	0.5	1.0	51	51	51
A2EDRI3WWKLJQR	4	4	12	0.000000	1.00000000	0.5	1.0	51	51	51
A3JMI7T9UYNXU6	4	4	50	0.000000	1.00000000	0.5	1.0	9	6	6
AS7K8X16DC2JH	3	3	7	0.200000	0.80000000	0.5	1.0	51	51	51
A3V3RM9B1U8SC0	1	3	3	0.100000	0.90000000	0.5	1.0	51	51	51
A2NI91THBOWI20	4	3	17	0.100000	0.90000000	0.5	1.0	44	27	29
A1SNUCX9Z7WRF3	1	3	5	0.300000	0.70000000	0.5	1.0	43	39	36
ALDAF4VVLFRHP	4	20	14	0.000000	1.00000000	0.5	1.0	10	9	10
A7N9KA73W3PX2	1	3	1	0.500000	0.50000000	0.5	1.0	10	2	2
AKMQZNN9X3H2I	0	5	6	0.100000	0.90000000	0.5	1.0	51	51	51
A3NG7X4APIV649	4	6	14	0.100000	0.90000000	0.5	1.0	51	51	51
A3F480ONRYTLXR	0	4	44	0.000000	1.00000000	0.5	1.0	16	13	15
A31ADOKGF6S0MP	0	16	11	0.100000	0.90000000	0.5	1.0	51	51	51
A2Y5R0F7U0AUV2	2	5	23	0.000000	1.00000000	0.5	1.0	29	23	20
A3S8Z7ZLJIFP0I	3	6	7	0.100000	0.90000000	0.5	1.0	51	51	51
A3JQ9SPK2QOTQT	4	5	23	0.100000	0.90000000	0.5	1.0	51	51	51
A1CD2GFKM552DU	2	8	4	0.300000	0.70000000	0.5	1.0	51	51	51
A1M92239OM8KPO	1	5	26	0.000000	1.00000000	0.5	1.0	4	3	3
A1IBLDZKONGQ1P	2	6	2	0.300000	0.70000000	0.5	1.0	51	51	51
A1Y1VKNAJOCD1G	2	3	5	0.100000	0.90000000	0.5	1.0	51	51	51
A2NF4VDSPQ1S54	0	3	11	0.100000	0.90000000	0.5	1.0	11	11	11
A2PHMUTKSOFKCF	1	11	41	0.000000	1.00000000	0.5	1.0	51	51	51
A3R97FP9W5PQGV	2	4	9	0.100000	0.90000000	0.5	1.0	51	51	51
A2KGYJFT0ZPRBB	3	6	39	0.100000	0.90000000	0.5	1.0	51	51	51
A2LLAGJW7PKU9Z	1	3	3	0.200000	0.80000000	0.5	1.0	51	51	51
A2BR12BYIGV1ER	0	3	20	0.000000	1.00000000	0.5	1.0	2	2	2
A6T098A9B0GZC	2	7	5	0.400000	0.60000000	0.5	1.0	4	7	5
A1M1QHVH6CXU4Q	0	5	3	0.500000	0.50000000	0.5	1.0	51	51	51
AOS4WVF9W3L8L	4	12	23	0.100000	0.90000000	0.5	1.0	51	51	51
A3K150BGUET5KI	2	6	30	0.100000	0.90000000	0.5	1.0	51	51	51
A31ZGMY52UJ0FA	2	4	92	0.300000	0.70000000	0.5	1.0	35	7	18
A14A08BE9EVH1M	0	4	62	0.000000	1.00000000	0.5	1.0	51	51	51
A1LUTBKT54VUTJ	3	5	45	0.400000	0.60000000	0.5	1.0	51	51	51
A37C5RZGEILMYU	4	7	4	0.100000	0.90000000	0.5	1.0	51	51	51
AOX4AQIX6M5EK	2	5	7	0.200000	0.80000000	0.5	1.0	51	51	51
A1ZBEIL78MLR9Z	0	13	9	0.000000	1.00000000	0.5	1.0	51	51	51
A2K0FCG3I0PRPC	1	7	4	0.100000	0.90000000	0.5	1.0	51	51	51
A1HDLJ15OO4LK	2	15	5	0.000000	1.00000000	0.5	1.0	51	51	51
APLV1SMNDUMOY	3	5	50	0.000000	1.00000000	0.5	1.0	51	51	51
A3QSU3E3G9JRJL	1	3	2	0.200000	0.80000000	0.5	1.0	51	51	51
A2TN58XT8SBYY9	0	3	3	0.100000	0.90000000	0.5	1.0	51	51	51
A3B35QW37Q5FKK	0	5	6	0.100000	0.90000000	0.5	1.0	51	51	51
AK5EFXTR36OQ0	2	6	20	0.100000	0.90000000	0.5	1.0	51	51	51
A12Q2GK5VY2TR9	1	4	18	0.100000	0.90000000	0.5	1.0	51	51	51
AR7ZPLXAJ9YQ5	4	3	20	0.100000	0.90000000	0.5	1.0	51	51	51
A2SQI5NLZFGF85	4	4	11	0.000000	1.00000000	0.5	1.0	51	51	51
A161UJ11HHYTKS	1	6	8	0.300000	0.70000000	0.5	1.0	51	51	51
A2BWLV1M3G8W27	4	3	58	0.000000	1.00000000	0.5	1.0	1	1	1
A32RNRHTTCFS61	1	7	90	0.000000	1.00000000	0.5	1.0	51	51	51
A3JCIET7XQRZWS	1	3	14	0.200000	0.80000000	0.5	1.0	51	51	51
ACZMM7OTESMH0	4	6	3	0.300000	0.70000000	0.5	1.0	6	5	5
A3HZ83EUW587RM	2	5	7	0.300000	0.70000000	0.5	1.0	51	51	51
A6MBUVFWKZCRX	3	3	14	0.400000	0.60000000	0.5	1.0	51	51	51
A1444X9S5NG532	2	4	25	0.100000	0.90000000	0.5	1.0	9	6	7
A1VJ1I17SJC98V	3	5	15	0.100000	0.90000000	0.5	1.0	2	4	4
A1PBMMMRN2YVM7	1	3	31	0.100000	0.90000000	0.5	1.0	51	51	51
A2BUPFYUOFL8WH	1	20	9	0.000000	1.00000000	0.5	1.0	51	51	51
A1Z3QPQQP6EDOH	0	10	2	0.600000	0.40000000	0.5	1.0	51	51	51
A3FAV9KE01OVPR	4	4	41	0.000000	1.00000000	0.5	1.0	2	2	2
A11X2Q3Z7GLIVJ	2	3	9	0.000000	1.00000000	0.5	1.0	51	51	51
A1510WM4V9MICG	1	4	31	0.400000	0.60000000	0.5	1.0	51	51	51
A2OIGPPBTR65MR	3	17	6	0.200000	0.80000000	0.5	1.0	51	51	51
A2GCX6TJ7O1ABL	0	12	28	0.200000	0.80000000	0.5	1.0	51	51	51
A1Z8OFGUAVJAVL	0	3	16	0.400000	0.60000000	0.5	1.0	51	51	51
A2GCAXEAVBW2AG	3	3	9	0.000000	1.00000000	0.5	1.0	51	51	51
A3DTM08XWOZGYB	4	3	42	0.000000	1.00000000	0.5	1.0	6	3	2
A2CSUBM1565NGH	4	4	8	0.200000	0.80000000	0.5	1.0	51	51	51
A35K0699AN1EJ1	3	4	39	0.200000	0.80000000	0.5	1.0	51	51	51
A3F3B6HY9RJI04	2	5	11	0.000000	1.00000000	0.5	1.0	51	51	51
AVXVMD36FPP8F	0	4	12	0.300000	0.70000000	0.5	1.0	51	51	51
A3K79V6EK1DV7J	0	3	6	0.200000	0.80000000	0.5	1.0	51	51	51
AT08NIODVL3GP	1	5	4	0.000000	1.00000000	0.5	1.0	51	51	51
A11FW5TMTDTQO4	3	20	5	0.300000	0.70000000	0.5	1.0	51	51	51
A7357KQSOESYC	0	4	19	0.100000	0.90000000	0.5	1.0	51	51	51
A3CU4VWM1GWA8V	4	4	6	0.200000	0.80000000	0.5	1.0	51	51	51
A12HP658Q4FI5D	0	4	5	0.000000	1.00000000	0.5	1.0	51	51	51
A44OY8EFDM4IP	1	4	10	0.100000	0.90000000	0.5	1.0	51	51	51
A3F69LY1QJ7I5Y	4	5	18	0.000000	1.00000000	0.5	1.0	51	51	51
A3H8OYIER5SWSI	1	3	2	0.000000	1.00000000	0.5	1.0	51	51	51
AU246IQR4Z1EF	1	3	17	0.200000	0.80000000	0.5	1.0	51	51	51
AXF9B6ZWF03YZ	2	4	6	0.200000	0.80000000	0.5	1.0	51	51	51
A2BSAB56O2Z9L4	1	3	2	0.200000	0.80000000	0.5	1.0	51	51	51
A1RFEO61AGIRPR	1	4	34	0.000000	1.00000000	0.5	1.0	51	51	51
A33NTMJHWDV0O1	0	5	8	0.100000	0.90000000	0.5	1.0	51	51	51
A1GRIPPFYMIF0P	3	12	18	0.000000	1.00000000	0.5	1.0	51	51	51
A2HVY2VBR5IY6O	0	16	20	0.200000	0.80000000	0.5	1.0	5	4	5
A141W8WHW9AC3H	2	3	40	0.000000	1.00000000	0.5	1.0	31	16	15
A1I12P53XRMJP0	3	19	8	0.500000	0.50000000	0.5	1.0	51	51	51
A1EOL1UNHCQ2OK	1	8	17	0.100000	0.90000000	0.5	1.0	51	51	51
A1MXJVANURX26J	3	8	82	0.100000	0.90000000	0.5	1.0	51	51	51
A3OTYODDF52VX1	0	5	6	0.100000	0.90000000	0.5	1.0	51	51	51
A1Y1IE41K2NDT1	2	7	30	0.200000	0.80000000	0.5	1.0	51	51	51
A158VTFPOBZZY	1	4	38	0.100000	0.90000000	0.5	1.0	4	5	6
AQPRNOTQZVD62	3	3	10	0.100000	0.90000000	0.5	1.0	51	51	51
A3R25J093OGY3D	3	5	9	0.100000	0.90000000	0.5	1.0	51	51	51
A3C1S22BR7LVOZ	0	17	13	0.200000	0.80000000	0.5	1.0	14	6	8
A2K0CTIYO0R0H1	2	3	42	0.000000	1.00000000	0.5	1.0	51	51	51
A3085TU8091IW	3	5	14	0.200000	0.80000000	0.5	1.0	51	51	51
A127LL6NRV0A36	2	3	9	0.100000	0.90000000	0.5	1.0	51	51	51
A35GP64E7LQL80	0	18	4	0.200000	0.80000000	0.5	1.0	51	51	51
A1QJ8O04T2X0WR	4	7	7	0.100000	0.90000000	0.5	1.0	51	51	51
A3O2XYVT5YJB9X	1	9	13	0.100000	0.90000000	0.5	1.0	3	2	4
A24EWW9YP5HN62	2	4	4	0.200000	0.80000000	0.5	1.0	51	51	51
A3PIX3Y9W3BUOF	1	3	20	0.000000	1.00000000	0.5	1.0	14	11	9
A2025FCZVEUP8F	1	6	2	0.300000	0.70000000	0.5	1.0	51	51	51
A2OMI2NAEO1MZI	4	7	173	0.400000	0.60000000	0.5	1.0	10	14	19
ABGLRVU2QIECK	3	3	23	0.200000	0.80000000	0.5	1.0	51	51	51
AKXNQ67GCNKND	3	5	6	0.300000	0.70000000	0.5	1.0	51	51	51
A170GOPHLT54P2	4	11	66	0.300000	0.70000000	0.5	1.0	51	51	51
A3C7G0HOJTOQ0I	2	5	6	0.300000	0.70000000	0.5	1.0	51	51	51
A2Z60PVKWFO3SW	0	20	11	0.100000	0.90000000	0.5	1.0	51	51	51
A3I9B1CGS5TP2J	4	4	9	0.000000	1.00000000	0.5	1.0	51	51	51
A3U2UEBJNEX68I	3	3	31	0.200000	0.80000000	0.5	1.0	51	51	51
AY5XWJE0LEYB8	3	5	34	0.200000	0.80000000	0.5	1.0	3	3	3
A3I6PSQD9AL7VU	0	5	19	0.000000	1.00000000	0.5	1.0	51	51	51
A22IOW4U7ER2TR	3	7	6	0.200000	0.80000000	0.5	1.0	51	51	51
A33W1ED2CINHHF	2	4	5	0.000000	1.00000000	0.5	1.0	51	51	51
A3O739U0I3QXRY	1	6	4	0.100000	0.90000000	0.5	1.0	51	51	51
AV7X73ZW5KDCN	2	3	17	0.000000	1.00000000	0.5	1.0	40	22	12
A3IE8E0JN0LZFY	0	4	7	0.100000	0.90000000	0.5	1.0	51	51	51
A2V325C5TYPZTQ	0	11	6	0.200000	0.80000000	0.5	1.0	51	51	51
A1FMWLZ9YY91XI	1	11	8	0.000000	1.00000000	0.5	1.0	51	51	51
A3GSRSYNOZNBUY	0	4	21	0.300000	0.70000000	0.5	1.0	51	51	51
A2KP4CWYUTKUFO	2	4	36	0.000000	1.00000000	0.5	1.0	2	2	2
A1FM549IYXH16E	3	6	35	0.300000	0.70000000	0.5	1.0	51	51	51
A2U7BVPBW4AZTH	1	5	14	0.300000	0.70000000	0.5	1.0	51	51	51
AAXVHEC465APO	3	6	2	0.100000	0.90000000	0.5	1.0	51	51	51
A3MFU0GVZUVH3K	0	16	5	0.000000	1.00000000	0.5	1.0	51	51	51
A22321WGRP47QU	3	3	8	0.000000	1.00000000	0.5	1.0	1	1	1
A32JRYB13SAZUT	4	5	41	0.200000	0.80000000	0.5	1.0	51	51	51
A2KKSQO44MPRE5	2	3	52	0.200000	0.80000000	0.5	1.0	51	51	51
A28G3C33E5GW3P	4	14	3	0.100000	0.90000000	0.5	1.0	51	51	51
A174BJIC9OEL9K	4	3	10	0.200000	0.80000000	0.5	1.0	51	51	51
A2HLSO3T9PPEA5	3	12	19	0.300000	0.70000000	0.5	1.0	51	51	51
A3V6E16PSEARGV	2	8	6	0.300000	0.70000000	0.5	1.0	51	51	51
A2WA4Q15BNZ78J	4	3	17	0.100000	0.90000000	0.5	1.0	22	32	26
