user_id	candidate_overlap	sequence_top10_overlap	pcrf_top10_overlap	cached_baseline_rank	fresh_baseline_rank	cached_pcrf_rank	fresh_pcrf_rank
A1BMET3MONQ1WE	1.0	1.0	1.0	51	51	51	51
A2UAQ83AY3C3CY	1.0	1.0	1.0	51	51	51	51
AEMV9IMH665B9	1.0	1.0	1.0	38	38	32	32
A24HD3TRDRTNM9	1.0	1.0	1.0	1	1	1	1
A3AZIU63WQK6R	1.0	1.0	1.0	51	51	51	51
A3P2D0B50DXXDS	1.0	1.0	1.0	51	51	51	51
A1JU5OELW8PPWF	1.0	1.0	1.0	24	24	24	24
A15R8O74AEX1R5	1.0	1.0	1.0	51	51	51	51
AB38XEH4DLN66	1.0	1.0	1.0	51	51	51	51
A1IAEIOZQ2M03F	1.0	1.0	1.0	51	51	51	51
A13X4VIMZPP4OP	1.0	1.0	1.0	51	51	51	51
A17ZPLHRUPPEG5	1.0	1.0	1.0	51	51	51	51
A1I5JB80670KFG	1.0	1.0	1.0	51	51	51	51
A2Y87U9VKGRAAW	1.0	1.0	1.0	1	1	1	1
A3GVW21TD5PQAA	1.0	1.0	1.0	51	51	51	51
A39MKEAYS0XQA5	1.0	1.0	1.0	11	11	11	11
A23UF0YQDHL2LG	1.0	1.0	1.0	51	51	51	51
A1F1HEIAW7X3H	1.0	1.0	1.0	51	51	51	51
A2KQT4D0OZR569	1.0	1.0	1.0	51	51	51	51
APWXTMMNYNX4F	1.0	1.0	1.0	51	51	51	51
AF0EGN9J6610M	1.0	1.0	1.0	51	51	51	51
A25XU1RT0DJI3	1.0	1.0	1.0	51	51	51	51
A35I95L7BG74AN	1.0	1.0	1.0	51	51	51	51
A2D6LG91QQC29B	1.0	1.0	1.0	51	51	51	51
A379O5JZOPENK2	1.0	1.0	1.0	51	51	51	51
AIOB3K2PE2E3R	1.0	1.0	1.0	51	51	51	51
A153JKH35P5N2I	1.0	1.0	1.0	51	51	51	51
A13TUDSG4QK0P0	1.0	1.0	1.0	51	51	51	51
A33PBU9EHZ28PC	1.0	1.0	1.0	51	51	51	51
A3S801EXW1YK1	1.0	1.0	1.0	51	51	51	51
AG1JZXJ1VZ1HW	1.0	1.0	1.0	51	51	51	51
A3CW94YYFXEBSI	1.0	1.0	1.0	51	51	51	51
A2XX2A4OJCDNLZ	1.0	1.0	1.0	49	49	41	41
A3AE2LAXSIML73	1.0	1.0	1.0	51	51	51	51
A2RJ4DUC9IUDY0	1.0	1.0	1.0	51	51	51	51
A3GSGBKCIXB45A	1.0	1.0	1.0	51	51	51	51
A3DVO4RN4WA7A5	1.0	1.0	1.0	9	9	10	10
A2YGB747HQLREO	1.0	1.0	1.0	51	51	51	51
A3VISL7I6DN4K9	1.0	1.0	1.0	51	51	51	51
A1GQ1JGK9YM6BU	1.0	1.0	1.0	51	51	51	51
A2A4HGFGKO6BKP	1.0	1.0	1.0	51	51	51	51
A3AA5MUGG09CDS	1.0	1.0	1.0	51	51	51	51
A1E38ETRELK0OU	1.0	1.0	1.0	51	51	51	51
A2YHBS040TSI3B	1.0	1.0	1.0	51	51	51	51
A3DML7MESO9P8J	1.0	1.0	1.0	2	2	2	2
A3PVM083UFTZQJ	1.0	1.0	1.0	51	51	51	51
A3MFCKCUSW5OGE	1.0	1.0	1.0	51	51	51	51
A2BYTAC87S23BA	1.0	1.0	1.0	51	51	51	51
A3KC0CRGLO5LXJ	1.0	1.0	1.0	51	51	51	51
A3FG51WL7BP7LN	1.0	1.0	1.0	51	51	51	51
A7HUMX97N6J2R	1.0	1.0	1.0	51	51	51	51
A1OAQLHCVKKNC5	1.0	1.0	1.0	51	51	51	51
A3R5GTYQ50QVMD	1.0	1.0	1.0	51	51	51	51
A21S0K5PU4YO9L	1.0	1.0	1.0	51	51	51	51
A187FKQNMXSS8L	1.0	1.0	1.0	51	51	51	51
A2E3XN7ZGK8G6S	1.0	1.0	1.0	1	1	1	1
A1N5Z9WQ7G6B45	1.0	1.0	1.0	38	38	47	47
A309CYRJJNFMDG	1.0	1.0	1.0	51	51	51	51
ACH40GDEWZRJS	1.0	1.0	1.0	51	51	51	51
A26I6E533K6XZ8	1.0	1.0	1.0	51	51	51	51
A3OFAMMKK080ES	1.0	1.0	1.0	51	51	51	51
A2G7932FZ1GIXH	1.0	1.0	1.0	1	1	1	1
A1R27Q9GNRUGQQ	1.0	1.0	1.0	51	51	51	51
A3GU48VNT4BCFR	1.0	1.0	1.0	51	51	51	51
ANCQKZHPGDKS2	1.0	1.0	1.0	51	51	51	51
A22OVVLMT0025M	1.0	1.0	1.0	1	1	1	1
ASDXGRHJ1G0MG	1.0	1.0	1.0	51	51	51	51
A345BXR9RAZPQL	1.0	1.0	1.0	51	51	51	51
A2PXVMF9DH8NDZ	1.0	1.0	1.0	51	51	51	51
AJ7EXZ3ON0BVR	1.0	1.0	1.0	7	7	7	7
A3GV11WCN6B6OL	1.0	1.0	1.0	51	51	51	51
A3S3GGVSMN1BDM	1.0	1.0	1.0	51	51	51	51
A7JEWP1ITKQVJ	1.0	1.0	1.0	51	51	51	51
A2DF9FLWF98ZKP	1.0	1.0	1.0	51	51	51	51
A1KLPS6P7UR631	1.0	1.0	1.0	3	3	3	3
A1TKM36EYEQNSM	1.0	1.0	1.0	51	51	51	51
AFO678EAGH4Y9	1.0	1.0	1.0	51	51	51	51
A3G3J1K769O5EF	1.0	1.0	1.0	51	51	51	51
AYBESUR7FVD97	1.0	1.0	1.0	51	51	51	51
A2V8O6PWFD24V1	1.0	1.0	1.0	1	1	1	1
A2XMR57G65YL	1.0	1.0	1.0	51	51	51	51
AMRMK86X3PKXD	1.0	1.0	1.0	51	51	51	51
A35MGJOE55YM0I	1.0	1.0	1.0	51	51	51	51
A3PR7RM3L8TORU	1.0	1.0	1.0	51	51	51	51
ASRIOCTQPKK1B	1.0	1.0	1.0	51	51	51	51
A3HUC8541SJ6UT	1.0	1.0	1.0	16	16	14	14
A3BTL4FV6ODKAT	1.0	1.0	1.0	51	51	51	51
AZ9ZEQ5Y6QBDK	1.0	1.0	1.0	15	15	18	18
A2ADF3PBL46KW3	1.0	1.0	1.0	51	51	51	51
A2F74QFHK9EWPK	1.0	1.0	1.0	51	51	51	51
A23KACXOE9O9TX	1.0	1.0	1.0	2	2	2	2
AW9FZO9WF88CV	1.0	1.0	1.0	51	51	51	51
AYFGIZUMHUKCT	1.0	1.0	1.0	51	51	51	51
AJ91FXLL2VBN7	1.0	1.0	1.0	51	51	51	51
A22F6WEVKDYJ0O	1.0	1.0	1.0	51	51	51	51
AAEVGE52KL0DJ	1.0	1.0	1.0	51	51	51	51
A32WY3RGFMW9O1	1.0	1.0	1.0	7	7	4	4
A141WC0TY1PB6L	1.0	1.0	1.0	51	51	51	51
AXSP7X8A1YK41	1.0	1.0	1.0	51	51	51	51
ATZDGPMWR6N5D	1.0	1.0	1.0	51	51	51	51
A13H2ZRENPV9E	1.0	1.0	1.0	51	51	51	51
A3GZ0E8B9Z60J8	1.0	1.0	1.0	33	33	16	16
A2J2SK3BXBVXTE	1.0	1.0	1.0	51	51	51	51
A131IPB482MK2C	1.0	1.0	1.0	51	51	51	51
A2MSJ2NV99JXQC	1.0	1.0	1.0	51	51	51	51
A1OZEX6BNJEDBM	1.0	1.0	1.0	51	51	51	51
A325LPLXVP6F15	1.0	1.0	1.0	51	51	51	51
A1QIKQIBBIKGLD	1.0	1.0	1.0	51	51	51	51
ARMVD78URIPLF	1.0	1.0	1.0	51	51	51	51
A8757LV5QW9VX	1.0	1.0	1.0	51	51	51	51
A2YTL3NDH6JAHA	1.0	1.0	1.0	1	1	1	1
A3UTIIXWLL904I	1.0	1.0	1.0	51	51	51	51
A35C2IVVQR1HTK	1.0	1.0	1.0	51	51	51	51
A19LLI6RU662B8	1.0	1.0	1.0	51	51	51	51
A27W2GQI41K0W	1.0	1.0	1.0	51	51	51	51
ANUJTB160A13Z	1.0	1.0	1.0	51	51	51	51
A2K9VXMD7453LW	1.0	1.0	1.0	51	51	51	51
A1N5RY5DFBHT2Q	1.0	1.0	1.0	51	51	51	51
A1TFCGAYYXEVLA	1.0	1.0	1.0	51	51	51	51
A2TGH4VRQCS10Z	1.0	1.0	1.0	51	51	51	51
A3UOS7EC0NN88A	1.0	1.0	1.0	51	51	51	51
A2HID0OOMDK420	1.0	1.0	1.0	51	51	51	51
A2XHAL5LZM1PPC	1.0	1.0	1.0	29	29	24	24
A3OEGVSXY0Y07W	1.0	1.0	1.0	51	51	51	51
A3D4NL89UHIJ87	1.0	1.0	1.0	25	25	36	36
A3208DCETJQYDD	1.0	1.0	1.0	6	6	4	4
ASQKG1JENWA2M	1.0	1.0	1.0	51	51	51	51
A2945GC97CSCM8	1.0	1.0	1.0	1	1	2	2
A31C7L5241640T	1.0	1.0	1.0	51	51	51	51
A1QFGT1O6SZIHS	1.0	1.0	1.0	51	51	51	51
A1TQZ4RSHEKQ45	1.0	1.0	1.0	51	51	51	51
A1TDYS6Z6N1L9B	1.0	1.0	1.0	51	51	51	51
ACRS2XC8L3S2K	1.0	1.0	1.0	51	51	51	51
A2TWJ40S9HFUOB	1.0	1.0	1.0	51	51	51	51
A2SVJ25T8F8BTW	1.0	1.0	1.0	51	51	51	51
A3VGAP2KLCBNBB	1.0	1.0	1.0	51	51	51	51
A2RVSAIPOK5Z3H	1.0	1.0	1.0	51	51	51	51
A31RLBPR9AI8HE	1.0	1.0	1.0	51	51	51	51
A14H68GI0P8Q8N	1.0	1.0	1.0	51	51	51	51
A3AJQQEABBCYLX	1.0	1.0	1.0	51	51	51	51
AV19W38S18KEF	1.0	1.0	1.0	51	51	51	51
A2HB6YOYJPWNAL	1.0	1.0	1.0	51	51	51	51
A2G8TQFLNX5MKQ	1.0	1.0	1.0	51	51	51	51
A1YK31V8N02IFS	1.0	1.0	1.0	51	51	51	51
A3Q0M13QFMD84D	1.0	1.0	1.0	51	51	51	51
A3Q1GBD7C0999T	1.0	1.0	1.0	51	51	51	51
A19NP8YYADOOSF	1.0	1.0	1.0	51	51	51	51
AV0C12IXS9HYP	1.0	1.0	1.0	27	27	38	38
A2X4478R0TCQSF	1.0	1.0	1.0	51	51	51	51
A2B47LOX30XJ0G	1.0	1.0	1.0	1	1	1	1
A3J70SWLLQAFAT	1.0	1.0	1.0	51	51	51	51
A1OKSDRSOBXEZE	1.0	1.0	1.0	30	30	22	22
ALUUFD1P2VZEQ	1.0	1.0	1.0	51	51	51	51
A1THY8LHOAST5O	1.0	1.0	1.0	51	51	51	51
A3UEGI971RCXUU	1.0	1.0	1.0	51	51	51	51
A3BVHEIVQF5R0G	1.0	1.0	1.0	17	17	21	21
AOMKUI325W2TJ	1.0	1.0	1.0	51	51	51	51
A3W1ZA5JQVT33G	1.0	1.0	1.0	33	33	34	34
A15NFAT4JJBOO	1.0	1.0	1.0	51	51	51	51
A137V8GCRFOY74	1.0	1.0	1.0	51	51	51	51
ACIHXKMZIHV7W	1.0	1.0	1.0	51	51	51	51
A1J6SUXLMJMLLR	1.0	1.0	1.0	51	51	51	51
A2A1XYSB692L6J	1.0	1.0	1.0	51	51	51	51
AXW32H306JBP	1.0	1.0	1.0	32	32	28	28
A25369P9FFDF46	1.0	1.0	1.0	41	41	28	28
A2FI9CP6R2K9OC	1.0	1.0	1.0	51	51	51	51
A3EAUXPIL65GX5	1.0	1.0	1.0	51	51	51	51
A28GUBWX9630QJ	1.0	1.0	1.0	51	51	51	51
A1MOICOJEL4GRW	1.0	1.0	1.0	51	51	51	51
A29KEMZEV5BL2S	1.0	1.0	1.0	15	15	2	2
A2TJLZPKD1MW24	1.0	1.0	1.0	51	51	51	51
A25FWP777WLEHO	1.0	1.0	1.0	51	51	51	51
A1LACH6MLQWZ	1.0	1.0	1.0	17	17	21	21
AYCME2VJ64TAC	1.0	1.0	1.0	27	27	19	19
ASA6MO9JQS628	1.0	1.0	1.0	51	51	51	51
A1LIV3VUYJG926	1.0	1.0	1.0	51	51	51	51
A2S6QCNNN8AK91	1.0	1.0	1.0	51	51	51	51
A3N03K23S2ZEIG	1.0	1.0	1.0	51	51	51	51
A1K3BCUBHOCQMB	1.0	1.0	1.0	51	51	51	51
A37RS6K0AP1DQJ	1.0	1.0	1.0	51	51	51	51
A2LEZE5UVHFALD	1.0	1.0	1.0	51	51	51	51
A1T909MRTTF9Y	1.0	1.0	1.0	51	51	51	51
A14RYRR7ETV3UY	1.0	1.0	1.0	51	51	51	51
A3PK2QEYSBTWYI	1.0	1.0	1.0	3	3	2	2
AVX7RB9XQ29Q5	1.0	1.0	1.0	51	51	51	51
A1XBMV24O4XUTO	1.0	1.0	1.0	5	5	5	5
A2JBUYZCQAQF10	1.0	1.0	1.0	51	51	51	51
A28UMA3GW9L124	1.0	1.0	1.0	51	51	51	51
A3Q8JHRXVW2P8B	1.0	1.0	1.0	51	51	51	51
AYIVP2Q1XP3H8	1.0	1.0	1.0	51	51	51	51
A1X92E9FLWRU3H	1.0	1.0	1.0	51	51	51	51
AXN72SDUK0KQT	1.0	1.0	1.0	51	51	51	51
A2X5KTI8RDB0JH	1.0	1.0	1.0	3	3	3	3
A23P5YQ8YAHF6L	1.0	1.0	1.0	51	51	51	51
A11B61QBGHLQDN	1.0	1.0	1.0	51	51	51	51
A27S42MP4XMHV5	1.0	1.0	1.0	39	39	33	33
A62R496DI8W34	1.0	1.0	1.0	23	23	20	20
AJ48OJORP4NE4	1.0	1.0	1.0	51	51	51	51
A2TJJCSCF7YKB3	1.0	1.0	1.0	51	51	51	51
A1354C4W99WQUB	1.0	1.0	1.0	1	1	1	1
AV5980KJFVGCG	1.0	1.0	1.0	51	51	51	51
A1TSMUYO1K4L67	1.0	1.0	1.0	51	51	51	51
A5UKTFW7RTC01	1.0	1.0	1.0	51	51	51	51
A1GTFKOAZT8GQL	1.0	1.0	1.0	38	38	20	20
A35HCDS9EPCLLK	1.0	1.0	1.0	51	51	51	51
AIK0G28AWIL17	1.0	1.0	1.0	51	51	51	51
A1JWCNSL6W622O	1.0	1.0	1.0	15	15	9	9
A1VBDMNT6I8RE5	1.0	1.0	1.0	51	51	51	51
A3VGTW5DM6GH67	1.0	1.0	1.0	3	3	3	3
AS1FPHXL6YLOW	1.0	1.0	1.0	51	51	51	51
A1F7IP6EJ5DOR1	1.0	1.0	1.0	51	51	51	51
AX88IRRCYGW1S	1.0	1.0	1.0	51	51	51	51
A2XMO247S0NBJ0	1.0	1.0	1.0	1	1	2	2
A3T2FHMUNYZB7T	1.0	1.0	1.0	51	51	51	51
A1UY1YWNUTY4XN	1.0	1.0	1.0	2	2	1	1
A3V6E16PSEARGV	1.0	1.0	1.0	51	51	51	51
A2P08L70P8ET67	1.0	1.0	1.0	51	51	51	51
A3AZPAZXGOD4VL	1.0	1.0	1.0	16	16	15	15
A3KCKECEO3E2AN	1.0	1.0	1.0	35	35	22	22
A2WT9FBIC8G2UR	1.0	1.0	1.0	9	9	3	3
A29FLWXXYV07AF	1.0	1.0	1.0	51	51	51	51
A35MQP8B71CQ9C	1.0	1.0	1.0	51	51	51	51
A1ZR8AIM298DFT	1.0	1.0	1.0	8	8	10	10
ARGCRVY53Q5BR	1.0	1.0	1.0	51	51	51	51
A25X4F1TS2SW27	1.0	1.0	1.0	8	8	7	7
AAHPYVES8K6CK	1.0	1.0	1.0	1	1	1	1
A1FII6B4HLS8XR	1.0	1.0	1.0	47	47	50	50
A32WT1ZEE4QGZB	1.0	1.0	1.0	51	51	51	51
A4KKT5J33X0C9	1.0	1.0	1.0	51	51	51	51
A1H70WK52G194F	1.0	1.0	1.0	1	1	2	2
A3G42PNWASLGE8	1.0	1.0	1.0	42	42	34	34
A3KJ06Z2K3UGYG	1.0	1.0	1.0	51	51	51	51
A12E0Y0J6584RT	1.0	1.0	1.0	7	7	2	2
APQ225F9VOI97	1.0	1.0	1.0	1	1	1	1
A336PDROMWEDWL	1.0	1.0	1.0	51	51	51	51
AXQSVBTBF6SLA	1.0	1.0	1.0	51	51	51	51
A2M9NE0EX51O7Z	1.0	1.0	1.0	51	51	51	51
A1UULJW6V2ERBP	1.0	1.0	1.0	51	51	51	51
A2R8VXVVO50XIM	1.0	1.0	1.0	51	51	51	51
ACLKV3VV6FGDU	1.0	1.0	1.0	51	51	51	51
A3TTNQ1AUA2N63	1.0	1.0	1.0	51	51	51	51
A2RIAXGSBP65BJ	1.0	1.0	1.0	51	51	51	51
A3ORV1QBL4K9U1	1.0	1.0	1.0	51	51	51	51
A3B5NETV3NS2EH	1.0	1.0	1.0	1	1	1	1
A27DY7WQWLYSEO	1.0	1.0	1.0	51	51	51	51
A2GQ6ORWXGIGS6	1.0	1.0	1.0	35	35	44	44
A3N9DP3DISWORE	1.0	1.0	1.0	51	51	51	51
A3LWV94ZSGJANY	1.0	1.0	1.0	25	25	30	30
A2BPS64EXCJDKP	1.0	1.0	1.0	51	51	51	51
A2MRTFIDEAPZJ1	1.0	1.0	1.0	51	51	51	51
A2TI5R93FF69UN	1.0	1.0	1.0	51	51	51	51
A3G2PUQ455XMXJ	1.0	1.0	1.0	51	51	51	51
AETU6WZAUMX53	1.0	1.0	1.0	51	51	51	51
A1I8XTYJHWX6N2	1.0	1.0	1.0	51	51	51	51
A2KVKBIXBL9802	1.0	1.0	1.0	21	21	17	17
A2XNKMGEYHLUK7	1.0	1.0	1.0	51	51	51	51
A1ESSN3AWYWUTL	1.0	1.0	1.0	51	51	51	51
A17T1ADLB2YWZR	1.0	1.0	1.0	51	51	51	51
A3EXW4HNYX7HF5	1.0	1.0	1.0	51	51	51	51
A2SXGR38BJR47M	1.0	1.0	1.0	51	51	51	51
A2FSPEEQSF1D3L	1.0	1.0	1.0	51	51	51	51
AYUF7YETYOLNX	1.0	1.0	1.0	51	51	51	51
AP1IQ8PYS5YHB	1.0	1.0	1.0	51	51	51	51
A1UXYKT3295IFA	1.0	1.0	1.0	51	51	51	51
A2MP7JGO747X6E	1.0	1.0	1.0	51	51	51	51
A38942DXUBBVH7	1.0	1.0	1.0	51	51	51	51
A2O35ES6WSV2Z2	1.0	1.0	1.0	51	51	51	51
AJM8UJ66W6YT	1.0	1.0	1.0	51	51	51	51
ADSFUJVGDLOE4	1.0	1.0	1.0	51	51	51	51
A1ZAIEZHFLI9UN	1.0	1.0	1.0	47	47	26	26
A112JF58KKB8LP	1.0	1.0	1.0	51	51	51	51
A1GN7ZHUL5R03A	1.0	1.0	1.0	51	51	51	51
A3DIDEUX0W5VT6	1.0	1.0	1.0	51	51	51	51
A351YEOZLLR34M	1.0	1.0	1.0	51	51	51	51
A3QIMPQ5IHQ2AI	1.0	1.0	1.0	51	51	51	51
AIAFKJXRLHRSH	1.0	1.0	1.0	51	51	51	51
A3JT5XR92IFRVL	1.0	1.0	1.0	51	51	51	51
A17HMM1M7T9PJ1	1.0	1.0	1.0	33	33	21	21
A3JQ9SPK2QOTQT	1.0	1.0	1.0	51	51	51	51
A1C3V69D1U45HQ	1.0	1.0	1.0	51	51	51	51
A1CY5WN9WX3X4	1.0	1.0	1.0	51	51	51	51
A2GMR0SIVOO8T7	1.0	1.0	1.0	51	51	51	51
A261ZEKT6OATPN	1.0	1.0	1.0	51	51	51	51
A2LTE3VNQXGKW0	1.0	1.0	1.0	30	30	17	17
A3UVUAZUX9SA8M	1.0	1.0	1.0	51	51	51	51
AB0LNCMOC8QOK	1.0	1.0	1.0	51	51	51	51
A2FCYYMJSZ4K7Z	1.0	1.0	1.0	51	51	51	51
A3PLSE1DHYB3E5	1.0	1.0	1.0	19	19	22	22
A33HWB3M8NWQ58	1.0	1.0	1.0	51	51	51	51
A282QA7ILWWQZ6	1.0	1.0	1.0	51	51	51	51
A2KVO09I5WQ8DK	1.0	1.0	1.0	51	51	51	51
A3H52GVIONVIK7	1.0	1.0	1.0	51	51	51	51
A3SOG15BVCO51	1.0	1.0	1.0	51	51	51	51
A3UJ65AN55YBP6	1.0	1.0	1.0	51	51	51	51
A27EMTPVMIDZKW	1.0	1.0	1.0	51	51	51	51
A12H774IJ9EWZI	1.0	1.0	1.0	51	51	51	51
A2VE448CUB907P	1.0	1.0	1.0	51	51	51	51
A1VO8NC02CAVJE	1.0	1.0	1.0	51	51	51	51
ABU0S5LQC4UU2	1.0	1.0	1.0	51	51	51	51
A2RA8EXRAZN45S	1.0	1.0	1.0	51	51	51	51
A2SAKBTBTR2BNB	1.0	1.0	1.0	51	51	51	51
AG6SDKCAXNR33	1.0	1.0	1.0	51	51	51	51
A77L6DK349N94	1.0	1.0	1.0	51	51	51	51
A1NHBJ146UYR06	1.0	1.0	1.0	51	51	51	51
A72YUWHZ1OR9O	1.0	1.0	1.0	51	51	51	51
A21F2U5SP9FJC7	1.0	1.0	1.0	51	51	51	51
A2284MUOR64G2F	1.0	1.0	1.0	51	51	51	51
A35FOJRS62GW49	1.0	1.0	1.0	51	51	51	51
A2WF5J4XI1ZFXM	1.0	1.0	1.0	51	51	51	51
AIOHNV6OYID1N	1.0	1.0	1.0	51	51	51	51
A1LHAXBM5GBJS2	1.0	1.0	1.0	3	3	4	4
A2RY4E6DP3M2L2	1.0	1.0	1.0	51	51	51	51
A302JEPH6HRPPL	1.0	1.0	1.0	51	51	51	51
A1IC0HZ35M0406	1.0	1.0	1.0	1	1	1	1
A2Q51LFVE9P8H7	1.0	1.0	1.0	51	51	51	51
A1CS9QXHP8LJB0	1.0	1.0	1.0	51	51	51	51
A2FWZ58M6IQMD7	1.0	1.0	1.0	51	51	51	51
A3D3ASEXBFN5DL	1.0	1.0	1.0	51	51	51	51
A30PGVFBSML3YV	1.0	1.0	1.0	4	4	4	4
A3EZIP6YQX5J8Q	1.0	1.0	1.0	51	51	51	51
A1CB5WCS1KQTOZ	1.0	1.0	1.0	51	51	51	51
A10332THSGIOC1	1.0	1.0	1.0	51	51	51	51
A1WVO00PIPF8RA	1.0	1.0	1.0	51	51	51	51
A3LZBN54U1MR5A	1.0	1.0	1.0	51	51	51	51
AY9SSM2CJ5RTA	1.0	1.0	1.0	51	51	51	51
A3SCIP098VYA23	1.0	1.0	1.0	51	51	51	51
A22S4C01D1O01K	1.0	1.0	1.0	51	51	51	51
A39VM3SAUME9VV	1.0	1.0	1.0	51	51	51	51
A2BF1GX8G0VD07	1.0	1.0	1.0	51	51	51	51
A1U1343Q6A44BY	1.0	1.0	1.0	51	51	51	51
AYMRVJI3K0XUK	1.0	1.0	1.0	51	51	51	51
A1CQ2LJA3XU7UM	1.0	1.0	1.0	51	51	51	51
A1HJ9P95IRZ32O	1.0	1.0	1.0	51	51	51	51
A2M7SF04WEDW4W	1.0	1.0	1.0	51	51	51	51
A2YXWENP814QLI	1.0	1.0	1.0	51	51	51	51
A20RGDA4WCJGN2	1.0	1.0	1.0	51	51	51	51
A7X9SBEVSHV5N	1.0	1.0	1.0	51	51	51	51
ABPX680DGJ5AA	1.0	1.0	1.0	39	39	49	49
A1EN4XAKX9LK4A	1.0	1.0	1.0	2	2	1	1
A1JJBI6Q3T9O0Y	1.0	1.0	1.0	1	1	1	1
A10ZOXRR0QMZ9Z	1.0	1.0	1.0	51	51	51	51
A5X1B2HBQUR3P	1.0	1.0	1.0	51	51	51	51
A3C87XR86TEWEF	1.0	1.0	1.0	1	1	1	1
A28EX0M22Y4KS4	1.0	1.0	1.0	51	51	51	51
A3TICVZ5T1KBBO	1.0	1.0	1.0	51	51	51	51
A305EJS7U9EDQG	1.0	1.0	1.0	51	51	51	51
A9UPV7OQYV03F	1.0	1.0	1.0	3	3	2	2
A1BQTYVTL2W9RN	1.0	1.0	1.0	51	51	51	51
ACSD2I68RM1L1	1.0	1.0	1.0	51	51	51	51
A2341MIGVAIESJ	1.0	1.0	1.0	51	51	51	51
A23TSL8Y510LV6	1.0	1.0	1.0	51	51	51	51
AZ45UN2TEI3HY	1.0	1.0	1.0	51	51	51	51
A2IKCYDHAJR4KL	1.0	1.0	1.0	51	51	51	51
A3BP2X6VFUSS5R	1.0	1.0	1.0	51	51	51	51
A2D5Z9KLWTDW51	1.0	1.0	1.0	51	51	51	51
A3SUJTLF7K7FJ6	1.0	1.0	1.0	10	10	3	3
A19SYRKLL6PD4R	1.0	1.0	1.0	51	51	51	51
A18RR55RLK90PP	1.0	1.0	1.0	51	51	51	51
A3CNL2EG5ARWL4	1.0	1.0	1.0	51	51	51	51
AT40FSES3V2LI	1.0	1.0	1.0	51	51	51	51
