user_id	fold	history_length	target_frequency	target_in_union	baseline_rank	oof_rank
A3T2FHMUNYZB7T	4	3	61	0	51	91
A1UY1YWNUTY4XN	1	12	6	1	1	1
A3V6E16PSEARGV	0	8	6	0	51	91
A2P08L70P8ET67	1	5	5	0	51	91
A3AZPAZXGOD4VL	1	5	3	1	15	11
A3KCKECEO3E2AN	3	18	49	1	22	26
A2WT9FBIC8G2UR	0	8	23	1	3	3
A29FLWXXYV07AF	0	3	68	0	51	91
A35MQP8B71CQ9C	0	3	7	0	51	91
A1ZR8AIM298DFT	2	3	28	1	10	13
ARGCRVY53Q5BR	1	3	12	0	51	91
A25X4F1TS2SW27	2	3	165	1	7	7
AAHPYVES8K6CK	4	6	2	1	1	1
A1FII6B4HLS8XR	2	4	62	1	50	90
A32WT1ZEE4QGZB	1	3	9	0	51	91
A4KKT5J33X0C9	0	8	23	0	51	91
A1H70WK52G194F	1	3	20	1	2	1
A3G42PNWASLGE8	1	6	62	1	34	34
A3KJ06Z2K3UGYG	3	6	0	0	51	91
A12E0Y0J6584RT	3	20	7	1	2	2
APQ225F9VOI97	4	3	92	1	1	1
A336PDROMWEDWL	2	3	26	0	51	91
AXQSVBTBF6SLA	1	3	24	0	51	91
A2M9NE0EX51O7Z	4	4	23	0	51	91
A1UULJW6V2ERBP	0	7	92	0	51	91
A2R8VXVVO50XIM	3	3	9	0	51	91
ACLKV3VV6FGDU	3	4	7	0	51	91
A3TTNQ1AUA2N63	1	5	26	0	51	91
A2RIAXGSBP65BJ	3	20	3	0	51	91
A3ORV1QBL4K9U1	4	14	2	0	51	91
A3B5NETV3NS2EH	1	3	3	1	1	1
A27DY7WQWLYSEO	3	3	6	0	51	91
A2GQ6ORWXGIGS6	2	6	21	1	44	52
A3N9DP3DISWORE	1	3	47	0	51	91
A3LWV94ZSGJANY	0	10	132	1	30	33
A2BPS64EXCJDKP	1	4	34	0	51	91
A2MRTFIDEAPZJ1	0	13	9	1	51	47
A2TI5R93FF69UN	1	20	5	0	51	91
A3G2PUQ455XMXJ	4	20	14	1	51	59
AETU6WZAUMX53	2	5	5	0	51	91
A1I8XTYJHWX6N2	0	3	11	0	51	91
A2KVKBIXBL9802	0	3	130	1	17	24
A2XNKMGEYHLUK7	3	16	7	0	51	91
A1ESSN3AWYWUTL	1	9	23	0	51	91
A17T1ADLB2YWZR	1	4	0	0	51	91
A3EXW4HNYX7HF5	4	12	47	0	51	91
A2SXGR38BJR47M	4	9	73	0	51	91
A2FSPEEQSF1D3L	4	8	17	0	51	91
AYUF7YETYOLNX	1	20	18	0	51	91
AP1IQ8PYS5YHB	1	4	32	0	51	91
A1UXYKT3295IFA	4	4	6	0	51	91
A2MP7JGO747X6E	4	3	28	0	51	91
A38942DXUBBVH7	0	3	5	0	51	91
A2O35ES6WSV2Z2	1	7	92	1	51	43
AJM8UJ66W6YT	2	6	8	0	51	91
ADSFUJVGDLOE4	1	4	25	0	51	91
A1ZAIEZHFLI9UN	4	8	14	1	26	21
A112JF58KKB8LP	4	6	37	0	51	91
A1GN7ZHUL5R03A	2	4	21	0	51	91
A3DIDEUX0W5VT6	4	3	3	0	51	91
A351YEOZLLR34M	3	3	5	0	51	91
A3QIMPQ5IHQ2AI	3	3	14	0	51	91
AIAFKJXRLHRSH	3	4	29	0	51	91
A3JT5XR92IFRVL	3	15	13	0	51	91
A17HMM1M7T9PJ1	3	11	20	1	21	16
A3JQ9SPK2QOTQT	1	5	23	1	51	43
A1C3V69D1U45HQ	1	6	26	0	51	91
A1CY5WN9WX3X4	1	3	3	0	51	91
A2GMR0SIVOO8T7	3	4	10	0	51	91
A261ZEKT6OATPN	2	3	41	1	51	42
A2LTE3VNQXGKW0	2	3	73	1	17	22
A3UVUAZUX9SA8M	4	3	3	0	51	91
AB0LNCMOC8QOK	1	3	23	0	51	91
A2FCYYMJSZ4K7Z	2	3	24	0	51	91
A3PLSE1DHYB3E5	3	5	10	1	22	24
A33HWB3M8NWQ58	2	5	21	0	51	91
A282QA7ILWWQZ6	4	3	5	0	51	91
A2KVO09I5WQ8DK	3	5	4	0	51	91
A3H52GVIONVIK7	1	5	39	0	51	91
A3SOG15BVCO51	0	3	2	0	51	91
A3UJ65AN55YBP6	1	7	5	0	51	91
A27EMTPVMIDZKW	2	3	14	0	51	91
A12H774IJ9EWZI	3	4	63	1	51	45
A2VE448CUB907P	2	4	6	0	51	91
A1VO8NC02CAVJE	0	5	1	0	51	91
ABU0S5LQC4UU2	4	11	22	0	51	91
A2RA8EXRAZN45S	4	3	2	0	51	91
A2SAKBTBTR2BNB	2	3	25	0	51	91
AG6SDKCAXNR33	1	3	5	0	51	91
A77L6DK349N94	1	8	9	0	51	91
A1NHBJ146UYR06	2	4	92	0	51	91
A72YUWHZ1OR9O	2	7	66	0	51	91
A21F2U5SP9FJC7	1	9	8	0	51	91
A2284MUOR64G2F	0	3	66	0	51	91
A35FOJRS62GW49	1	3	21	0	51	91
A2WF5J4XI1ZFXM	1	16	3	0	51	91
AIOHNV6OYID1N	3	4	13	0	51	91
A1LHAXBM5GBJS2	4	3	22	1	4	4
A2RY4E6DP3M2L2	1	3	5	0	51	91
A302JEPH6HRPPL	1	3	13	0	51	91
A1IC0HZ35M0406	1	4	9	1	1	1
A2Q51LFVE9P8H7	1	4	24	0	51	91
A1CS9QXHP8LJB0	1	3	16	1	51	76
A2FWZ58M6IQMD7	2	13	12	0	51	91
A3D3ASEXBFN5DL	3	3	4	0	51	91
A30PGVFBSML3YV	1	6	10	1	4	5
A3EZIP6YQX5J8Q	0	20	23	1	51	53
A1CB5WCS1KQTOZ	1	5	6	0	51	91
A10332THSGIOC1	1	3	23	0	51	91
A1WVO00PIPF8RA	1	5	17	0	51	91
A3LZBN54U1MR5A	1	3	3	0	51	91
AY9SSM2CJ5RTA	2	5	3	0	51	91
A3SCIP098VYA23	3	5	8	0	51	91
A22S4C01D1O01K	3	3	1	0	51	91
A39VM3SAUME9VV	4	5	5	0	51	91
A2BF1GX8G0VD07	2	3	9	0	51	91
A1U1343Q6A44BY	3	8	11	0	51	91
AYMRVJI3K0XUK	4	5	51	1	51	40
A1CQ2LJA3XU7UM	0	4	16	0	51	91
A1HJ9P95IRZ32O	2	8	6	0	51	91
A2M7SF04WEDW4W	2	5	7	0	51	91
A2YXWENP814QLI	1	9	1	0	51	91
A20RGDA4WCJGN2	3	9	145	0	51	91
A7X9SBEVSHV5N	1	5	63	0	51	91
ABPX680DGJ5AA	1	3	101	1	49	83
A1EN4XAKX9LK4A	3	10	33	1	1	2
A1JJBI6Q3T9O0Y	0	3	10	1	1	1
A10ZOXRR0QMZ9Z	0	3	10	0	51	91
A5X1B2HBQUR3P	0	20	0	0	51	91
A3C87XR86TEWEF	1	3	17	1	1	1
A28EX0M22Y4KS4	3	4	5	0	51	91
A3TICVZ5T1KBBO	2	6	11	0	51	91
A305EJS7U9EDQG	2	6	20	0	51	91
A9UPV7OQYV03F	4	7	9	1	2	2
A1BQTYVTL2W9RN	0	3	20	0	51	91
ACSD2I68RM1L1	2	4	4	0	51	91
A2341MIGVAIESJ	0	3	30	0	51	91
A23TSL8Y510LV6	2	3	3	0	51	91
AZ45UN2TEI3HY	1	3	7	0	51	91
A2IKCYDHAJR4KL	1	3	5	0	51	91
A3BP2X6VFUSS5R	2	3	8	0	51	91
A2D5Z9KLWTDW51	3	4	99	0	51	91
A3SUJTLF7K7FJ6	1	6	5	1	3	4
A19SYRKLL6PD4R	2	3	3	0	51	91
A18RR55RLK90PP	2	7	2	0	51	91
A3CNL2EG5ARWL4	1	3	18	0	51	91
AT40FSES3V2LI	3	4	5	0	51	91
AG5942NI7JAH1	2	4	8	0	51	91
A1M1ZZCMOH111Y	1	3	23	0	51	91
A2UAS6OGCR8IUG	4	3	22	0	51	91
A2N7UANAFQ9L5C	4	5	5	0	51	91
A11QM8IY2QS1F5	1	3	19	0	51	91
AQJUB96Y7X59A	4	4	12	0	51	91
A18MG1GPSEAPE9	3	6	4	0	51	91
A24E9EHRGDOGV3	0	8	6	1	43	42
A2EUFP0JRNT89E	1	3	2	0	51	91
A3CLWZGMC7M9Z1	4	19	42	1	20	20
A3NN6Q0D6TK11U	1	5	34	1	7	7
A34VCCL1YO6D0I	2	8	4	0	51	91
A1PLGH5DGHFVVY	0	4	3	0	51	91
A2PZJI7YONY2A1	2	3	68	1	1	1
A1P6QSZJY5OBY7	4	4	22	0	51	91
A2I02MYK9NI73B	0	3	67	0	51	91
A2T5VFMUGVV1XG	3	7	1	0	51	91
A2ASMPDV3AH0QT	1	4	15	0	51	91
A2WZBKDNVBMLWZ	0	3	3	1	1	1
APP8XWYYV4PAA	0	5	27	1	51	72
A19VQ5NIFBUJSV	0	3	1	1	2	2
A3F69LY1QJ7I5Y	0	5	18	0	51	91
AGFGY4EJ37VS2	1	20	8	1	29	20
A3O4UFT4RQO7AN	1	6	4	0	51	91
A2D3Z8IGW9RJ4K	2	3	4	0	51	91
ATL2EJGS0OD8S	2	6	9	1	10	10
A3ESTWDBNOUJQ7	4	3	8	0	51	91
A108CA8X6ZYE9W	0	3	4	0	51	91
A1J5FNJLW42BL8	4	9	5	0	51	91
A39O1RWSVIB6TK	2	3	1	0	51	91
AQW0X2731G6ZB	3	3	50	1	33	35
A35OBVCKDNYUR3	3	3	11	1	7	7
ABD7HPJOBC8BJ	2	6	5	1	6	7
A3PJNHE80BQNFU	2	6	10	0	51	91
A1DSCPT3MY8NSX	3	3	102	1	3	5
A1ISA41C4A03SG	3	10	8	1	16	16
A7A31MX1R7DUD	1	3	27	1	51	63
A2O2822VQN2HFG	4	3	10	0	51	91
A3N2SK11B25XZK	1	6	6	1	51	63
A2XCL1L7FCSOO7	0	10	11	0	51	91
A2771ZD14NJVS	4	6	29	1	1	1
A2YQ24IJEVF3PV	0	3	83	0	51	91
A1AOG5U92RH6GC	3	4	3	0	51	91
A3L17RRL053ZXH	4	3	59	1	10	10
A53YP4DF1EJES	1	9	92	1	2	2
AQNDWV4YMTBZF	2	7	11	0	51	91
A5QSI9MNS8NMS	4	5	4	1	4	4
AXK8UKPSYESNP	4	3	20	0	51	91
A33Q2O6FQK65EK	2	8	14	1	15	14
A1BK60GZ4QME6I	4	11	50	0	51	91
AG8QJ2NED5GWJ	2	17	12	0	51	91
AO645B6SU6DZV	3	5	6	0	51	91
A19ZCPGGWOV4UQ	2	7	7	1	2	1
A1SFZS2ICCJSZ8	4	20	4	1	1	1
A2YQJDUIIPPFI4	0	5	1	0	51	91
A3BXJF4URL95RT	2	3	6	0	51	91
A2YSWNMW4E78GF	0	6	32	0	51	91
A2RFN9B7U7DGK1	2	3	35	0	51	91
A1PNLJSZ37FAUU	0	3	21	0	51	91
A1ZYH2WG49X7M7	0	3	23	0	51	91
A3MKRAD7Z64ED5	2	20	2	0	51	91
A3JYY8RLJNC56V	3	3	6	0	51	91
AN49G1NJDOT94	4	3	11	0	51	91
A2Z8ZFM4SGCTYL	2	6	1	1	31	28
A1TOY72HWC2ASA	0	3	3	0	51	91
A2XU46XXNV19C8	0	5	28	0	51	91
A1ZO9OBHLID7KM	0	3	24	0	51	91
A1J1MTCRIMX37I	4	4	8	0	51	91
A3LG1IJ7UV79GR	1	3	51	0	51	91
A1TWTL2KY2WUDW	4	16	3	0	51	91
A1C157FRUD6JXH	4	5	4	0	51	91
A1NSBJCDO3YDP2	4	9	13	0	51	91
A3HORVSI2I23YR	4	5	22	0	51	91
AOQZPFEVL2D9Y	0	4	26	1	15	15
A30PGMDIGWO7M4	2	8	3	0	51	91
A1Y1VKNAJOCD1G	4	3	5	0	51	91
A1W3BJBH2E48IN	2	5	16	1	15	15
A2MBLVMVDLHK1L	1	5	13	0	51	91
A3OU3VMKHM5T7L	3	20	11	0	51	91
ANBVYCAEPWHY3	2	7	34	0	51	91
AQ2UUK379POFL	2	10	9	0	51	91
A1YGF9FFKQEB9N	3	3	96	1	51	84
A354HWCO3WW4AK	2	5	3	0	51	91
A2L6G6CCWWP5IV	1	4	15	0	51	91
A14V45OKTF6U6Q	1	5	2	0	51	91
A3UE1PURTS8PG	2	3	17	1	1	1
A3ZZFPQLNHTLB	0	8	22	0	51	91
A14C65X2PJPQMT	3	4	72	1	2	2
A7Y0MEKYZS3X6	2	10	10	0	51	91
A9J3LMY955WKJ	0	5	41	0	51	91
A2HWZZM6D6Q4YQ	4	3	12	0	51	91
A3KWRC15OXO3EZ	1	3	10	1	2	2
A3F43PAJZLOE3I	3	20	18	0	51	91
A39CCZM9M9H3HX	1	3	21	0	51	91
A16UYT4DEUXBA5	0	3	30	0	51	91
A2Y2OW2CR3WMRK	4	9	4	1	1	1
A1C8BEFG26LC3V	2	5	9	0	51	91
A5HHOCI5LTAWB	2	4	71	0	51	91
A38167RWGZR8AE	3	3	11	0	51	91
A32J5J2J2UTCR	2	3	5	0	51	91
ASFRULWDRQCUO	4	5	30	0	51	91
A2974R9BTPZPOJ	2	20	6	1	51	46
A3IUMV0T5KAQMD	1	8	4	0	51	91
AZCVUV657V5XG	0	3	1	0	51	91
