dataset	user_id	top50_overlap	beam50_pcrf_rank	anchored_beam200_rank	expansion_in_top10
Toys	A1I5JB80670KFG	0.98	51	201	0
Toys	A1I8XTYJHWX6N2	0.98	51	201	0
Toys	A1IAEIOZQ2M03F	0.94	51	201	0
Toys	A1IC0HZ35M0406	0.86	1	1	0
Toys	A1ISA41C4A03SG	0.88	16	16	0
Toys	A1J1MTCRIMX37I	0.86	51	201	0
Toys	A1J5FNJLW42BL8	0.92	51	69	0
Toys	A1J6SUXLMJMLLR	1.0	51	107	0
Toys	A1JJBI6Q3T9O0Y	0.94	1	1	0
Toys	A1JU5OELW8PPWF	0.8	24	29	0
Toys	A1JWCNSL6W622O	0.98	9	10	0
Toys	A1K3BCUBHOCQMB	1.0	51	201	0
Toys	A1KLPS6P7UR631	1.0	3	3	0
Toys	A1LACH6MLQWZ	1.0	21	21	0
Toys	A1LHAXBM5GBJS2	1.0	4	4	0
Toys	A1LIV3VUYJG926	0.96	51	201	0
Toys	A1M1ZZCMOH111Y	0.82	51	201	0
Toys	A1MOICOJEL4GRW	1.0	51	201	0
Toys	A1MXJVANURX26J	0.94	51	201	0
Toys	A1N5RY5DFBHT2Q	0.9	51	201	0
Toys	A1N5Z9WQ7G6B45	0.92	47	71	0
Toys	A1N7HHTP02O4VU	0.8	51	201	0
Toys	A1NHBJ146UYR06	0.96	51	176	0
Toys	A1NSBJCDO3YDP2	0.96	51	201	0
Toys	A1OAQLHCVKKNC5	0.94	51	201	0
Toys	A1OKSDRSOBXEZE	0.8	22	25	0
Toys	A1OZEX6BNJEDBM	0.82	51	201	0
Toys	A1P6QSZJY5OBY7	0.84	51	201	0
Toys	A1PLGH5DGHFVVY	0.92	51	201	0
Toys	A1PNLJSZ37FAUU	0.9	51	201	1
Toys	A1QFGT1O6SZIHS	1.0	51	201	0
Toys	A1QIKQIBBIKGLD	0.84	51	201	1
Toys	A1R27Q9GNRUGQQ	0.9	51	201	0
Toys	A1RDIBJ0EPOIXF	0.98	51	201	0
Toys	A1SFZS2ICCJSZ8	0.94	1	1	0
Toys	A1T909MRTTF9Y	0.78	51	201	0
Toys	A1TDYS6Z6N1L9B	0.68	51	201	0
Toys	A1TFCGAYYXEVLA	0.76	51	201	0
Toys	A1THY8LHOAST5O	0.9	51	72	0
Toys	A1TKM36EYEQNSM	1.0	51	43	0
Toys	A1TOY72HWC2ASA	0.92	51	201	0
Toys	A1TQZ4RSHEKQ45	1.0	51	201	0
Toys	A1TSMUYO1K4L67	0.9	51	201	0
Toys	A1TWTL2KY2WUDW	0.94	51	201	0
Toys	A1U1343Q6A44BY	0.84	51	201	0
Toys	A1UULJW6V2ERBP	1.0	51	201	0
Toys	A1UXYKT3295IFA	0.94	51	201	0
Toys	A1UY1YWNUTY4XN	0.98	1	1	0
Toys	A1VBDMNT6I8RE5	0.98	51	201	0
Toys	A1VH028NKF3A8	0.9	51	201	0
Toys	A1VO8NC02CAVJE	0.84	51	201	0
Toys	A1W3BJBH2E48IN	1.0	15	15	0
Toys	A1WVO00PIPF8RA	0.94	51	201	0
Toys	A1X92E9FLWRU3H	0.78	51	201	0
Toys	A1XBMV24O4XUTO	0.98	5	5	0
Toys	A1Y1VKNAJOCD1G	0.94	51	201	0
Toys	A1YGF9FFKQEB9N	0.92	51	201	0
Toys	A1YK31V8N02IFS	0.88	51	201	0
Toys	A1ZAIEZHFLI9UN	0.96	26	26	0
Toys	A1ZO9OBHLID7KM	0.8	51	201	0
Toys	A1ZR8AIM298DFT	0.98	10	10	0
Toys	A1ZYH2WG49X7M7	0.98	51	201	0
Toys	A20RGDA4WCJGN2	0.78	51	201	0
Toys	A21F2U5SP9FJC7	0.98	51	201	1
Toys	A21R8JYHVCJOV5	0.88	51	201	0
Toys	A21S0K5PU4YO9L	0.92	51	201	0
Toys	A2284MUOR64G2F	0.92	51	201	0
Toys	A22F6WEVKDYJ0O	0.9	51	194	0
Toys	A22OVVLMT0025M	1.0	1	1	0
Toys	A22S4C01D1O01K	0.9	51	201	0
Toys	A2341MIGVAIESJ	0.78	51	201	0
Toys	A23KACXOE9O9TX	0.94	2	2	0
Toys	A23P5YQ8YAHF6L	0.92	51	201	1
Toys	A23TSL8Y510LV6	0.84	51	201	1
Toys	A23UF0YQDHL2LG	0.84	51	201	0
Toys	A24E9EHRGDOGV3	0.92	43	105	1
Toys	A24F60FH23CSWL	1.0	51	143	0
Toys	A24HD3TRDRTNM9	0.9	1	1	0
Toys	A24N79JNVNFSBV	0.92	51	201	0
Toys	A24YTF4DFAMFXP	0.8	51	201	0
Toys	A25369P9FFDF46	0.92	28	36	0
Toys	A25FWP777WLEHO	0.94	51	201	0
Toys	A25X4F1TS2SW27	0.82	7	7	0
Toys	A25XU1RT0DJI3	0.9	51	201	0
Toys	A261ZEKT6OATPN	0.9	51	15	0
Toys	A26I6E533K6XZ8	0.74	51	201	0
Toys	A27144YLL9MNQS	0.82	51	201	0
Toys	A2771ZD14NJVS	1.0	1	1	0
Toys	A27AEZG2GO6OK2	0.9	51	201	0
Toys	A27DY7WQWLYSEO	0.88	51	201	0
Toys	A27EMTPVMIDZKW	0.9	51	113	1
Toys	A27S42MP4XMHV5	0.96	33	37	0
Toys	A27W2GQI41K0W	0.94	51	201	0
Toys	A282QA7ILWWQZ6	0.8	51	201	0
Toys	A28EX0M22Y4KS4	0.88	51	201	0
Toys	A28GUBWX9630QJ	0.74	51	201	0
Toys	A28JZ1ZMM80FXP	0.92	2	2	0
Toys	A28UMA3GW9L124	1.0	51	201	0
Toys	A2945GC97CSCM8	0.96	2	2	1
Toys	A2974R9BTPZPOJ	0.96	51	40	0
Toys	A29FLWXXYV07AF	0.94	51	201	1
Toys	A29FYU0NWVEMMQ	0.72	51	201	0
Toys	A29KEMZEV5BL2S	0.92	2	2	0
Toys	A2A1XYSB692L6J	0.92	51	201	0
Toys	A2A4HGFGKO6BKP	0.96	51	81	0
Toys	A2ADF3PBL46KW3	0.98	51	201	0
Toys	A2ASMPDV3AH0QT	0.94	51	201	0
Toys	A2B47LOX30XJ0G	0.9	1	1	0
Toys	A2BF1GX8G0VD07	0.86	51	201	0
Toys	A2BPS64EXCJDKP	0.9	51	201	1
Toys	A2BYTAC87S23BA	0.9	51	201	0
Toys	A2D3Z8IGW9RJ4K	1.0	51	201	0
Toys	A2D5Z9KLWTDW51	0.9	51	80	0
Toys	A2D6LG91QQC29B	0.98	51	201	0
Toys	A2DF9FLWF98ZKP	0.76	51	201	0
Toys	A2DRO0SFQ5C0UU	0.82	51	201	0
Toys	A2E3XN7ZGK8G6S	1.0	1	1	0
Toys	A2EUFP0JRNT89E	0.86	51	201	0
Toys	A2F74QFHK9EWPK	0.92	51	201	0
Toys	A2FCYYMJSZ4K7Z	0.96	51	201	0
Toys	A2FI9CP6R2K9OC	0.8	51	201	1
Toys	A2FSPEEQSF1D3L	1.0	51	201	0
Toys	A2FWZ58M6IQMD7	0.98	51	201	0
Toys	A2G7932FZ1GIXH	0.96	1	1	0
Toys	A2G8TQFLNX5MKQ	0.92	51	201	0
Toys	A2G9P49SWMNJ5V	0.84	51	201	1
Toys	A2GMR0SIVOO8T7	0.96	51	201	0
Toys	A2GQ6ORWXGIGS6	1.0	44	48	0
Toys	A2HB6YOYJPWNAL	1.0	51	201	0
Toys	A2HID0OOMDK420	0.92	51	201	0
Toys	A2HWZZM6D6Q4YQ	1.0	51	201	0
Toys	A2I02MYK9NI73B	0.82	51	49	1
Toys	A2IKCYDHAJR4KL	0.94	51	201	0
Toys	A2J2SK3BXBVXTE	0.92	51	201	0
Toys	A2JBUYZCQAQF10	0.86	51	201	1
Toys	A2K9VXMD7453LW	0.74	51	201	0
Toys	A2KQT4D0OZR569	0.96	51	91	0
Toys	A2KVKBIXBL9802	0.82	17	18	0
Toys	A2KVO09I5WQ8DK	0.9	51	201	1
Toys	A2L6G6CCWWP5IV	0.8	51	201	0
Toys	A2LEZE5UVHFALD	0.7	51	149	0
Toys	A2LTE3VNQXGKW0	0.82	17	19	0
Toys	A2M7SF04WEDW4W	0.86	51	201	1
Toys	A2M9NE0EX51O7Z	0.96	51	201	0
Toys	A2MBLVMVDLHK1L	0.92	51	201	0
Toys	A2MP7JGO747X6E	0.96	51	201	0
Toys	A2MRTFIDEAPZJ1	0.96	51	201	0
Toys	A2MSJ2NV99JXQC	1.0	51	201	0
Toys	A2MX85R9XJXO9I	0.9	51	201	0
Toys	A2N7UANAFQ9L5C	0.88	51	201	0
Toys	A2O2822VQN2HFG	0.86	51	201	0
Toys	A2O35ES6WSV2Z2	0.84	51	16	0
Toys	A2P08L70P8ET67	0.96	51	201	0
Toys	A2PXVMF9DH8NDZ	0.84	51	201	0
Toys	A2PZJI7YONY2A1	0.96	1	1	0
Toys	A2Q51LFVE9P8H7	0.86	51	201	0
Toys	A2Q9B9WLL51Z70	0.94	51	201	1
Toys	A2R4NM7XJDHX13	0.9	51	201	0
Toys	A2R8VXVVO50XIM	0.84	51	201	0
Toys	A2RA8EXRAZN45S	0.88	51	201	0
Toys	A2RFN9B7U7DGK1	0.94	51	201	0
Toys	A2RIAXGSBP65BJ	1.0	51	201	0
Toys	A2RJ4DUC9IUDY0	0.78	51	201	0
Toys	A2RVSAIPOK5Z3H	0.82	51	44	0
Toys	A2RY4E6DP3M2L2	0.9	51	201	0
Toys	A2S6QCNNN8AK91	0.98	51	201	0
Toys	A2SAKBTBTR2BNB	0.84	51	201	0
Toys	A2SVJ25T8F8BTW	1.0	51	201	0
Toys	A2SXGR38BJR47M	0.82	51	201	0
Toys	A2T5VFMUGVV1XG	0.84	51	201	0
Toys	A2TGH4VRQCS10Z	0.86	51	201	0
Toys	A2TI5R93FF69UN	0.92	51	201	0
Toys	A2TJJCSCF7YKB3	0.82	51	78	0
Toys	A2TJLZPKD1MW24	0.96	51	201	0
Toys	A2TWJ40S9HFUOB	0.82	51	201	1
Toys	A2UAQ83AY3C3CY	0.94	51	201	1
Toys	A2UAS6OGCR8IUG	0.8	51	201	0
Toys	A2V8O6PWFD24V1	0.9	1	1	0
Toys	A2VE448CUB907P	0.9	51	201	0
Toys	A2VG3TH6IMOVKM	0.9	51	201	0
Toys	A2WF5J4XI1ZFXM	0.9	51	201	0
Toys	A2WT9FBIC8G2UR	0.98	3	3	0
Toys	A2WZBKDNVBMLWZ	0.86	1	1	0
Toys	A2X4478R0TCQSF	0.88	51	201	0
Toys	A2X5KTI8RDB0JH	0.84	3	3	0
Toys	A2XCL1L7FCSOO7	0.9	51	201	0
Toys	A2XHAL5LZM1PPC	1.0	24	24	0
Toys	A2XMO247S0NBJ0	0.96	2	2	0
Toys	A2XMR57G65YL	0.9	51	201	0
Toys	A2XNKMGEYHLUK7	0.84	51	201	0
Toys	A2XU46XXNV19C8	0.98	51	201	0
Toys	A2XX2A4OJCDNLZ	1.0	41	52	0
Toys	A2Y2OW2CR3WMRK	0.92	1	1	1
Toys	A2Y71CUI7ILZSH	0.84	51	201	0
Toys	A2Y87U9VKGRAAW	1.0	1	1	0
Toys	A2Y96MUF4VWAOW	1.0	14	14	0
Toys	A2YGB747HQLREO	0.86	51	45	1
Toys	A2YHBS040TSI3B	0.9	51	201	0
Toys	A2YQ24IJEVF3PV	0.9	51	201	0
Toys	A2YQJDUIIPPFI4	0.9	51	201	0
Toys	A2YSWNMW4E78GF	0.9	51	50	0
Toys	A2YTL3NDH6JAHA	0.8	1	1	0
Toys	A2YXWENP814QLI	0.9	51	201	0
Toys	A2Z8ZFM4SGCTYL	0.96	31	30	0
Toys	A2ZX3CGI6PM4X1	1.0	51	201	0
Toys	A301SYVALW58GF	0.94	51	201	0
Toys	A302JEPH6HRPPL	0.94	51	201	0
Toys	A305EJS7U9EDQG	0.92	51	201	0
Toys	A309CYRJJNFMDG	0.8	51	16	0
Toys	A30PGMDIGWO7M4	0.92	51	201	0
Toys	A30PGVFBSML3YV	0.82	4	4	1
Toys	A31C7L5241640T	0.96	51	201	0
Toys	A31RLBPR9AI8HE	0.92	51	201	0
Toys	A3208DCETJQYDD	0.8	4	4	1
Toys	A325LPLXVP6F15	0.84	51	201	0
Toys	A32J5J2J2UTCR	0.96	51	201	0
Toys	A32WT1ZEE4QGZB	0.96	51	201	0
Toys	A32WY3RGFMW9O1	0.98	4	4	0
Toys	A336PDROMWEDWL	0.92	51	201	0
Toys	A339D0QQYH0ZRG	0.98	2	2	0
Toys	A33HWB3M8NWQ58	0.92	51	201	0
Toys	A33PBU9EHZ28PC	0.96	51	201	0
Toys	A33Q2O6FQK65EK	0.92	15	16	0
Toys	A345BXR9RAZPQL	0.84	51	201	0
Toys	A34VCCL1YO6D0I	1.0	51	201	0
Toys	A351YEOZLLR34M	0.76	51	201	0
Toys	A354HWCO3WW4AK	1.0	51	201	0
Toys	A35C2IVVQR1HTK	0.98	51	201	0
Toys	A35FOJRS62GW49	0.84	51	201	0
Toys	A35HCDS9EPCLLK	0.72	51	201	0
Toys	A35I95L7BG74AN	0.96	51	201	0
Toys	A35MGJOE55YM0I	0.9	51	201	0
Toys	A35MQP8B71CQ9C	0.92	51	201	0
Toys	A35OBVCKDNYUR3	0.98	7	7	0
Toys	A35PNMSE7JVPK7	0.84	51	201	0
Toys	A369R4MUZCUI3D	1.0	51	201	0
Toys	A36LQ698RFJRYP	0.96	51	201	0
Toys	A379O5JZOPENK2	1.0	51	38	0
Toys	A37RS6K0AP1DQJ	0.82	51	200	0
Toys	A38167RWGZR8AE	0.84	51	201	0
Toys	A38942DXUBBVH7	0.84	51	201	0
Toys	A39CCZM9M9H3HX	0.86	51	201	0
Toys	A39MKEAYS0XQA5	0.98	11	11	0
Toys	A39O1RWSVIB6TK	0.98	51	201	0
Toys	A39VM3SAUME9VV	0.9	51	201	0
Toys	A3AA5MUGG09CDS	0.96	51	201	0
Toys	A3AE2LAXSIML73	0.9	51	201	0
Toys	A3AJQQEABBCYLX	0.84	51	201	1
Toys	A3AZIU63WQK6R	0.88	51	201	0
Toys	A3AZPAZXGOD4VL	1.0	15	15	0
Toys	A3B5NETV3NS2EH	0.86	1	1	0
Toys	A3BP2X6VFUSS5R	0.86	51	201	0
Toys	A3BTL4FV6ODKAT	1.0	51	201	0
Toys	A3BVHEIVQF5R0G	1.0	21	23	0
Toys	A3BXJF4URL95RT	0.94	51	201	0
Toys	A3C87XR86TEWEF	0.94	1	1	0
Toys	A3CLWZGMC7M9Z1	0.96	20	21	0
Toys	A3CNL2EG5ARWL4	0.98	51	51	0
Toys	A3CQ5980OVK9GQ	0.92	51	201	0
Toys	A3CW94YYFXEBSI	0.98	51	201	0
Toys	A3D3ASEXBFN5DL	0.92	51	201	0
Toys	A3D4NL89UHIJ87	0.9	36	55	0
Toys	A3DIDEUX0W5VT6	1.0	51	201	0
Toys	A3DML7MESO9P8J	0.9	2	2	0
Toys	A3DVO4RN4WA7A5	0.9	10	10	0
Toys	A3EAUXPIL65GX5	0.98	51	201	0
Toys	A3ESTWDBNOUJQ7	0.9	51	201	1
Toys	A3EXW4HNYX7HF5	0.98	51	201	0
Toys	A3EZIP6YQX5J8Q	0.96	51	47	0
Toys	A3F1UYG3P3DGJS	0.98	51	201	0
Toys	A3F43PAJZLOE3I	0.96	51	201	0
Toys	A3F69LY1QJ7I5Y	0.92	51	201	0
Toys	A3FG51WL7BP7LN	0.84	51	201	0
Toys	A3G2PUQ455XMXJ	0.96	51	201	0
Toys	A3G3J1K769O5EF	0.86	51	201	1
Toys	A3G42PNWASLGE8	0.78	34	45	0
Toys	A3GSGBKCIXB45A	0.92	51	201	0
Toys	A3GTI284ZE3B6W	0.92	12	12	0
Toys	A3GU48VNT4BCFR	0.94	51	201	0
Toys	A3GV11WCN6B6OL	0.92	51	201	0
Toys	A3GVW21TD5PQAA	0.78	51	201	0
Toys	A3GZ0E8B9Z60J8	0.92	16	15	0
Toys	A3H52GVIONVIK7	0.82	51	192	0
Toys	A3HORVSI2I23YR	1.0	51	115	0
Toys	A3HUC8541SJ6UT	0.98	14	14	0
Toys	A3IUMV0T5KAQMD	0.96	51	201	0
Toys	A3J70SWLLQAFAT	0.7	51	201	0
Toys	A3JQ9SPK2QOTQT	0.96	51	32	0
Toys	A3JT5XR92IFRVL	0.92	51	201	0
Toys	A3JYY8RLJNC56V	0.86	51	201	0
Toys	A3KC0CRGLO5LXJ	0.88	51	201	0
Toys	A3KCKECEO3E2AN	0.96	22	22	0
Toys	A3KJ06Z2K3UGYG	1.0	51	201	0
Toys	A3KWRC15OXO3EZ	0.98	2	2	0
Toys	A3L17RRL053ZXH	0.98	10	10	0
Toys	A3LG1IJ7UV79GR	0.9	51	201	0
Toys	A3LWV94ZSGJANY	0.92	30	32	0
Toys	A3LZBN54U1MR5A	0.92	51	201	0
Toys	A3MFCKCUSW5OGE	0.92	51	201	0
Toys	A3MKRAD7Z64ED5	1.0	51	37	0
Toys	A3MPWZNB1K8J1G	0.92	51	129	0
Toys	A3N03K23S2ZEIG	0.88	51	201	1
Toys	A3N2SK11B25XZK	1.0	51	201	0
Toys	A3N5NRW1GQ8RXL	0.92	51	201	0
Toys	A3N61N91YEIZ47	1.0	51	201	0
Toys	A3N9DP3DISWORE	0.78	51	201	0
Toys	A3NN6Q0D6TK11U	0.94	7	7	0
Toys	A3O4UFT4RQO7AN	0.96	51	201	0
Toys	A3OEGVSXY0Y07W	0.84	51	201	0
Toys	A3OFAMMKK080ES	0.94	51	93	0
Toys	A3OOS2B1ZZBCHI	0.94	51	201	0
Toys	A3ORV1QBL4K9U1	1.0	51	201	0
Toys	A3OU3VMKHM5T7L	1.0	51	201	0
Toys	A3P2D0B50DXXDS	0.94	51	201	0
Toys	A3PJNHE80BQNFU	0.86	51	201	1
Toys	A3PK2QEYSBTWYI	0.96	2	2	0
Toys	A3PLSE1DHYB3E5	1.0	22	23	0
Toys	A3PR7RM3L8TORU	0.84	51	201	1
Toys	A3PVM083UFTZQJ	0.92	51	201	0
Toys	A3Q0M13QFMD84D	0.92	51	201	0
Toys	A3Q1GBD7C0999T	0.94	51	201	0
Toys	A3Q8JHRXVW2P8B	0.98	51	51	0
Toys	A3QIMPQ5IHQ2AI	0.94	51	201	0
Toys	A3R5GTYQ50QVMD	1.0	51	44	0
Toys	A3S3GGVSMN1BDM	0.96	51	201	0
Toys	A3S801EXW1YK1	0.96	51	201	0
Toys	A3SCIP098VYA23	0.88	51	201	0
Toys	A3SOG15BVCO51	0.92	51	201	0
Toys	A3SUJTLF7K7FJ6	0.96	3	3	0
Toys	A3T2FHMUNYZB7T	0.98	51	164	0
Toys	A3TICVZ5T1KBBO	0.9	51	201	0
Toys	A3TTNQ1AUA2N63	0.94	51	201	0
Toys	A3UE1PURTS8PG	0.98	1	1	0
Toys	A3UEGI971RCXUU	0.94	51	201	0
Toys	A3UJ65AN55YBP6	1.0	51	50	0
Toys	A3UOS7EC0NN88A	0.98	51	29	1
Toys	A3UTB0QKXNY8CB	0.78	51	201	0
Toys	A3UTIIXWLL904I	0.92	51	201	0
Toys	A3UVUAZUX9SA8M	0.84	51	201	0
Toys	A3V6E16PSEARGV	0.96	51	201	0
Toys	A3VGAP2KLCBNBB	0.94	51	201	0
Toys	A3VGTW5DM6GH67	1.0	3	3	0
Toys	A3VISL7I6DN4K9	0.84	51	201	0
Toys	A3VPZFFS8IO08A	0.94	51	201	0
Toys	A3W1ZA5JQVT33G	0.88	34	50	0
Toys	A3W3ZIJ1XSW8SW	0.84	51	201	0
Toys	A3ZZFPQLNHTLB	0.94	51	201	0
Toys	A4KKT5J33X0C9	0.96	51	201	0
Toys	A53YP4DF1EJES	1.0	2	2	1
Toys	A5HHOCI5LTAWB	0.8	51	201	1
Toys	A5QSI9MNS8NMS	1.0	4	4	0
Toys	A5UKTFW7RTC01	0.98	51	201	0
Toys	A5X1B2HBQUR3P	0.92	51	201	0
Toys	A62R496DI8W34	1.0	20	20	0
Toys	A72YUWHZ1OR9O	0.76	51	201	1
Toys	A77L6DK349N94	0.92	51	201	0
Toys	A7A31MX1R7DUD	0.96	51	201	0
Toys	A7HUMX97N6J2R	0.88	51	201	0
Toys	A7JEWP1ITKQVJ	1.0	51	115	1
Toys	A7X9SBEVSHV5N	0.92	51	170	0
Toys	A7Y0MEKYZS3X6	1.0	51	98	0
Toys	A8757LV5QW9VX	0.86	51	69	0
Toys	A9J3LMY955WKJ	0.86	51	201	0
Toys	A9SUD7U1I40PB	0.86	51	201	0
Toys	A9TCBI8KIFJ0M	0.88	51	201	0
Toys	A9UPV7OQYV03F	0.82	2	2	0
Toys	AAEVGE52KL0DJ	0.86	51	201	0
Toys	AAHPYVES8K6CK	0.78	1	1	0
Toys	AB0LNCMOC8QOK	0.7	51	201	0
Toys	AB38XEH4DLN66	0.96	51	201	0
Toys	ABD7HPJOBC8BJ	0.74	6	6	0
Toys	ABPX680DGJ5AA	1.0	49	79	0
Toys	ABU0S5LQC4UU2	0.94	51	201	0
Toys	ACH40GDEWZRJS	0.98	51	39	0
Toys	ACIHXKMZIHV7W	1.0	51	201	1
Toys	ACLKV3VV6FGDU	0.92	51	201	0
Toys	ACPSENP0EQE49	0.9	51	201	0
Toys	ACPYT9KCCKX6X	0.84	51	201	0
Toys	ACRS2XC8L3S2K	0.98	51	201	0
Toys	ACSD2I68RM1L1	0.88	51	201	0
Toys	ADSFUJVGDLOE4	0.96	51	201	0
Toys	AEMV9IMH665B9	0.92	32	34	0
Toys	AETU6WZAUMX53	0.88	51	201	0
Toys	AF0EGN9J6610M	0.88	51	201	0
Toys	AFO678EAGH4Y9	0.96	51	28	0
Toys	AG1JZXJ1VZ1HW	1.0	51	201	0
Toys	AG5942NI7JAH1	0.8	51	201	0
Toys	AG6SDKCAXNR33	1.0	51	201	0
Toys	AG8QJ2NED5GWJ	0.94	51	201	0
Toys	AGFGY4EJ37VS2	0.98	29	31	0
Toys	AIAFKJXRLHRSH	0.86	51	201	0
Toys	AIK0G28AWIL17	0.98	51	201	0
Toys	AIOB3K2PE2E3R	0.88	51	201	0
Toys	AIOHNV6OYID1N	0.92	51	201	1
Toys	AJ48OJORP4NE4	1.0	51	71	0
Toys	AJ7EXZ3ON0BVR	0.96	7	7	0
Toys	AJ91FXLL2VBN7	0.88	51	201	0
Toys	AJM8UJ66W6YT	0.88	51	201	1
Toys	ALUUFD1P2VZEQ	0.94	51	201	0
Toys	AMRMK86X3PKXD	1.0	51	145	0
Toys	AN49G1NJDOT94	0.82	51	201	0
Toys	ANBVYCAEPWHY3	0.94	51	48	0
Toys	ANCQKZHPGDKS2	0.94	51	55	0
Toys	ANPTHLKNDONR5	0.78	51	201	1
Toys	ANUJTB160A13Z	0.96	51	201	0
Toys	AO645B6SU6DZV	0.96	51	68	0
Toys	AOMKUI325W2TJ	0.9	51	25	0
Toys	AOPWIKGDPRMX8	0.96	1	1	0
Toys	AOQZPFEVL2D9Y	0.96	15	16	0
Toys	AP1IQ8PYS5YHB	0.9	51	201	0
Toys	APP8XWYYV4PAA	0.98	51	201	0
Toys	APQ225F9VOI97	0.96	1	1	0
Toys	APWXTMMNYNX4F	0.94	51	201	0
Toys	AQ2UUK379POFL	0.96	51	201	0
Toys	AQJUB96Y7X59A	0.82	51	201	0
Toys	AQNDWV4YMTBZF	0.84	51	201	0
Toys	AQW0X2731G6ZB	0.94	33	35	0
Toys	ARGCRVY53Q5BR	0.9	51	201	0
Toys	ARMVD78URIPLF	0.88	51	201	0
Toys	AS1FPHXL6YLOW	0.98	51	159	0
Toys	ASA6MO9JQS628	0.9	51	201	0
Toys	ASDXGRHJ1G0MG	0.86	51	201	0
Toys	ASFRULWDRQCUO	0.72	51	201	0
Toys	ASQKG1JENWA2M	0.88	51	201	0
Toys	ASRIOCTQPKK1B	0.9	51	201	0
Toys	ASZ8W38C6GQPK	1.0	51	201	0
Toys	AT40FSES3V2LI	0.9	51	201	0
Toys	ATL2EJGS0OD8S	0.88	10	10	0
Toys	ATZDGPMWR6N5D	0.82	51	201	0
Toys	AV0C12IXS9HYP	0.86	38	55	0
Toys	AV19W38S18KEF	0.92	51	201	0
Toys	AV5980KJFVGCG	0.96	51	201	0
Toys	AVX7RB9XQ29Q5	0.9	51	39	0
Toys	AW0IOR4AEEK46	0.92	8	8	0
Toys	AW9FZO9WF88CV	0.9	51	201	0
Toys	AX88IRRCYGW1S	0.88	51	201	0
Toys	AXK8UKPSYESNP	0.98	51	201	0
