user,split,sample_hash,history_length,recoverable_sum,recoverable_mean,recoverable_max,recoverable_positive_fraction,recoverable_ge8_fraction,displaced_cf_sum,displaced_cf_mean,metadata_lost_sum,metadata_lost_mean,metadata_retention_mean,metadata_retention_min,current_metadata_visible_sum,current_cf_visible_sum,log1p_popularity_mean,log1p_popularity_min,tail_item_fraction,top_k_similar_item_mean,lp_current,lp_recover,benefit,positive_label,predicted_probability
A2G00U3NCCUOGL,audit,012fa8afbadc6715ff5395eeecbf3178e64a3ce10c32974fc0aad03db168be20,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,415.0,138.33333333333334,0.4255776275007044,0.25595238095238093,258.0,87.0,2.5592878335594036,1.791759469228055,0.3333333333333333,5.0,-0.8556342124938965,-0.8384753465652466,0.017158865928649902,0,0.11830737444680478
A1IAQIZSXONWVU,audit,013802e405df328945da16bec3c54cebe44c11833b50f714155f5d71e15a2a42,16.0,296.0,18.5,34.0,0.5625,0.5625,262.0,16.375,1057.0,66.0625,0.7374053577003695,0.1371610845295056,1149.0,465.0,3.413988313654361,2.9444389791664403,0.0,5.0,-0.4977028965950012,-0.5268890261650085,-0.029186129570007324,0,0.10688564407672588
A9XZYM1OPW780,audit,014cf3cc361373b15d553cd50c5fa22e04915f920221a26b56d8aebb005f4a59,4.0,109.0,27.25,34.0,1.0,1.0,97.0,24.25,263.0,65.75,0.609037399666932,0.4263959390862944,341.0,118.0,2.9202870243461705,2.3025850929940455,0.0,5.0,-0.9431994557380676,-0.9246958494186401,0.01850360631942749,0,0.10464822536352154
A3057ZJL1OX1W0,audit,0150e673ca7d424bb8eed3d5abac9b79dcf83beee1340b4e44275b5601ec3a97,18.0,356.0,19.77777777777778,34.0,0.7222222222222222,0.6666666666666666,321.0,17.833333333333332,766.0,42.55555555555556,0.752750129755378,0.26959247648902823,1487.0,526.0,2.5461484820627978,1.6094379124341003,0.2777777777777778,5.0,-1.5293002128601074,-1.6190001964569092,-0.08969998359680176,0,0.05840003412585131
ALO0F99ZHATEU,audit,015fb72894dee775312d213224b53ca2226f6797da91a2b7a87c8d9513939f5b,2.0,53.0,26.5,33.0,1.0,1.0,49.0,24.5,56.0,28.0,0.7581193937519333,0.7049180327868853,172.0,58.0,1.844439727056968,1.6094379124341003,0.5,5.0,-0.6507790684700012,-0.6762598156929016,-0.02548074722290039,0,0.10962498834572407
A3MRYKKPAD40RP,audit,016e0c961d858d9a27c290cb10cc2e8f1e19c860dc71bc7888e036bd532d50c8,10.0,224.0,22.4,34.0,0.8,0.8,200.0,20.0,1044.0,104.4,0.6174349452461889,0.15579710144927536,805.0,294.0,2.7029911571328693,1.0986122886681096,0.3,5.0,-1.6592750549316406,-1.5616891384124756,0.09758591651916504,1,0.1241396653212179
A2KMV056844YV2,audit,017ba389bb6981d95a857d3da373d8f19c8eb7b37fa431ed357d683b3486ec83,4.0,133.0,33.25,34.0,1.0,1.0,117.0,29.25,361.0,90.25,0.49481321425809827,0.43434343434343436,342.0,117.0,3.3270031810727394,2.995732273553991,0.0,5.0,-0.5374571681022644,-1.4576005935668945,-0.9201434254646301,0,0.12616257536563324
A3AVVMEI28N2UJ,audit,0188212a5864aa563567a21cd37435cfcc77d1126a09f587636ee135719760e8,4.0,67.0,16.75,33.0,0.75,0.5,59.0,14.75,156.0,39.0,0.7614309480598047,0.49142857142857144,336.0,116.0,2.477863930546326,1.9459101490553132,0.25,5.0,-1.216041088104248,-1.9132219552993774,-0.6971808671951294,0,0.13180246030974477
A3GLWFCP5JIMNN,audit,0191a94d7b1a68cb39536fd474a795d97f5a5fdc902d72481c4d82cb6ac34d0e,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,85.0,28.333333333333332,0.8343079922027291,0.5029239766081871,221.0,87.0,1.8053668007348065,1.6094379124341003,0.6666666666666666,5.0,-0.03982169181108475,-0.23292216658592224,-0.1931004822254181,0,0.15566460652502148
AZE16AY05PUZ0,audit,01a233a04fbbb5384fa755b90c93ed7c09425c51c09536bedcf9cf6a4b6728ae,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,134.0,59.0,2.5619819897016294,2.0794415416798357,0.0,5.0,-1.3619725704193115,-1.314453125,0.04751944541931152,1,0.17047993747805987
A1KDCEBDE9BF2A,audit,01a433452c3f39beca5eba40f51bb700ec8b9cffde62d601dc9dbdc587734c58,5.0,97.0,19.4,34.0,0.8,0.8,90.0,18.0,100.0,20.0,0.8240314548428511,0.6967213114754098,401.0,146.0,2.9285761783654283,2.4849066497880004,0.0,5.0,-0.48151320219039917,-0.8457326889038086,-0.3642194867134094,0,0.1123171240026267
A354BXXZVZN1DD,audit,01a757ceb751be4f93c61a2e2ec5e0d3b9ef7b977110a52c3e09144241a6d5c9,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,43.0,14.333333333333334,0.8888888888888888,0.6666666666666666,238.0,87.0,2.891398980075301,2.5649493574615367,0.0,5.0,-0.45160236954689026,-0.6095079779624939,-0.15790560841560364,0,0.16380894753756994
A2UDY2FIZCVTTN,audit,01bc899e5f0cf96737b1de6ff19086ccf6d62fde80a25b4a723ac51382710e50,4.0,132.0,33.0,33.0,1.0,1.0,116.0,29.0,609.0,152.25,0.41206989356518725,0.23626373626373626,343.0,116.0,2.7680230532560683,2.197224577336219,0.0,5.0,-0.34102863073349,-1.167499303817749,-0.826470673084259,0,0.09715785932668716
A2SJTRA46IB0IH,audit,01c05293bc94afa7cb4545235d453091c2bd332c68727771c5c5e559e76c2934,4.0,33.0,8.25,33.0,0.25,0.25,29.0,7.25,212.0,53.0,0.8221476510067114,0.28859060402684567,307.0,116.0,3.445484565605667,1.6094379124341003,0.25,5.0,-1.9366239309310913,-1.9243710041046143,0.01225292682647705,0,0.2536406941830746
A1OX93IPAKL23R,audit,01c6635041d17d0c0b933a08b21d2b59a6a3fc8320c3ca214e17e935e308f797,2.0,44.0,22.0,33.0,1.0,1.0,40.0,20.0,132.0,66.0,0.6510284376711988,0.41545893719806765,172.0,58.0,3.261046399085076,2.995732273553991,0.0,5.0,-0.7327145338058472,-0.9079459309577942,-0.17523139715194702,0,0.12260556194162696
A27FYNIJC7T58I,audit,01da5063458a04926bf00f970de08121207ea48fc406f308151c72040ef0cc6d,4.0,41.0,10.25,33.0,0.5,0.5,37.0,9.25,262.0,65.5,0.7919586983729662,0.2529411764705882,287.0,116.0,2.5542093429341213,1.0986122886681096,0.5,5.0,-1.4046921730041504,-1.6082813739776611,-0.20358920097351074,0,0.1733001088865463
A3GBRY8W4MIZAM,audit,01e35a21e788aab703af66555e3fa9300c2b6a95338d926f61921bfcc146c22e,2.0,34.0,17.0,34.0,0.5,0.5,30.0,15.0,103.0,51.5,0.726063829787234,0.4521276595744681,140.0,59.0,2.470821211304652,1.9459101490553132,0.5,5.0,-1.4242995977401733,-1.5744149684906006,-0.15011537075042725,0,0.17960304012651135
A351EURUGWPUUA,audit,01f2048e61e36ce46179d2f805985b063283bfe595f1a7cab9bdf3b51d72b506,3.0,92.0,30.666666666666668,33.0,1.0,1.0,84.0,28.0,641.0,213.66666666666666,0.4785663279798973,0.1376,259.0,86.0,2.9948978968146176,1.791759469228055,0.3333333333333333,5.0,-0.5570728182792664,-0.6442428827285767,-0.0871700644493103,0,0.12637140191971036
A6U5RO3NVNJ8E,audit,01ff8aea253cdfe9ed35f1491e8fe86cb26fa2f25317f0ef799cd837c35c122a,7.0,166.0,23.714285714285715,34.0,0.7142857142857143,0.7142857142857143,146.0,20.857142857142858,502.0,71.71428571428571,0.6466274325475657,0.315018315018315,581.0,204.0,2.6561333975584778,1.791759469228055,0.42857142857142855,5.0,-1.9548084735870361,-1.7856136560440063,0.16919481754302979,1,0.13166391814254172
A2F9I7CI9GWANO,audit,0205c9dd8a029d34fc3e4a0ec29634bff2299f642907bff53d599f10f6339bd5,11.0,114.0,10.363636363636363,33.0,0.45454545454545453,0.45454545454545453,106.0,9.636363636363637,250.0,22.727272727272727,0.8605311873965888,0.4187192118226601,822.0,319.0,3.098878715661141,1.791759469228055,0.18181818181818182,5.0,-0.8142110109329224,-1.0326855182647705,-0.21847450733184814,0,0.14587078735334044
A3339OATDLL33V,audit,0211c3edf6905f2f5bc668c8312dd5d59b2513265c7d2d76d5487571ad0d12ed,3.0,53.0,17.666666666666668,33.0,0.6666666666666666,0.6666666666666666,49.0,16.333333333333332,139.0,46.333333333333336,0.7436109832796441,0.4195121951219512,258.0,87.0,2.17598597254085,1.3862943611198906,0.3333333333333333,5.0,-0.494795024394989,-2.269496440887451,-1.7747013568878174,0,0.12273421438657062
A1SHME7L3P78X3,audit,0253f104e201940629e283d56bf13d43f2e23151589509c3497b2653dfcc4a1b,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,166.0,83.0,0.5193496515990709,0.44559585492227977,172.0,58.0,1.7005986908310775,1.6094379124341003,1.0,5.0,-1.6882365942001343,-1.681807518005371,0.006429076194763184,0,0.13842945851474042
A3BA4F1E2PGRCC,audit,0255e7c073fc733a2d6d458cefdd6875159048eb42891a8756265bf633a50cea,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,475.0,158.33333333333334,0.395175733072179,0.26959247648902823,257.0,87.0,3.438355753881382,1.9459101490553132,0.3333333333333333,5.0,-0.4925232231616974,-0.47487378120422363,0.017649441957473755,0,0.18269846372988258
A26Y0SMLXSNVG7,audit,02853727b9b3dc3ea2998d9497706e40736a63f65366b30704065a8ee8181b16,3.0,78.0,26.0,33.0,1.0,1.0,74.0,24.666666666666668,108.0,36.0,0.7217220772931411,0.5771812080536913,258.0,87.0,3.403657417428029,2.833213344056216,0.0,5.0,-0.9250961542129517,-0.9412130117416382,-0.016116857528686523,0,0.13692174739239843
A1CANGVKCCXCHG,audit,029dc1ba4849174f8afcf39d904be423ff727e4421e154edabfcb05683b2bb8d,3.0,53.0,17.666666666666668,33.0,0.6666666666666666,0.6666666666666666,49.0,16.333333333333332,63.0,21.0,0.8259958071278826,0.6666666666666666,253.0,87.0,2.9376144778390647,2.0794415416798357,0.0,5.0,-1.8096492290496826,-2.1648621559143066,-0.355212926864624,0,0.14532453303661044
A39UYY0LJ6IO6Z,audit,02c210c209f93875c35e2b5393f95fd2c86fd77a7caf0fbeb202bb2d896904ee,6.0,98.0,16.333333333333332,33.0,0.6666666666666666,0.5,90.0,15.0,235.0,39.166666666666664,0.7828082848380976,0.36134453781512604,450.0,175.0,4.154700006043179,1.791759469228055,0.16666666666666666,5.0,-1.4983553886413574,-1.5619299411773682,-0.06357455253601074,0,0.26129332165395563
A1XJ9EVMRATYBN,audit,02d5083f9160ec6341d63f98698b7f33c8b319da8d8e03519ba0692753a23bca,9.0,212.0,23.555555555555557,35.0,0.7777777777777778,0.7777777777777778,188.0,20.88888888888889,576.0,64.0,0.6615553241077367,0.29577464788732394,752.0,263.0,2.9181000654496887,1.9459101490553132,0.1111111111111111,5.0,-1.5163789987564087,-2.3395752906799316,-0.823196291923523,0,0.10110534349888224
A29XK5H3AA5S01,audit,02e1d16526de195a18053381276be0b46f7444af0d1fd93ff44af779b520ff21,14.0,251.0,17.928571428571427,33.0,0.6428571428571429,0.6428571428571429,228.0,16.285714285714285,469.0,33.5,0.7856797638970295,0.36909871244635195,1081.0,407.0,2.906027244260066,1.791759469228055,0.07142857142857142,5.0,-0.8719443082809448,-0.7360794544219971,0.13586485385894775,1,0.08115824450043654
A3DURFM75XV494,audit,02e50d643fb5a2b5b0ff48adca4cb195e9238ec224ff8f7c92aa953c04c42373,3.0,66.0,22.0,33.0,0.6666666666666666,0.6666666666666666,58.0,19.333333333333332,566.0,188.66666666666666,0.49020131242353465,0.2123456790123457,257.0,87.0,2.671445245766474,1.9459101490553132,0.3333333333333333,5.0,-0.1780133694410324,-2.6366147994995117,-2.458601474761963,0,0.13750837921408737
A1LAV7SV0BD6DS,audit,02f319d77d37bf9eaaf4b86183ec8dc92b7e1c817a32398e7e194c022488191c,2.0,40.0,20.0,32.0,1.0,1.0,36.0,18.0,135.0,67.5,0.6607178365480215,0.40654205607476634,173.0,57.0,1.868834809141684,1.791759469228055,1.0,5.0,-1.4459413290023804,-1.632725477218628,-0.18678414821624756,0,0.1286226222416692
A1LFGOMRDJ79O3,audit,02f3e697e8d48d87b19ebb859ebe9e70ab8893c0abe140ddd2c0f0435c661523,5.0,160.0,32.0,33.0,1.0,1.0,144.0,28.8,761.0,152.2,0.49598133871951333,0.1574074074074074,429.0,145.0,3.783162061305125,2.833213344056216,0.0,5.0,-0.7733196020126343,-1.49726140499115,-0.7239418029785156,0,0.14086929687525296
AJA8ABXYA9B5O,audit,02fa9e9193ae477105ad99c96dd3cd265af235895dc9658a8fddfd072ea690e3,3.0,28.0,9.333333333333334,28.0,0.3333333333333333,0.3333333333333333,28.0,9.333333333333334,28.0,9.333333333333334,0.918840579710145,0.7565217391304347,227.0,86.0,2.4559028574581236,1.791759469228055,0.3333333333333333,5.0,-0.6048213243484497,-0.6906397342681885,-0.08581840991973877,0,0.17682728925954044
A2QNXW1P4GWB6,audit,0300a8417707b974af2cedfe8740a9a39988d068324bff7cf0dcb383fb20bd07,2.0,22.0,11.0,13.0,1.0,1.0,22.0,11.0,22.0,11.0,0.8869750132908027,0.8686868686868687,172.0,58.0,2.5249280036247685,2.4849066497880004,0.0,5.0,-1.5326110124588013,-1.6917555332183838,-0.15914452075958252,0,0.08530061269002866
A2O4ZBYGBJJL2E,audit,0321fd70aba28fbba085221381b7c868c2afdc33c292ce8840b46cd55eb8e47e,2.0,67.0,33.5,34.0,1.0,1.0,59.0,29.5,274.0,137.0,0.4336381836381836,0.28619528619528617,171.0,59.0,3.4067222997554474,3.2580965380214817,0.0,5.0,-1.6069577932357788,-1.6615688800811768,-0.05461108684539795,0,0.13009837640708888
A31EHS1DUV3Y4C,audit,033cafd95dfc16ac9f5763de86b76ec1d3b1c85b00ba8343584eaa469b0b18cd,3.0,12.0,4.0,12.0,0.3333333333333333,0.3333333333333333,12.0,4.0,12.0,4.0,0.9591836734693877,0.8775510204081632,225.0,87.0,2.7383354775871918,1.9459101490553132,0.3333333333333333,5.0,-1.2610270977020264,-1.389562964439392,-0.12853586673736572,0,0.18857228243413798
A3N752EG18MMZW,audit,0348744754b0058ac9d35e78ad6e1bf2181a1a6e4b678c45b51cb284e779ce84,7.0,194.0,27.714285714285715,34.0,0.8571428571428571,0.8571428571428571,175.0,25.0,1002.0,143.14285714285714,0.5767004021456509,0.11700680272108843,565.0,204.0,2.8553163565231268,1.6094379124341003,0.14285714285714285,5.0,-0.7071208953857422,-1.1272571086883545,-0.4201362133026123,0,0.11659058163544257
A1I3SPGTEDK430,audit,035759b9b4961d68f7cf98491fbac2e65ad31f4dd1e58136d577b5113065dcf7,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,33.0,11.0,0.907563025210084,0.7226890756302521,211.0,88.0,4.241726296709129,3.8066624897703196,0.0,5.0,-1.0459760427474976,-1.127958059310913,-0.08198201656341553,0,0.27755771178245536
A2I6O3SYDQO39E,audit,035c8b6a0af644b16bcdbc4fdacdbb97a8d5ce1e0718fb0f461db94a5dc1b193,8.0,241.0,30.125,33.0,1.0,1.0,217.0,27.125,1332.0,166.5,0.5059499083536709,0.11764705882352941,688.0,232.0,3.0489987977931694,1.6094379124341003,0.125,5.0,-0.7059725522994995,-1.1629350185394287,-0.4569624662399292,0,0.11938003663369226
A2EDYS9VSSEZV4,audit,0362b591d1cbf13199c07f9695989b951f9189985409659964a5896e493bed6b,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,69.0,34.5,0.7774193548387096,0.5548387096774193,138.0,58.0,2.5375869076169133,2.3025850929940455,0.0,5.0,-2.277076244354248,-2.3197250366210938,-0.0426487922668457,0,0.13321526706785533
A1UGPIBPZGWJKF,audit,0369a634e746d2e735eda2d0502fa03757972b4bd75f0363850ca088d6cee099,2.0,51.0,25.5,33.0,1.0,1.0,47.0,23.5,54.0,27.0,0.7642237222757955,0.7049180327868853,170.0,60.0,2.6441335153472676,1.791759469228055,0.5,5.0,-0.3124719560146332,-0.3338983356952667,-0.021426379680633545,0,0.16205468324839423
AN9AZNETN79IK,audit,0370011147604eed62fff4ed2d63ffc739217181672e929908a503fb1733738e,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,63.0,31.5,0.7885906040268457,0.5771812080536913,153.0,58.0,3.835680461595322,3.6109179126442243,0.0,5.0,-1.6755939722061157,-1.7372220754623413,-0.061628103256225586,0,0.22031572562301976
A12CC0H8AWM9YC,audit,0375b447f8163fc40cd858caa77046636060c2552719e3b0e5e1f96a8734746d,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,275.0,91.66666666666667,0.5000616765102875,0.4075829383886256,258.0,87.0,2.705372810536455,1.791759469228055,0.6666666666666666,5.0,-1.1970717906951904,-1.336782693862915,-0.1397109031677246,0,0.16929313813904995
A2ZR42FLIFQNV6,audit,0375df3efca354151c6b41235481a7ced3aa8f0450f1838d4335eba4308b7ec1,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,263.0,131.5,0.3958730158730159,0.38222222222222224,172.0,58.0,2.0871936349478184,1.6094379124341003,0.5,5.0,-0.21244308352470398,-0.2602728307247162,-0.04782974720001221,0,0.11665629802990922
A2PU94CPVXMHPW,audit,03788c55d76d75727ec881564535373c76ec2eac7dd1491ddcfbccd6853af60d,2.0,45.0,22.5,33.0,1.0,1.0,41.0,20.5,61.0,30.5,0.7572940287226002,0.6370370370370371,172.0,58.0,3.5306671834552183,3.0910424533583156,0.0,5.0,-1.4862165451049805,-1.6131317615509033,-0.12691521644592285,0,0.15218866882658055
A2ZORIZD5JTN7H,audit,037d88348b7c2d45b8fa6a8aef6c3c8e749cd486a6b1d023929a47dc85197fa7,6.0,134.0,22.333333333333332,35.0,0.6666666666666666,0.6666666666666666,118.0,19.666666666666668,374.0,62.333333333333336,0.6730967183741963,0.3524590163934426,445.0,176.0,2.4367308570773747,1.791759469228055,0.3333333333333333,5.0,-0.3005719780921936,-0.7577840089797974,-0.45721203088760376,0,0.12172389918721908
A29JZ68RPB0GI5,audit,03a6fecf2b82c09a8d01be22c286476d2233e55a043f9fc49c7f617cefc9e905,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,37.0,18.5,0.8495934959349594,0.6991869918699187,145.0,58.0,1.994492023282137,1.791759469228055,0.5,5.0,-1.4926056861877441,-1.6072028875350952,-0.11459720134735107,0,0.15374675263074386
A3TYMCIQN8ZM0Q,audit,03af7d79a63b34565b845b7de4de014c46f8cb57b9441079f138c0003a3c7f87,2.0,8.0,4.0,8.0,0.5,0.5,8.0,4.0,8.0,4.0,0.956989247311828,0.9139784946236559,150.0,58.0,3.2180751841847135,3.1780538303479453,0.0,5.0,-1.1175564527511597,-1.3809747695922852,-0.2634183168411255,0,0.15373518855099477
A2WMLRWN5GB72K,audit,03dd34afcb0ccc38b42f712b6f37e433554930da7e6024f8d8dbcb5c3467167c,3.0,48.0,16.0,35.0,0.6666666666666666,0.6666666666666666,44.0,14.666666666666666,250.0,83.33333333333333,0.7101230372258409,0.2616822429906542,243.0,89.0,2.7071601249169173,1.791759469228055,0.3333333333333333,5.0,-0.5743564963340759,-0.9843904972076416,-0.4100340008735657,0,0.144420582414759
A1J34B2935KBLV,audit,04064afb73620ea8066b87055f5262b14d611814d6943fe5dc35ee60d69b4719,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,229.0,114.5,0.4659262862083874,0.3346303501945525,172.0,58.0,2.868286148739596,2.3025850929940455,0.0,5.0,-1.8427603244781494,-2.2287909984588623,-0.3860306739807129,0,0.11316939231597704
AZ4XFZ5198FFR,audit,04069ef5c778d5fd927dfe68c09da1f21fd30d56faebbfe1390b398c20a1999f,2.0,67.0,33.5,34.0,1.0,1.0,59.0,29.5,631.0,315.5,0.39335038068581035,0.1277860326894502,171.0,59.0,2.827995905409926,2.5649493574615367,0.0,5.0,-0.9820318222045898,-1.484975814819336,-0.5029439926147461,0,0.07118899642537924
A3BTDFZI3FT6I7,audit,045522214ba86a8c229d8a30cc66b90b139328fe3151d6738e9006d2420cb635,6.0,76.0,12.666666666666666,33.0,0.5,0.5,68.0,11.333333333333334,139.0,23.166666666666668,0.846361065436497,0.48314606741573035,468.0,175.0,2.039110017063681,1.3862943611198906,0.6666666666666666,5.0,-1.7431461811065674,-2.020538568496704,-0.2773923873901367,0,0.14042252611335765
A18761YJV6HI3H,audit,0456c156edeeab49671ff27cc2160328fbbcbaabf5ff26e4ec0572298175a5ee,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,419.0,139.66666666666666,0.4138538906740327,0.2986111111111111,258.0,87.0,3.1358501804212957,1.9459101490553132,0.3333333333333333,5.0,-0.7155081033706665,-0.8270764350891113,-0.11156833171844482,0,0.1601100959029775
A26QX1SAM87SX9,audit,0461d85ca1cc0bcbcecf9fc81c67081a3bd117747bbf6855349c1787e3dabe9c,3.0,66.0,22.0,33.0,0.6666666666666666,0.6666666666666666,58.0,19.333333333333332,882.0,294.0,0.5882491900647948,0.09287257019438445,220.0,87.0,2.320747821422069,1.791759469228055,0.3333333333333333,5.0,-1.2276691198349,-1.2728580236434937,-0.04518890380859375,0,0.0943346852833311
A1TUE7NMV5XH3N,audit,0464171959d60e7d45d81061958765e3723b0f23a322149e0e1d1f9e85c513aa,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,63.0,31.5,0.7885906040268457,0.5771812080536913,138.0,58.0,2.0948273710132126,1.791759469228055,0.5,5.0,-1.0250219106674194,-1.181643009185791,-0.15662109851837158,0,0.15704611454394724
A3QSNF3WWPQJJZ,audit,0466bce76539b22eae533890a37cea54472b9110ea80ab898f9157175b105e33,10.0,293.0,29.3,33.0,0.9,0.9,261.0,26.1,812.0,81.2,0.6212931952565799,0.1894273127753304,852.0,290.0,2.543985568721985,1.6094379124341003,0.2,5.0,-1.345436453819275,-1.5072473287582397,-0.16181087493896484,0,0.07245927465188064
ANU41GDKJ1EW,audit,046ab9c2cc9196e20b34428843af270cf2db93d94a16c3dad65d98003251faeb,2.0,65.0,32.5,33.0,1.0,1.0,58.0,29.0,105.0,52.5,0.634847031233344,0.5408805031446541,172.0,58.0,3.2001287226544104,1.9459101490553132,0.5,5.0,-0.6298707723617554,-1.0714356899261475,-0.4415649175643921,0,0.21009844484757703
AGALSGEQVJYQO,audit,048eb4d2cea434d87caea4c8609811053dced63913cbb7eb1896c89c7e05b746,12.0,222.0,18.5,34.0,0.75,0.5833333333333334,199.0,16.583333333333332,425.0,35.416666666666664,0.7838041057035036,0.3269961977186312,936.0,350.0,3.1127852287963065,1.3862943611198906,0.08333333333333333,5.0,-0.06327235698699951,-3.491637706756592,-3.4283652305603027,0,0.10550119187327292
A3V4OD9WI97PEX,audit,04902ee0390f35f87a1182221ced242cf3808246e2c40201e0d3fda07e80b552,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,146.0,58.0,3.3667009459186796,3.044522437723423,0.0,5.0,-0.46630755066871643,-0.2797042429447174,0.18660330772399902,1,0.22581560425309755
