user,split,target,newest_item,oldest_item,sample_hash,history_length,recoverable_sum,recoverable_mean,recoverable_max,recoverable_positive_fraction,recoverable_ge8_fraction,displaced_cf_sum,displaced_cf_mean,metadata_lost_sum,metadata_lost_mean,metadata_retention_mean,metadata_retention_min,current_metadata_visible_sum,current_cf_visible_sum,log1p_popularity_mean,log1p_popularity_min,tail_item_fraction,top_k_similar_item_mean
A3057ZJL1OX1W0,audit,B0090BZBSQ,B004B3BVW8,B0009EP45S,0150e673ca7d424bb8eed3d5abac9b79dcf83beee1340b4e44275b5601ec3a97,18.0,356.0,19.77777777777778,34.0,0.7222222222222222,0.6666666666666666,321.0,17.833333333333332,766.0,42.55555555555556,0.752750129755378,0.26959247648902823,1487.0,526.0,2.5461484820627978,1.6094379124341003,0.2777777777777778,5.0
ALO0F99ZHATEU,audit,B009SE5DRO,B006H3DK7Y,B004M13Z7S,015fb72894dee775312d213224b53ca2226f6797da91a2b7a87c8d9513939f5b,2.0,53.0,26.5,33.0,1.0,1.0,49.0,24.5,56.0,28.0,0.7581193937519333,0.7049180327868853,172.0,58.0,1.844439727056968,1.6094379124341003,0.5,5.0
A3MRYKKPAD40RP,audit,B007U7M0KY,B004QZU244,157982269X,016e0c961d858d9a27c290cb10cc2e8f1e19c860dc71bc7888e036bd532d50c8,10.0,224.0,22.4,34.0,0.8,0.8,200.0,20.0,1044.0,104.4,0.6174349452461889,0.15579710144927536,805.0,294.0,2.7029911571328693,1.0986122886681096,0.3,5.0
A2KMV056844YV2,audit,B00GTCKNYQ,B00BHYVWOG,B006ROJQTE,017ba389bb6981d95a857d3da373d8f19c8eb7b37fa431ed357d683b3486ec83,4.0,133.0,33.25,34.0,1.0,1.0,117.0,29.25,361.0,90.25,0.49481321425809827,0.43434343434343436,342.0,117.0,3.3270031810727394,2.995732273553991,0.0,5.0
A3AVVMEI28N2UJ,audit,B00BG4P5N6,B00B3U7SMO,B0000C5GDL,0188212a5864aa563567a21cd37435cfcc77d1126a09f587636ee135719760e8,4.0,67.0,16.75,33.0,0.75,0.5,59.0,14.75,156.0,39.0,0.7614309480598047,0.49142857142857144,336.0,116.0,2.477863930546326,1.9459101490553132,0.25,5.0
A3GLWFCP5JIMNN,audit,B007QR95QU,B006D53Q2U,B0039YOK8W,0191a94d7b1a68cb39536fd474a795d97f5a5fdc902d72481c4d82cb6ac34d0e,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,85.0,28.333333333333332,0.8343079922027291,0.5029239766081871,221.0,87.0,1.8053668007348065,1.6094379124341003,0.6666666666666666,5.0
AZE16AY05PUZ0,audit,B001T3F0J8,B000GX40PW,B006W3TLY0,01a233a04fbbb5384fa755b90c93ed7c09425c51c09536bedcf9cf6a4b6728ae,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,134.0,59.0,2.5619819897016294,2.0794415416798357,0.0,5.0
A1KDCEBDE9BF2A,audit,B00A88E8NE,B00A88DS94,B000WNUU6Y,01a433452c3f39beca5eba40f51bb700ec8b9cffde62d601dc9dbdc587734c58,5.0,97.0,19.4,34.0,0.8,0.8,90.0,18.0,100.0,20.0,0.8240314548428511,0.6967213114754098,401.0,146.0,2.9285761783654283,2.4849066497880004,0.0,5.0
A354BXXZVZN1DD,audit,B000J3ZVMK,B0038ZN4KC,B000GZCBFG,01a757ceb751be4f93c61a2e2ec5e0d3b9ef7b977110a52c3e09144241a6d5c9,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,43.0,14.333333333333334,0.8888888888888888,0.6666666666666666,238.0,87.0,2.891398980075301,2.5649493574615367,0.0,5.0
A2UDY2FIZCVTTN,audit,B001PIJEBW,B00061MJZ2,B001Q6U0T8,01bc899e5f0cf96737b1de6ff19086ccf6d62fde80a25b4a723ac51382710e50,4.0,132.0,33.0,33.0,1.0,1.0,116.0,29.0,609.0,152.25,0.41206989356518725,0.23626373626373626,343.0,116.0,2.7680230532560683,2.197224577336219,0.0,5.0
A2SJTRA46IB0IH,audit,B006ZJHKA8,B00068Q7LC,B004S65XRW,01c05293bc94afa7cb4545235d453091c2bd332c68727771c5c5e559e76c2934,4.0,33.0,8.25,33.0,0.25,0.25,29.0,7.25,212.0,53.0,0.8221476510067114,0.28859060402684567,307.0,116.0,3.445484565605667,1.6094379124341003,0.25,5.0
A1OX93IPAKL23R,audit,B000F8XF8Q,B000AS2AL4,B00000IV8D,01c6635041d17d0c0b933a08b21d2b59a6a3fc8320c3ca214e17e935e308f797,2.0,44.0,22.0,33.0,1.0,1.0,40.0,20.0,132.0,66.0,0.6510284376711988,0.41545893719806765,172.0,58.0,3.261046399085076,2.995732273553991,0.0,5.0
A27FYNIJC7T58I,audit,B00A8UT58K,B00804BE9E,B007J3FBKU,01da5063458a04926bf00f970de08121207ea48fc406f308151c72040ef0cc6d,4.0,41.0,10.25,33.0,0.5,0.5,37.0,9.25,262.0,65.5,0.7919586983729662,0.2529411764705882,287.0,116.0,2.5542093429341213,1.0986122886681096,0.5,5.0
A3GBRY8W4MIZAM,audit,B0083TXUZM,B000QUZE50,B000GL1EEE,01e35a21e788aab703af66555e3fa9300c2b6a95338d926f61921bfcc146c22e,2.0,34.0,17.0,34.0,0.5,0.5,30.0,15.0,103.0,51.5,0.726063829787234,0.4521276595744681,140.0,59.0,2.470821211304652,1.9459101490553132,0.5,5.0
A351EURUGWPUUA,audit,B0002BSTY6,B0002L9HQU,B000096QNK,01f2048e61e36ce46179d2f805985b063283bfe595f1a7cab9bdf3b51d72b506,3.0,92.0,30.666666666666668,33.0,1.0,1.0,84.0,28.0,641.0,213.66666666666666,0.4785663279798973,0.1376,259.0,86.0,2.9948978968146176,1.791759469228055,0.3333333333333333,5.0
A6U5RO3NVNJ8E,audit,B002M28AOW,B0006NVX2A,B001E1MU16,01ff8aea253cdfe9ed35f1491e8fe86cb26fa2f25317f0ef799cd837c35c122a,7.0,166.0,23.714285714285715,34.0,0.7142857142857143,0.7142857142857143,146.0,20.857142857142858,502.0,71.71428571428571,0.6466274325475657,0.315018315018315,581.0,204.0,2.6561333975584778,1.791759469228055,0.42857142857142855,5.0
A2F9I7CI9GWANO,audit,B006X9KUL6,B000N5QNSK,B003EGQ5JC,0205c9dd8a029d34fc3e4a0ec29634bff2299f642907bff53d599f10f6339bd5,11.0,114.0,10.363636363636363,33.0,0.45454545454545453,0.45454545454545453,106.0,9.636363636363637,250.0,22.727272727272727,0.8605311873965888,0.4187192118226601,822.0,319.0,3.098878715661141,1.791759469228055,0.18181818181818182,5.0
A3339OATDLL33V,audit,B008IZH2M8,B0063D7YSO,B002SXMH58,0211c3edf6905f2f5bc668c8312dd5d59b2513265c7d2d76d5487571ad0d12ed,3.0,53.0,17.666666666666668,33.0,0.6666666666666666,0.6666666666666666,49.0,16.333333333333332,139.0,46.333333333333336,0.7436109832796441,0.4195121951219512,258.0,87.0,2.17598597254085,1.3862943611198906,0.3333333333333333,5.0
A1SHME7L3P78X3,audit,B000067QC0,B009K54T5S,B0096NCVAE,0253f104e201940629e283d56bf13d43f2e23151589509c3497b2653dfcc4a1b,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,166.0,83.0,0.5193496515990709,0.44559585492227977,172.0,58.0,1.7005986908310775,1.6094379124341003,1.0,5.0
A3BA4F1E2PGRCC,audit,B0080IX4NO,B004S6A1QK,B000EUKRY0,0255e7c073fc733a2d6d458cefdd6875159048eb42891a8756265bf633a50cea,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,475.0,158.33333333333334,0.395175733072179,0.26959247648902823,257.0,87.0,3.438355753881382,1.9459101490553132,0.3333333333333333,5.0
A26Y0SMLXSNVG7,audit,B002APFT8G,B001B2TZV6,B000BY3TKS,02853727b9b3dc3ea2998d9497706e40736a63f65366b30704065a8ee8181b16,3.0,78.0,26.0,33.0,1.0,1.0,74.0,24.666666666666668,108.0,36.0,0.7217220772931411,0.5771812080536913,258.0,87.0,3.403657417428029,2.833213344056216,0.0,5.0
A1CANGVKCCXCHG,audit,B0037KL7SE,B00005BZM6,B000FEP8JY,029dc1ba4849174f8afcf39d904be423ff727e4421e154edabfcb05683b2bb8d,3.0,53.0,17.666666666666668,33.0,0.6666666666666666,0.6666666666666666,49.0,16.333333333333332,63.0,21.0,0.8259958071278826,0.6666666666666666,253.0,87.0,2.9376144778390647,2.0794415416798357,0.0,5.0
A39UYY0LJ6IO6Z,audit,B0027CS7OK,B001W30D2O,B00005RF5C,02c210c209f93875c35e2b5393f95fd2c86fd77a7caf0fbeb202bb2d896904ee,6.0,98.0,16.333333333333332,33.0,0.6666666666666666,0.5,90.0,15.0,235.0,39.166666666666664,0.7828082848380976,0.36134453781512604,450.0,175.0,4.154700006043179,1.791759469228055,0.16666666666666666,5.0
A1XJ9EVMRATYBN,audit,B0050OTMAA,B004KZCFKE,B000087L1K,02d5083f9160ec6341d63f98698b7f33c8b319da8d8e03519ba0692753a23bca,9.0,212.0,23.555555555555557,35.0,0.7777777777777778,0.7777777777777778,188.0,20.88888888888889,576.0,64.0,0.6615553241077367,0.29577464788732394,752.0,263.0,2.9181000654496887,1.9459101490553132,0.1111111111111111,5.0
A29XK5H3AA5S01,audit,B003U4A12U,B0025W1KP0,B00008BFZH,02e1d16526de195a18053381276be0b46f7444af0d1fd93ff44af779b520ff21,14.0,251.0,17.928571428571427,33.0,0.6428571428571429,0.6428571428571429,228.0,16.285714285714285,469.0,33.5,0.7856797638970295,0.36909871244635195,1081.0,407.0,2.906027244260066,1.791759469228055,0.07142857142857142,5.0
A3DURFM75XV494,audit,B00C74HY88,B00C74HWSU,B0083TXXIQ,02e50d643fb5a2b5b0ff48adca4cb195e9238ec224ff8f7c92aa953c04c42373,3.0,66.0,22.0,33.0,0.6666666666666666,0.6666666666666666,58.0,19.333333333333332,566.0,188.66666666666666,0.49020131242353465,0.2123456790123457,257.0,87.0,2.671445245766474,1.9459101490553132,0.3333333333333333,5.0
A1LAV7SV0BD6DS,audit,B0023TEEU8,B000NVBF0A,B004MWLGQE,02f319d77d37bf9eaaf4b86183ec8dc92b7e1c817a32398e7e194c022488191c,2.0,40.0,20.0,32.0,1.0,1.0,36.0,18.0,135.0,67.5,0.6607178365480215,0.40654205607476634,173.0,57.0,1.868834809141684,1.791759469228055,1.0,5.0
A1LFGOMRDJ79O3,audit,B000ETRENS,B000ETRENI,B00000IW2S,02f3e697e8d48d87b19ebb859ebe9e70ab8893c0abe140ddd2c0f0435c661523,5.0,160.0,32.0,33.0,1.0,1.0,144.0,28.8,761.0,152.2,0.49598133871951333,0.1574074074074074,429.0,145.0,3.783162061305125,2.833213344056216,0.0,5.0
AJA8ABXYA9B5O,audit,B0038AI0PQ,B002743856,B0013NG3OK,02fa9e9193ae477105ad99c96dd3cd265af235895dc9658a8fddfd072ea690e3,3.0,28.0,9.333333333333334,28.0,0.3333333333333333,0.3333333333333333,28.0,9.333333333333334,28.0,9.333333333333334,0.918840579710145,0.7565217391304347,227.0,86.0,2.4559028574581236,1.791759469228055,0.3333333333333333,5.0
A2QNXW1P4GWB6,audit,B00160240M,B000OV0X4S,B0001H09F8,0300a8417707b974af2cedfe8740a9a39988d068324bff7cf0dcb383fb20bd07,2.0,22.0,11.0,13.0,1.0,1.0,22.0,11.0,22.0,11.0,0.8869750132908027,0.8686868686868687,172.0,58.0,2.5249280036247685,2.4849066497880004,0.0,5.0
A2O4ZBYGBJJL2E,audit,B0013JPVN8,B00007GCYP,B0000669DR,0321fd70aba28fbba085221381b7c868c2afdc33c292ce8840b46cd55eb8e47e,2.0,67.0,33.5,34.0,1.0,1.0,59.0,29.5,274.0,137.0,0.4336381836381836,0.28619528619528617,171.0,59.0,3.4067222997554474,3.2580965380214817,0.0,5.0
A31EHS1DUV3Y4C,audit,B00000K3BR,B001TR0742,B0000AZAL6,033cafd95dfc16ac9f5763de86b76ec1d3b1c85b00ba8343584eaa469b0b18cd,3.0,12.0,4.0,12.0,0.3333333333333333,0.3333333333333333,12.0,4.0,12.0,4.0,0.9591836734693877,0.8775510204081632,225.0,87.0,2.7383354775871918,1.9459101490553132,0.3333333333333333,5.0
A3N752EG18MMZW,audit,B00CN8AGE2,B007U7M0KE,B003F82NTK,0348744754b0058ac9d35e78ad6e1bf2181a1a6e4b678c45b51cb284e779ce84,7.0,194.0,27.714285714285715,34.0,0.8571428571428571,0.8571428571428571,175.0,25.0,1002.0,143.14285714285714,0.5767004021456509,0.11700680272108843,565.0,204.0,2.8553163565231268,1.6094379124341003,0.14285714285714285,5.0
A1I3SPGTEDK430,audit,B007XPLI56,B007J3F98O,B001BKX0V4,035759b9b4961d68f7cf98491fbac2e65ad31f4dd1e58136d577b5113065dcf7,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,33.0,11.0,0.907563025210084,0.7226890756302521,211.0,88.0,4.241726296709129,3.8066624897703196,0.0,5.0
A2I6O3SYDQO39E,audit,B00284C4FA,B0024H7OF6,B000EPFFJC,035c8b6a0af644b16bcdbc4fdacdbb97a8d5ce1e0718fb0f461db94a5dc1b193,8.0,241.0,30.125,33.0,1.0,1.0,217.0,27.125,1332.0,166.5,0.5059499083536709,0.11764705882352941,688.0,232.0,3.0489987977931694,1.6094379124341003,0.125,5.0
A2EDYS9VSSEZV4,audit,B004PBLXP6,B00CTUEQ68,B003UV9MGO,0362b591d1cbf13199c07f9695989b951f9189985409659964a5896e493bed6b,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,69.0,34.5,0.7774193548387096,0.5548387096774193,138.0,58.0,2.5375869076169133,2.3025850929940455,0.0,5.0
A1UGPIBPZGWJKF,audit,B000GKW73C,B000EK59H0,B004U8SENI,0369a634e746d2e735eda2d0502fa03757972b4bd75f0363850ca088d6cee099,2.0,51.0,25.5,33.0,1.0,1.0,47.0,23.5,54.0,27.0,0.7642237222757955,0.7049180327868853,170.0,60.0,2.6441335153472676,1.791759469228055,0.5,5.0
AN9AZNETN79IK,audit,B0045H0OWS,B00428LJ06,B000GZGE3Q,0370011147604eed62fff4ed2d63ffc739217181672e929908a503fb1733738e,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,63.0,31.5,0.7885906040268457,0.5771812080536913,153.0,58.0,3.835680461595322,3.6109179126442243,0.0,5.0
A12CC0H8AWM9YC,audit,B00020V59S,B0015AM26E,B000OT2816,0375b447f8163fc40cd858caa77046636060c2552719e3b0e5e1f96a8734746d,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,275.0,91.66666666666667,0.5000616765102875,0.4075829383886256,258.0,87.0,2.705372810536455,1.791759469228055,0.6666666666666666,5.0
A2ZR42FLIFQNV6,audit,B00875JE0C,B005E7A3OM,B007ZM9HV4,0375df3efca354151c6b41235481a7ced3aa8f0450f1838d4335eba4308b7ec1,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,263.0,131.5,0.3958730158730159,0.38222222222222224,172.0,58.0,2.0871936349478184,1.6094379124341003,0.5,5.0
A2PU94CPVXMHPW,audit,B00030EP4E,B000F9IV8Y,B00005RF5G,03788c55d76d75727ec881564535373c76ec2eac7dd1491ddcfbccd6853af60d,2.0,45.0,22.5,33.0,1.0,1.0,41.0,20.5,61.0,30.5,0.7572940287226002,0.6370370370370371,172.0,58.0,3.5306671834552183,3.0910424533583156,0.0,5.0
A2ZORIZD5JTN7H,audit,B00435NYYW,B0041EPJUW,B004SN4OY8,037d88348b7c2d45b8fa6a8aef6c3c8e749cd486a6b1d023929a47dc85197fa7,6.0,134.0,22.333333333333332,35.0,0.6666666666666666,0.6666666666666666,118.0,19.666666666666668,374.0,62.333333333333336,0.6730967183741963,0.3524590163934426,445.0,176.0,2.4367308570773747,1.791759469228055,0.3333333333333333,5.0
A29JZ68RPB0GI5,audit,B003WMC6U0,B000E5VEBA,B001KALXR8,03a6fecf2b82c09a8d01be22c286476d2233e55a043f9fc49c7f617cefc9e905,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,37.0,18.5,0.8495934959349594,0.6991869918699187,145.0,58.0,1.994492023282137,1.791759469228055,0.5,5.0
A3TYMCIQN8ZM0Q,audit,B001RNC1EM,B000NQMAFO,B00063FE66,03af7d79a63b34565b845b7de4de014c46f8cb57b9441079f138c0003a3c7f87,2.0,8.0,4.0,8.0,0.5,0.5,8.0,4.0,8.0,4.0,0.956989247311828,0.9139784946236559,150.0,58.0,3.2180751841847135,3.1780538303479453,0.0,5.0
A2WMLRWN5GB72K,audit,B005IGU9IE,B0058NTJSI,B002C4BAHO,03dd34afcb0ccc38b42f712b6f37e433554930da7e6024f8d8dbcb5c3467167c,3.0,48.0,16.0,35.0,0.6666666666666666,0.6666666666666666,44.0,14.666666666666666,250.0,83.33333333333333,0.7101230372258409,0.2616822429906542,243.0,89.0,2.7071601249169173,1.791759469228055,0.3333333333333333,5.0
A1J34B2935KBLV,audit,B0051GQVSI,B0030IG0C6,B00DPK11Y6,04064afb73620ea8066b87055f5262b14d611814d6943fe5dc35ee60d69b4719,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,229.0,114.5,0.4659262862083874,0.3346303501945525,172.0,58.0,2.868286148739596,2.3025850929940455,0.0,5.0
AZ4XFZ5198FFR,audit,B002X3VIDU,B002MUANJE,B002M78DSK,04069ef5c778d5fd927dfe68c09da1f21fd30d56faebbfe1390b398c20a1999f,2.0,67.0,33.5,34.0,1.0,1.0,59.0,29.5,631.0,315.5,0.39335038068581035,0.1277860326894502,171.0,59.0,2.827995905409926,2.5649493574615367,0.0,5.0
A3BTDFZI3FT6I7,audit,B0024FY8BG,B005XVCS3S,B000ICZ8RK,045522214ba86a8c229d8a30cc66b90b139328fe3151d6738e9006d2420cb635,6.0,76.0,12.666666666666666,33.0,0.5,0.5,68.0,11.333333333333334,139.0,23.166666666666668,0.846361065436497,0.48314606741573035,468.0,175.0,2.039110017063681,1.3862943611198906,0.6666666666666666,5.0
A18761YJV6HI3H,audit,B0007YDBLE,1589781244,0975277324,0456c156edeeab49671ff27cc2160328fbbcbaabf5ff26e4ec0572298175a5ee,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,419.0,139.66666666666666,0.4138538906740327,0.2986111111111111,258.0,87.0,3.1358501804212957,1.9459101490553132,0.3333333333333333,5.0
A26QX1SAM87SX9,audit,B0051GTQVW,B002PIAUYG,B0013HD9AC,0461d85ca1cc0bcbcecf9fc81c67081a3bd117747bbf6855349c1787e3dabe9c,3.0,66.0,22.0,33.0,0.6666666666666666,0.6666666666666666,58.0,19.333333333333332,882.0,294.0,0.5882491900647948,0.09287257019438445,220.0,87.0,2.320747821422069,1.791759469228055,0.3333333333333333,5.0
A1TUE7NMV5XH3N,audit,B006CD32IG,B00ATA2SUQ,B006O6ECZS,0464171959d60e7d45d81061958765e3723b0f23a322149e0e1d1f9e85c513aa,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,63.0,31.5,0.7885906040268457,0.5771812080536913,138.0,58.0,2.0948273710132126,1.791759469228055,0.5,5.0
A3QSNF3WWPQJJZ,audit,B000QE02RG,B001ODA2Q4,B006WZLCZ4,0466bce76539b22eae533890a37cea54472b9110ea80ab898f9157175b105e33,10.0,293.0,29.3,33.0,0.9,0.9,261.0,26.1,812.0,81.2,0.6212931952565799,0.1894273127753304,852.0,290.0,2.543985568721985,1.6094379124341003,0.2,5.0
ANU41GDKJ1EW,audit,B005E7A21Q,B005E7A216,B002M78DSU,046ab9c2cc9196e20b34428843af270cf2db93d94a16c3dad65d98003251faeb,2.0,65.0,32.5,33.0,1.0,1.0,58.0,29.0,105.0,52.5,0.634847031233344,0.5408805031446541,172.0,58.0,3.2001287226544104,1.9459101490553132,0.5,5.0
AGALSGEQVJYQO,audit,B00D10ELFG,B00CZ3F29Y,B000FGCY8K,048eb4d2cea434d87caea4c8609811053dced63913cbb7eb1896c89c7e05b746,12.0,222.0,18.5,34.0,0.75,0.5833333333333334,199.0,16.583333333333332,425.0,35.416666666666664,0.7838041057035036,0.3269961977186312,936.0,350.0,3.1127852287963065,1.3862943611198906,0.08333333333333333,5.0
A3V4OD9WI97PEX,audit,B00AHAJ8TC,B002L3TS5M,B000REI1FU,04902ee0390f35f87a1182221ced242cf3808246e2c40201e0d3fda07e80b552,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,146.0,58.0,3.3667009459186796,3.044522437723423,0.0,5.0
AO1HIVTUCQZQ2,audit,B0027CS7D6,B001GUFOVS,B000ETRENI,04a3891787a20f9f7c6d87ab66e5af0ebe3c2fc7a6b6149d828771573b261a29,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,455.0,227.5,0.5787037037037037,0.1574074074074074,154.0,58.0,3.451873628792299,1.791759469228055,0.5,5.0
A160G57GQ4WNUX,audit,B0038LYVVM,B00004WHO4,B001NVAEM4,04b5a6e4ab1f9fc2abb70556d7a3527fd8c8f25adeb834e65d32e9ffd8f76843,2.0,5.0,2.5,5.0,0.5,0.0,5.0,2.5,5.0,2.5,0.9725274725274725,0.945054945054945,139.0,58.0,2.6235120360802426,2.3025850929940455,0.0,5.0
AP8ZD9MU4UP9C,audit,B00BJ90LC8,B00428B7PI,B00005BZKD,04bc11ce411c3eec8f307895a1759ad8c520f87378cd38fdb150b685fe41672c,9.0,140.0,15.555555555555555,34.0,0.5555555555555556,0.4444444444444444,124.0,13.777777777777779,296.0,32.888888888888886,0.7912479475072796,0.49411764705882355,673.0,264.0,2.5030924169404325,1.6094379124341003,0.3333333333333333,5.0
A2SD1Z4OROY538,audit,B006WREUQU,B00DPGV320,1933318465,04c7ddaa911b30a090b1172fe05031d3f5fad25529c45442bc342297628163bb,13.0,364.0,28.0,34.0,0.8461538461538461,0.8461538461538461,320.0,24.615384615384617,2193.0,168.69230769230768,0.5416774564585899,0.09587513935340022,1049.0,378.0,3.2902597272501786,2.5649493574615367,0.0,5.0
A1MK0UA8UDSMRW,audit,B007EA6PKS,B004UU83IC,B000B74E9A,04c9c08a6151b404af65b9309f1ff3ba5c8fa0fb7ebdadc30f6b70eaf98f80dc,3.0,50.0,16.666666666666668,33.0,0.6666666666666666,0.6666666666666666,46.0,15.333333333333334,147.0,49.0,0.7443665348196092,0.39814814814814814,233.0,87.0,2.882740484607547,2.3025850929940455,0.0,5.0
