sample_key,target_group,GRAM_rank,GRAM_Recall@10,GRAM_NDCG@10,GRAM_Recall@50,GRAM_covered,CET_v1_rank,CET_v1_Recall@10,CET_v1_NDCG@10,CET_v1_Recall@50,CET_v1_covered,GACR_v3_rank,GACR_v3_Recall@10,GACR_v3_NDCG@10,GACR_v3_Recall@50,GACR_v3_covered,CET_v1_GACR_v3_rank,CET_v1_GACR_v3_Recall@10,CET_v1_GACR_v3_NDCG@10,CET_v1_GACR_v3_Recall@50,CET_v1_GACR_v3_covered
A1ANGZHT7AREKW:validation:B00APT9RD2,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1ARHKGXZ763ZD:validation:B000IJBHOQ,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1AYOQVJ9O9WCZ:validation:B004S6DWDY,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1BK60GZ4QME6I:validation:B00CG0CL1S,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,83,0.0,0.0,0.0,1,,0.0,0.0,0.0,0
A1BM8DQ5745A4A:validation:B000N5QNSK,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1BSHQ62UXGYM6:validation:B0012BQ622,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1BXJESOHCHCGB:validation:B00CE3JGJW,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1BYEHRTUTXU2E:validation:B008JNPBYK,head,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1
A1C2XTGPX554F9:validation:B00005ME51,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1C5IG1QOOW3GS:validation:B002LK0MFK,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CAA0683A5MLQ:validation:B0082HP6IY,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CD2GFKM552DU:validation:B006Z78LBW,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CMSADPDOOQO1:validation:B009EUUYYY,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CPWYYIHDH2JM:validation:B002ZCZ0F6,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CQ2LJA3XU7UM:validation:B007XVYOM4,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CQNMWWIA9YMC:validation:B00000JIVS,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CW14VRM5U5DK:validation:B0011WJAW0,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1CZ052BOS0DZI:validation:B00008ZCEF,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1D0APMZUU1MYX:validation:B0006M9LSO,tail,20,0.0,0.0,1.0,1,20,0.0,0.0,1.0,1,28,0.0,0.0,1.0,1,27,0.0,0.0,1.0,1
A1D4IZD9SJ56Q5:validation:B004ZAKI1M,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1DSNDU1A7CIXG:validation:B00CFELU2G,head,23,0.0,0.0,1.0,1,12,0.0,0.0,1.0,1,16,0.0,0.0,1.0,1,8,1.0,0.31546487678572877,1.0,1
A1DXLFDS7364SM:validation:B00CYFFQEE,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1DYNPMN54DP1B:validation:B00CKH6AGE,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1E5PDFCSVQTU9:validation:B007B40UXU,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1EBGQURP973TL:validation:B0051GTQVW,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1EEU4LS61USRA:validation:B008C0O55G,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1EFBLQG6XB271:validation:B003U2NEKS,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1EJ8GMQGLH8UM:validation:B00AAOJ142,head,1,1.0,1.0,1.0,1,2,1.0,0.6309297535714575,1.0,1,1,1.0,1.0,1.0,1,2,1.0,0.6309297535714575,1.0,1
A1EP25KXN2867V:validation:B00000JHXB,head,2,1.0,0.6309297535714575,1.0,1,2,1.0,0.6309297535714575,1.0,1,2,1.0,0.6309297535714575,1.0,1,2,1.0,0.6309297535714575,1.0,1
A1EPK0LGFR1PCP:validation:B0015RYW92,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1EWDG4CAYKX3M:validation:B001539JEO,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1EZK00JFTM76Y:validation:B000096QNK,head,23,0.0,0.0,1.0,1,29,0.0,0.0,1.0,1,29,0.0,0.0,1.0,1,40,0.0,0.0,1.0,1
A1F7IP6EJ5DOR1:validation:B000ESZQSE,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1FRUIJXY2NMRI:validation:B009VE38D2,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1FVTVVGKBREAJ:validation:B001U2BBAU,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1G3ZHC1SU2U82:validation:B000GBPCNS,tail,7,1.0,0.3333333333333333,1.0,1,7,1.0,0.3333333333333333,1.0,1,7,1.0,0.3333333333333333,1.0,1,6,1.0,0.3562071871080222,1.0,1
A1GCC33SRWJD4S:validation:B002SXMH3K,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1GHUN5HXMHZ89:validation:B000GL1BHO,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1H4UOLIVTLSGT:validation:B002GPH20I,tail,1,1.0,1.0,1.0,1,3,1.0,0.5,1.0,1,1,1.0,1.0,1.0,1,3,1.0,0.5,1.0,1
A1H88L8X6HM1BQ:validation:B00BBLI5CC,head,5,1.0,0.38685280723454163,1.0,1,10,1.0,0.2890648263178879,1.0,1,4,1.0,0.43067655807339306,1.0,1,9,1.0,0.3010299956639812,1.0,1
A1HGWDVO2XQR6H:validation:B004S6A1QK,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1HH10XZJ9O7DJ:validation:B008N46CKW,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1HSO4GII3EF70:validation:B000S1CF5E,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1HT32KOXCP9U2:validation:B000IBESLS,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1IL6W1NK05UW9:validation:B001446E4W,head,16,0.0,0.0,1.0,1,16,0.0,0.0,1.0,1,14,0.0,0.0,1.0,1,13,0.0,0.0,1.0,1
A1ILMKZKYBNCIC:validation:B001EO1T74,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1IMICKM2I4C0X:validation:B0037UP960,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1IO5LT9GDXO8V:validation:B005VPFQ8U,tail,3,1.0,0.5,1.0,1,3,1.0,0.5,1.0,1,3,1.0,0.5,1.0,1,3,1.0,0.5,1.0,1
A1ITPW3I1F436D:validation:B00BQYR0N4,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1IWRDCOOTPR03:validation:B006ZVOJ1Y,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1J9T48L93OAKW:validation:B005DOK62U,tail,50,0.0,0.0,1.0,1,49,0.0,0.0,1.0,1,46,0.0,0.0,1.0,1,46,0.0,0.0,1.0,1
A1JI317V2CUPEO:validation:B00CI6J20S,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1JKOJOCNVKZ63:validation:B00AJCNC9K,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1JLNRJZF6CLHZ:validation:B00A8UT55I,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1JPHA7OWQLSFZ:validation:B001UBG07K,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1JU8QP4G78DQE:validation:B0034G4FPS,tail,28,0.0,0.0,1.0,1,32,0.0,0.0,1.0,1,21,0.0,0.0,1.0,1,24,0.0,0.0,1.0,1
A1KBD1HD8A5B6U:validation:B004KKX814,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1KDCEBDE9BF2A:validation:B00A88G6M0,tail,14,0.0,0.0,1.0,1,10,1.0,0.2890648263178879,1.0,1,9,1.0,0.3010299956639812,1.0,1,5,1.0,0.38685280723454163,1.0,1
A1KDM0N4UCEPHA:validation:B00ECV4YRS,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1KOBZ4KTHAT5U:validation:B000EUKRY0,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1KRHZIDN2LWPU:validation:B0053FXGUI,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1L4LGCTH6YX7E:validation:B002RR1MVK,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1LDOXHRQ1RX9E:validation:B00GUABROM,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1LM8GPERSYQ3E:validation:B0015KEB2M,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1LP3NYDYTQ81V:validation:B00499CVBE,head,26,0.0,0.0,1.0,1,25,0.0,0.0,1.0,1,39,0.0,0.0,1.0,1,15,0.0,0.0,1.0,1
A1LS3S19JPYUNZ:validation:B003WFFFRI,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,55,0.0,0.0,0.0,1,85,0.0,0.0,0.0,1
A1LT3LY3YSZ5DL:validation:B005CWGJ6K,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1LUK8APLC16WK:validation:B000G334Z4,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1M088YNBY4U:validation:B00E571HLK,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1M1ZZCMOH111Y:validation:B002SQW38Q,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1M3KXZS22KQNG:validation:B0006MY74C,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1M4OV57K2O1ZG:validation:B00CI6J9KG,tail,4,1.0,0.43067655807339306,1.0,1,7,1.0,0.3333333333333333,1.0,1,4,1.0,0.43067655807339306,1.0,1,6,1.0,0.3562071871080222,1.0,1
