sample_key,user_id,target_group,valid_negative_count,hard_negative_count,deficit,minimum_margin,gram_rank,gram_hit50,history_gold_exclusion
A18TLJ8PZ4KYE5:2:B0000YUXI0,A18TLJ8PZ4KYE5,head,97,8,0,0.8459930419921875,1,1,1
A1945HAI443QKR:1:B004O3UE46,A1945HAI443QKR,tail,98,8,1,-0.48288726806640625,24,1,1
A19ACDIQPD3ERF:6:B008DF6XB4,A19ACDIQPD3ERF,tail,97,8,1,-1.6339342594146729,,0,1
A19SDJ2TSSL8HI:23:B002L6PWZO,A19SDJ2TSSL8HI,tail,99,8,1,-2.3121261596679688,,0,1
A19UTUEBWKIZFT:77:B001118AYU,A19UTUEBWKIZFT,tail,97,8,1,-5.39324563741684,,0,1
A19WEEGB05YAZ3:11:B00AAIOP44,A19WEEGB05YAZ3,head,95,8,1,-1.4659117460250854,5,1,1
A19XFJFZ7PRSD2:2:B005KUGUBS,A19XFJFZ7PRSD2,tail,97,8,1,-0.199310302734375,2,1,1
A19ZXIYIL3E6Z:3:B005IHS8KY,A19ZXIYIL3E6Z,head,96,8,1,-2.365970551967621,8,1,1
A1A2OUARTAUEZI:1:B000HRVC5I,A1A2OUARTAUEZI,head,98,8,0,0.29094696044921875,1,1,1
A1AC9O27IEH57H:1:B000OYJ9AO,A1AC9O27IEH57H,head,98,8,1,-2.042396903038025,,0,1
A1AH85DX4XDE4D:2:B0017ZDH52,A1AH85DX4XDE4D,head,97,8,1,-1.5521793365478516,41,1,1
A1AK356546890Q:1:B0027CT5SC,A1AK356546890Q,head,99,8,1,-0.21062850952148438,27,1,1
A1ALAI6G3D4BAC:1:B005MZMET8,A1ALAI6G3D4BAC,tail,99,8,1,-1.4097900390625,,0,1
A1B8Y5EQIAH7D1:4:B000141O6E,A1B8Y5EQIAH7D1,head,96,8,1,-5.486244082450867,,0,1
A1BHYUFWRTEKVP:3:B000O3BDHW,A1BHYUFWRTEKVP,head,99,8,1,-1.32672119140625,,0,1
A1BW9G4M6MZXAE:2:B000Q6D3MA,A1BW9G4M6MZXAE,tail,98,8,1,-0.3174285888671875,14,1,1
A1CI63P473W5RJ:4:B000C235A8,A1CI63P473W5RJ,tail,96,8,1,-2.953292965888977,,0,1
A1CU5O8OPKLZWH:2:B001MWV40U,A1CU5O8OPKLZWH,head,95,8,1,-2.741641640663147,,0,1
A1CWG72R5RLVCR:1:B002BEHQWI,A1CWG72R5RLVCR,tail,98,8,1,-2.4311678409576416,,0,1
A1D7P3HP7TYCJQ:3:B001G0W96G,A1D7P3HP7TYCJQ,tail,96,8,1,-0.4421100616455078,6,1,1
A1DAFWS98LQD2R:2:B001JQLNLY,A1DAFWS98LQD2R,tail,96,8,1,-0.8353347778320312,7,1,1
A1DC1O4VX6AHPP:9:B003XUROEY,A1DC1O4VX6AHPP,head,98,8,1,-1.6290702819824219,11,1,1
A1DF0IT758XAVU:1:B005BF1M10,A1DF0IT758XAVU,head,100,8,1,-2.0266034603118896,,0,1
A1DV7ZGBNFX0Q3:2:B004DKAYUE,A1DV7ZGBNFX0Q3,head,95,8,1,-2.6783599853515625,,0,1
A1E1LEVQ9VQNK:11:B00HSNWXVQ,A1E1LEVQ9VQNK,head,95,8,1,-1.2880630493164062,7,1,1
A1EX5SK2PD0XLC:3:B00639DLV2,A1EX5SK2PD0XLC,head,98,8,1,0.098876953125,1,1,1
A1EZEHP6WTB5DT:1:B006WQF3B2,A1EZEHP6WTB5DT,tail,99,8,1,-1.1377410888671875,,0,1
A1F7YU6O5RU432:96:B00HM6IVXI,A1F7YU6O5RU432,head,91,8,1,-0.7228394746780396,3,1,1
A1FMS5Z62TG910:3:B00014D322,A1FMS5Z62TG910,tail,96,8,1,-1.3775482177734375,2,1,1
A1FPZOHEM55TZ3:2:B00CDWSONS,A1FPZOHEM55TZ3,tail,87,8,1,-8.208547353744507,,0,1
A1GBT4UN2RW7XY:2:B0036Z0HL8,A1GBT4UN2RW7XY,tail,99,8,1,-9.487793326377869,,0,1
A1H07XV8QZV9SL:1:B001B4NBOQ,A1H07XV8QZV9SL,tail,99,8,1,-7.4879549741744995,,0,1
A1H6894P6U0PMY:1:B001OZZTII,A1H6894P6U0PMY,tail,100,8,1,-5.069416284561157,,0,1
A1HF6UHU3YBLTU:2:B002MJG5T2,A1HF6UHU3YBLTU,head,97,8,1,-2.1050949096679688,,0,1
A1HOPKK8E3MIX6:4:B004BD9152,A1HOPKK8E3MIX6,head,96,8,1,-5.411979615688324,,0,1
A1HV54H5CGVX18:3:B00F4TQ49I,A1HV54H5CGVX18,head,95,8,1,-3.4267804622650146,24,1,1
A1HW8AKTZ46Y3I:5:B00AS5GHKO,A1HW8AKTZ46Y3I,tail,88,8,1,-0.8715267181396484,2,1,1
A1I2M9BG7J3BRF:12:B00609D92Q,A1I2M9BG7J3BRF,head,94,8,1,-2.3069859743118286,25,1,1
A1IC0HZ35M0406:10:B0006G2EX4,A1IC0HZ35M0406,tail,94,8,1,-0.9260635375976562,4,1,1
A1IDC728Y0UM6W:6:B0084A5N5K,A1IDC728Y0UM6W,tail,98,8,1,-2.6732863187789917,,0,1
A1IE1KPHDDBJ8A:3:B0048O358S,A1IE1KPHDDBJ8A,tail,95,8,1,-0.4966431260108948,1,1,1
A1IG06T98FQ2IS:4:B00BDM80ZQ,A1IG06T98FQ2IS,tail,99,8,1,-5.2800063490867615,,0,1
A1ILA25D9W6ASF:1:B00507T7XO,A1ILA25D9W6ASF,tail,99,8,1,-2.2636337280273438,,0,1
A1IO9HRIA7ZJGU:1:B0030O3VRW,A1IO9HRIA7ZJGU,head,96,8,1,-0.955001950263977,2,1,1
A1IOJ3D38A6VK2:6:B002AMUICG,A1IOJ3D38A6VK2,tail,98,8,1,0.0153656005859375,,0,1
A1IXGLDMBJAGF5:2:B004DBUAGG,A1IXGLDMBJAGF5,tail,94,8,1,-1.2899932861328125,44,1,1
A1J5W4RL2Q2RNA:3:B00A363EPO,A1J5W4RL2Q2RNA,tail,90,8,1,-1.3706207871437073,33,1,1
A1JOANG98KBFKU:17:B00AE07FQI,A1JOANG98KBFKU,head,98,8,1,-2.862411379814148,18,1,1
A1JS4SXU0QKNTP:1:B002CL6D56,A1JS4SXU0QKNTP,head,99,8,1,-3.438079833984375,,0,1
A1K7KX3ZQW41QA:3:B007JXZ88K,A1K7KX3ZQW41QA,tail,98,8,1,-2.6919479370117188,,0,1
A1K8Z5ANJIO449:5:B000VPPUEA,A1K8Z5ANJIO449,head,98,8,1,-1.8751144409179688,,0,1
A1LL3PF2OD3RUP:1:B00644YNCM,A1LL3PF2OD3RUP,head,99,8,1,-4.400020733475685,,0,1
A1MI1I73Z5J9MI:28:B002R23I76,A1MI1I73Z5J9MI,head,94,8,1,-1.0142974853515625,3,1,1
A1MPQWXSTD511G:3:B00IDWP4IA,A1MPQWXSTD511G,head,94,8,0,1.7466049790382385,1,1,1
A1MU2YMN78CADQ:5:B009GEUOXO,A1MU2YMN78CADQ,tail,99,8,1,-1.8442153930664062,,0,1
A1MUFYWR8YSS74:4:B004DK0UDA,A1MUFYWR8YSS74,head,91,8,0,0.6390684843063354,1,1,1
A1NC9D4XU8SA68:4:B00A73BVP8,A1NC9D4XU8SA68,head,98,8,1,-3.9295042753219604,,0,1
A1NWQUWPMC20MC:2:B001964BDQ,A1NWQUWPMC20MC,tail,97,8,0,3.7422371581196785,1,1,1
A1NZET944GAD05:13:B005P0YLIM,A1NZET944GAD05,tail,97,8,1,-4.945167779922485,,0,1
A1ODOGXEYECQQ8:87:B00JTY6WQ4,A1ODOGXEYECQQ8,head,88,8,1,-1.0232734680175781,7,1,1
A1OS4KPCCWY936:30:B00KQ4PEBU,A1OS4KPCCWY936,tail,82,8,1,-4.487966358661652,43,1,1
A1PPH3OM99MH7Y:6:B006H2ZASC,A1PPH3OM99MH7Y,tail,86,8,1,-0.5083599090576172,10,1,1
A1PSSB1PTAFOS5:5:B005FJQQMC,A1PSSB1PTAFOS5,head,89,8,1,-3.137296676635742,33,1,1
A1PVTKDBIU106M:11:B004MMUGY2,A1PVTKDBIU106M,tail,96,8,1,-4.507751703262329,,0,1
A1Q2D5QJKAAAI8:1:B00CHFRIDS,A1Q2D5QJKAAAI8,tail,97,8,1,-2.283821225166321,15,1,1
A1QFUESF5WSWRV:5:B0030O3VRW,A1QFUESF5WSWRV,head,95,8,1,-1.9233627319335938,,0,1
A1QO88MU0PYJON:3:B001E6G6FC,A1QO88MU0PYJON,head,98,8,1,-1.7297820448875427,11,1,1
A1QU2T6ZKN9ESO:6:B005GMY81O,A1QU2T6ZKN9ESO,tail,94,8,1,-5.450347900390625,,0,1
A1QV5IH6HDRN0L:17:B000WTHKVQ,A1QV5IH6HDRN0L,head,95,8,1,-1.8707429319620132,4,1,1
A1RFTOQJEQY3Q7:3:B000052YMG,A1RFTOQJEQY3Q7,tail,97,8,1,-0.4767913818359375,2,1,1
A1RMA7ATUSZOYB:5:B00IMHN0B4,A1RMA7ATUSZOYB,head,95,8,1,-2.173744320869446,8,1,1
A1ROZSS0KIE0CC:12:B000OV5PEG,A1ROZSS0KIE0CC,tail,95,8,1,-1.9805984497070312,5,1,1
A1RX2N300NHQAF:1:B0089JVEPO,A1RX2N300NHQAF,head,97,8,1,-0.7825736999511719,11,1,1
A1RXSKXU9W0VPK:4:B005QDYH8M,A1RXSKXU9W0VPK,tail,95,8,1,-3.21584290266037,,0,1
A1RZJ25XHIYUBQ:10:B000BIXP5S,A1RZJ25XHIYUBQ,tail,96,8,1,-1.6572723388671875,,0,1
A1T0UERVEUPYSK:7:B000VDUOFM,A1T0UERVEUPYSK,head,96,8,1,-2.3169631958007812,27,1,1
A1T5SIV8M5N7LB:4:B0094DH1RE,A1T5SIV8M5N7LB,tail,98,8,1,-1.2937546372413635,9,1,1
A1TNRVE3TXZIUF:16:B006H2ZASC,A1TNRVE3TXZIUF,tail,88,8,1,-0.3733959197998047,16,1,1
A1TVEXH1NSL633:2:B0047TO1G4,A1TVEXH1NSL633,tail,94,8,1,-3.6506537795066833,11,1,1
A1UGY3RC1TW89:2:B000UPRSKA,A1UGY3RC1TW89,head,98,8,1,-1.3624267578125,19,1,1
A1URMXEEWEQR6V:10:B005FKAQ7M,A1URMXEEWEQR6V,head,94,8,1,-3.4880754947662354,,0,1
A1URXSRV6WDHVY:8:B00AE07932,A1URXSRV6WDHVY,head,93,8,1,-0.44280242919921875,1,1,1
A1V1EP514B5H7Y:14:B000I20Q72,A1V1EP514B5H7Y,head,90,8,1,-1.3558349609375,16,1,1
A1V33XXJBX4W0A:3:B0000YUXI0,A1V33XXJBX4W0A,head,100,8,1,-3.9367979764938354,,0,1
A1V3TRGWOMA8LC:5:B00AE07CPM,A1V3TRGWOMA8LC,head,98,8,1,-3.413109801709652,28,1,1
A1V4ASN9MX9ON5:6:B00DU2MN5U,A1V4ASN9MX9ON5,tail,88,8,1,-0.4148674011230469,18,1,1
A1V5H6GOJ8T2UK:6:B002RXW5BA,A1V5H6GOJ8T2UK,head,93,8,0,0.5259475708007812,32,1,1
A1V5PQCFGWBM1H:3:B000YJ2SKM,A1V5PQCFGWBM1H,head,96,8,1,-1.4510879516601562,,0,1
A1VDX3M5KAZKY7:10:B0013L3XMM,A1VDX3M5KAZKY7,head,92,8,1,-2.792671322822571,,0,1
A1VK6EKINVYAT7:2:B003P904EA,A1VK6EKINVYAT7,head,96,8,1,-2.0427627563476562,4,1,1
A1VOMYIXKOEWH7:4:B000PHRIYE,A1VOMYIXKOEWH7,tail,96,8,0,0.8893051147460938,1,1,1
A1VS1LL905P5L5:1:B009GEUP6A,A1VS1LL905P5L5,head,99,8,1,-1.9641268253326416,50,1,1
A1W31W7O8D5EW:23:B004L5FXIE,A1W31W7O8D5EW,tail,96,8,1,-3.2784273624420166,,0,1
A1W3K6EE5JKY10:2:B0050GPSW4,A1W3K6EE5JKY10,head,95,8,1,-2.281158447265625,,0,1
A1W9OSF4ZWL94R:9:B00FFANXMM,A1W9OSF4ZWL94R,head,93,8,0,0.8962745666503906,1,1,1
A1WKQ94M45D8MG:16:B00A0IWRUI,A1WKQ94M45D8MG,head,96,8,0,0.8787537515163422,1,1,1
A1WMT21SRY3W5J:7:B000BIXP3K,A1WMT21SRY3W5J,tail,98,8,1,-2.4384078979492188,,0,1
A1WP9XISE4N1G2:2:B001B1T2SS,A1WP9XISE4N1G2,head,96,8,1,-2.592907965183258,2,1,1
A1WSC6DTGWT6ZY:1:B00E19GG8Q,A1WSC6DTGWT6ZY,tail,99,8,1,-8.650734066963196,,0,1
A1WSNNOFQZGWBK:2:B0058X0JIM,A1WSNNOFQZGWBK,tail,100,8,1,-2.422881841659546,,0,1
A1X3ESYZ79H59E:84:B00A3Q9LPG,A1X3ESYZ79H59E,head,97,8,1,-2.18539822101593,6,1,1
A1X9Q4I1NUPRHN:6:B0094GFW68,A1X9Q4I1NUPRHN,tail,98,8,1,-1.6437681913375854,2,1,1
A1XCE4QWZ9ZCC2:9:B00AFSJXKU,A1XCE4QWZ9ZCC2,tail,98,8,1,-1.825035035610199,1,1,1
A1XJOSJN6FHFO0:29:B00GBL5GDS,A1XJOSJN6FHFO0,head,90,8,1,-1.421409547328949,2,1,1
A1XURL0P01JA50:1:B0040ZU4ZW,A1XURL0P01JA50,tail,100,8,1,-5.7144129276275635,,0,1
A1Y7JDCPP2ZOPA:3:B001OMI9VA,A1Y7JDCPP2ZOPA,tail,98,8,1,-1.3685798048973083,3,1,1
A1YPWA0MA1XNKG:4:B007X8ZTNK,A1YPWA0MA1XNKG,tail,95,8,1,-1.6020278930664062,,0,1
A1YSA2U70V9E21:6:B005X2F7JY,A1YSA2U70V9E21,head,92,8,0,0.8408240675926208,1,1,1
A1YW778P40UHY1:17:B004NYWR7S,A1YW778P40UHY1,head,99,8,1,-2.0025405883789062,,0,1
A1YYAPEP1NB5IE:2:B002ZASTP6,A1YYAPEP1NB5IE,tail,99,8,1,-1.5421290397644043,,0,1
A1ZPQSWQQQQOD9:16:B000O3OZD6,A1ZPQSWQQQQOD9,head,80,8,1,-1.4225692749023438,5,1,1
A209G57KXCBF4C:1:B00BB8ZHIU,A209G57KXCBF4C,head,98,8,1,-0.8369829654693604,24,1,1
A20HKT7NCHNR65:1:B002SZ7FUI,A20HKT7NCHNR65,tail,99,8,1,-4.683837890625,,0,1
A20L63B48RPSOH:7:B00AE07BI0,A20L63B48RPSOH,head,95,8,0,1.0604057312011719,1,1,1
A20RM3LL5IW5JO:3:B004S3PW76,A20RM3LL5IW5JO,tail,95,8,1,-3.7630269527435303,24,1,1
A21AD2367U712:7:B001G7PU4M,A21AD2367U712,tail,97,8,1,-2.487945795059204,,0,1
A21EDMG94ID7D:8:B001FB5IDW,A21EDMG94ID7D,head,95,8,1,-0.22541415691375732,3,1,1
A21PMXL95F3B0Y:2:B003JCLP6E,A21PMXL95F3B0Y,tail,78,8,1,-6.968593388795853,,0,1
A21RZFSC7L21V7:1:B002DPUY6A,A21RZFSC7L21V7,tail,99,8,1,-3.8363646268844604,,0,1
A21VGNU5959O85:12:B0089JVEPO,A21VGNU5959O85,head,97,8,1,-1.6412849426269531,5,1,1
A22AGOPQYGHN8J:2:B003UMNO6C,A22AGOPQYGHN8J,head,99,8,1,-1.8828964233398438,18,1,1
A22JU70AS1K7CY:1:B000KOO8AY,A22JU70AS1K7CY,tail,99,8,1,-2.632721424102783,,0,1
A22KMCKYE5KQ2X:6:B0039Z7L5A,A22KMCKYE5KQ2X,tail,96,8,1,-3.21063232421875,,0,1
A22QOZZLLIMW6I:6:B007Q0WW0S,A22QOZZLLIMW6I,head,95,8,1,-3.22802734375,19,1,1
A234X1MVIMPMMC:34:B00AWLBACE,A234X1MVIMPMMC,head,94,8,1,-1.4728736877441406,,0,1
A236JWYJ1B0F0Z:2:B008UAIM52,A236JWYJ1B0F0Z,tail,98,8,0,1.3105850219726562,1,1,1
A2394O76GGGTXQ:2:B005K95ZVA,A2394O76GGGTXQ,tail,95,8,1,-0.4969205856323242,2,1,1
A23CX0XCF88SDF:1:B006FRS9O6,A23CX0XCF88SDF,head,85,8,1,-2.0480356216430664,13,1,1
A23LRGXH0BTGFZ:5:B002E0QLP2,A23LRGXH0BTGFZ,tail,94,8,0,0.9854203462600708,1,1,1
A23YAZJ4GB50ND:1:B003UTEE32,A23YAZJ4GB50ND,head,99,8,1,-3.141029119491577,,0,1
A23ZNGL704AW7O:21:B007PAD71M,A23ZNGL704AW7O,head,98,8,1,-6.553027927875519,,0,1
A2420LPFE8TDX9:2:B000R94OGK,A2420LPFE8TDX9,tail,98,8,1,-2.2651442289352417,,0,1
A249LHUAX530KK:3:B000EGSD1S,A249LHUAX530KK,head,98,8,1,-3.740676522254944,,0,1
A249WJKFOGN7BL:1:B001H270RQ,A249WJKFOGN7BL,head,98,8,1,-2.1439915597438812,13,1,1
A24FQNZ2ZCP9UH:1:B009LY2GC6,A24FQNZ2ZCP9UH,tail,98,8,1,-2.67559814453125,,0,1
A24VASNAOK0TY:8:B000SWY05Q,A24VASNAOK0TY,head,97,8,1,-3.1752549409866333,,0,1
A25C2M3QF9G7OQ:63:B00GJYQCB2,A25C2M3QF9G7OQ,tail,92,8,1,-0.7200167179107666,8,1,1
A263N5F8UR9OQT:1:B00A76CPUA,A263N5F8UR9OQT,head,96,8,1,-3.4827805161476135,13,1,1
A264UDLWWRJ7X4:2:B0027CT5SC,A264UDLWWRJ7X4,head,99,8,1,-1.0059251487255096,10,1,1
A269B5XQRUBVKE:1:B001F51T3Q,A269B5XQRUBVKE,head,97,8,1,-0.34609222412109375,,0,1
A27DU9NJ3KHF0F:4:B0006PLPE4,A27DU9NJ3KHF0F,tail,99,8,1,-2.849058210849762,,0,1
A27GH1UFKVNTRP:3:B000NKL3D0,A27GH1UFKVNTRP,tail,97,8,1,-2.1370692253112793,,0,1
A27HGURKO0AN41:4:B000AADEP8,A27HGURKO0AN41,head,99,8,1,-2.5269718170166016,,0,1
A27W1MS30K7HRR:2:B005BF1M10,A27W1MS30K7HRR,head,94,8,1,-1.7286758422851562,15,1,1
A281NPSIMI1C2R:12:B00013YYS0,A281NPSIMI1C2R,head,93,8,1,-1.3989105224609375,7,1,1
A28IBOLVCSQRLQ:52:B0073KABJ0,A28IBOLVCSQRLQ,head,99,8,1,-1.2033233642578125,,0,1
A28UK210Z6SDDR:2:B009JKJMTW,A28UK210Z6SDDR,tail,95,8,1,-4.772512197494507,,0,1
A28UMA3GW9L124:8:B00AE07CRA,A28UMA3GW9L124,head,96,8,1,-1.4191477298736572,7,1,1
A292V24Y5TJIIC:5:B009U9JUK8,A292V24Y5TJIIC,tail,97,8,1,-2.5339813232421875,,0,1
A29MA4EBRF6TGH:4:B0018V1DWE,A29MA4EBRF6TGH,head,97,8,1,-3.3599319458007812,,0,1
A29P65DEEZIEB0:2:B002CML1XE,A29P65DEEZIEB0,head,99,8,1,-3.2486572265625,,0,1
A29R6Z6BX392JM:8:B005J4Y0O4,A29R6Z6BX392JM,tail,89,8,0,0.8966978788375854,4,1,1
A2AK0HGKSKVS41:3:B001GEEQ90,A2AK0HGKSKVS41,head,93,8,1,-0.9313469529151917,12,1,1
A2AYAROS8PYQNG:2:B00703QGQM,A2AYAROS8PYQNG,tail,99,8,1,-1.866554319858551,,0,1
A2BAAKZHSUGCDP:5:B0030DE8F2,A2BAAKZHSUGCDP,tail,93,8,1,-1.2612686157226562,5,1,1
A2BNA9UQTT4SQW:2:B000142JDG,A2BNA9UQTT4SQW,tail,98,8,1,-0.9055252075195312,2,1,1
A2CSUBM1565NGH:4:B00FXXTEVA,A2CSUBM1565NGH,tail,97,8,1,-6.165866136550903,,0,1
A2CT34IY464JX7:3:B0027VCNGO,A2CT34IY464JX7,head,93,8,1,-0.5779380798339844,1,1,1
A2CTFYBE2X2L68:5:B0051PLB6Q,A2CTFYBE2X2L68,tail,96,8,1,-5.8930933475494385,,0,1
A2CZPM110DW516:3:B0017TZD7S,A2CZPM110DW516,head,96,8,1,-0.697281002998352,3,1,1
A2D3SLKUAM2EB8:7:B002RGRJC2,A2D3SLKUAM2EB8,head,96,8,1,-0.6092356443405151,2,1,1
A2DI5CN136ORIV:3:B00ETC25K8,A2DI5CN136ORIV,tail,100,8,1,-2.602729558944702,,0,1
A2DL8J6PWE7QPG:2:B0028K3J8K,A2DL8J6PWE7QPG,head,97,8,1,-4.437708020210266,,0,1
A2DRQX2BLQ3PRK:7:B001S261Q6,A2DRQX2BLQ3PRK,head,95,8,1,-3.3265684843063354,40,1,1
A2DSK65TLOD8LZ:1:B00K2O3NV2,A2DSK65TLOD8LZ,head,99,8,1,-3.905189335346222,29,1,1
A2DYW9Y2D8E43L:2:B007RTR9G0,A2DYW9Y2D8E43L,head,99,8,1,-2.357391357421875,,0,1
A2EBR70V6P9W0N:18:B0034ZHMRW,A2EBR70V6P9W0N,tail,93,8,1,-4.946243405342102,,0,1
A2ECPNF68XBDS4:2:B005L4ULCC,A2ECPNF68XBDS4,tail,90,8,1,-2.501045137643814,4,1,1
A2EP68HH1PXAN3:5:B003RFA4QA,A2EP68HH1PXAN3,tail,92,8,1,-5.675189971923828,,0,1
A2EWHC4E4NJWMI:25:B000ZMBSPE,A2EWHC4E4NJWMI,head,95,8,1,-0.7430267333984375,2,1,1
A2FWDBKX76ILA7:3:B0009OAGRE,A2FWDBKX76ILA7,head,97,8,1,-2.5616225004196167,,0,1
A2GA64WZK8PKBC:15:B00ALV8EL0,A2GA64WZK8PKBC,head,96,8,0,0.19036865234375,1,1,1
A2H1W8V6R9TJ9E:1:B003BJZ1M4,A2H1W8V6R9TJ9E,head,99,8,1,-1.4171218872070312,,0,1
A2HB8OXRKARU0U:2:B002XWZH6A,A2HB8OXRKARU0U,tail,98,8,1,-2.4388734102249146,,0,1
A2HC94UMOSA5IE:1:B002QB52W2,A2HC94UMOSA5IE,tail,97,8,1,-2.3574522733688354,11,1,1
A2HMLVLFUVBB7M:6:B001G52ZHO,A2HMLVLFUVBB7M,head,99,8,1,-3.2096269130706787,,0,1
A2IBPI20UZIR0U:1:B0002EZXUG,A2IBPI20UZIR0U,tail,100,8,1,-1.063690185546875,,0,1
A2IMCR03RE86TW:8:B005DJ5AFS,A2IMCR03RE86TW,tail,97,8,1,-4.3448028564453125,,0,1
A2IMH6HYO4AMFT:3:B001PNFFLK,A2IMH6HYO4AMFT,tail,99,8,1,-2.436721920967102,,0,1
A2JAEZ0FMAMJVW:8:B00A0J09G6,A2JAEZ0FMAMJVW,head,95,8,0,0.36354827880859375,1,1,1
A2JDQ0ZP1JO09P:3:B006L5XS8E,A2JDQ0ZP1JO09P,tail,98,8,1,-0.02878570556640625,1,1,1
A2JQ9LS7ICHJN:2:B00CF5W2D6,A2JQ9LS7ICHJN,tail,98,8,0,0.1540985107421875,1,1,1
A2JZGJNLAZ7XSY:5:B000N94XPQ,A2JZGJNLAZ7XSY,tail,99,8,1,-1.7748565673828125,,0,1
A2K0D19N83G6U2:1:B006QB4BSE,A2K0D19N83G6U2,tail,98,8,1,-1.97686767578125,5,1,1
A2K4HN6EECBNR3:22:B00A0IWSN4,A2K4HN6EECBNR3,head,95,8,1,-1.3939952850341797,8,1,1
A2KMTDXF78JTKR:4:B003V7KWB6,A2KMTDXF78JTKR,head,100,8,1,-3.461372137069702,,0,1
A2KUK2GLJDWAVQ:2:B004GV8H7C,A2KUK2GLJDWAVQ,tail,98,8,1,-3.187713623046875,,0,1
A2L4LUQCMWBFVO:21:B00634TG48,A2L4LUQCMWBFVO,tail,99,8,1,-3.01275634765625,,0,1
A2L7UE9O293Q2W:2:B004DK46XK,A2L7UE9O293Q2W,head,100,8,1,-4.924781680107117,,0,1
A2LJHJB180LIIK:16:B0009RF9OG,A2LJHJB180LIIK,tail,97,8,1,-2.8787920475006104,,0,1
A2LNRXH1S0EH1H:1:B007E2K41W,A2LNRXH1S0EH1H,tail,100,8,1,-2.2072980403900146,,0,1
A2LRUWMWKVBW9Y:1:B001AZPK90,A2LRUWMWKVBW9Y,tail,98,8,1,-0.0244903564453125,2,1,1
A2LXC5ZHHP0WXP:22:B00EA4MHN0,A2LXC5ZHHP0WXP,head,98,8,1,-0.16925811767578125,1,1,1
A2LXIRGXYVBHH0:4:B00008MOQN,A2LXIRGXYVBHH0,head,98,8,1,-1.171234130859375,46,1,1
A2M5PNYYFWSJMD:1:B002G5ULWY,A2M5PNYYFWSJMD,tail,100,8,1,-2.4086227416992188,,0,1
A2MH7UT57OXCSQ:3:B005UKZAJG,A2MH7UT57OXCSQ,head,96,8,0,4.3503797091543674,1,1,1
