item,popularity_train,popularity_stratum,top_k_similar_item,current_link_raw,current_link_visible,current_cf_raw,current_cf_visible,current_cf_lost,current_metadata_raw,current_metadata_visible,current_metadata_lost,metadata_first_cf_raw,metadata_first_cf_visible,metadata_first_cf_lost,metadata_first_metadata_raw,metadata_first_metadata_visible,metadata_first_metadata_lost,recoverable_metadata_tokens,displaced_cf_tokens,current_metadata_retention,current_title_raw,current_title_visible,metadata_first_title_visible,current_brand_raw,current_brand_visible,metadata_first_brand_visible,current_categories_raw,current_categories_visible,metadata_first_categories_visible,current_description_raw,current_description_visible,metadata_first_description_visible,current_price_raw,current_price_visible,metadata_first_price_visible,current_salesrank_raw,current_salesrank_visible,metadata_first_salesrank_visible,current_other_metadata_raw,current_other_metadata_visible,metadata_first_other_metadata_visible
1616613815,8,top50,5,5,5,29,29,0,239,86,153,29,0,29,239,119,120,33,29,0.3598326359832636,9,9,9,5,5,5,9,9,9,197,60,93,5,0,0,9,0,0,0,0,0
161661398X,3,nonzero_bottom50,5,5,5,29,29,0,216,86,130,29,0,29,216,119,97,33,29,0.39814814814814814,6,6,6,5,5,5,9,9,9,178,63,96,4,0,0,9,0,0,0,0,0
1616614471,6,nonzero_bottom50,5,5,5,29,29,0,123,86,37,29,0,29,123,119,4,33,29,0.6991869918699187,11,11,11,5,5,5,10,10,10,80,57,80,4,0,4,8,0,4,0,0,0
1616614609,19,top50,5,5,5,29,29,0,207,86,121,29,0,29,207,119,88,33,29,0.41545893719806765,9,9,9,5,5,5,9,9,9,167,60,93,5,0,0,7,0,0,0,0,0
1616615044,5,nonzero_bottom50,5,5,5,29,29,0,148,86,62,29,0,29,148,119,29,33,29,0.581081081081081,9,9,9,5,5,5,9,9,9,107,60,93,4,0,0,9,0,0,0,0,0
1616615354,17,top50,5,5,5,29,29,0,248,86,162,29,0,29,248,119,129,33,29,0.3467741935483871,20,20,20,5,5,5,9,9,9,196,49,82,5,0,0,8,0,0,0,0,0
1616615362,7,top50,5,5,5,29,29,0,235,86,149,29,0,29,235,119,116,33,29,0.3659574468085106,17,17,17,5,5,5,9,9,9,187,52,85,4,0,0,8,0,0,0,0,0
1616615370,7,top50,5,5,5,29,29,0,202,86,116,29,0,29,202,119,83,33,29,0.42574257425742573,17,17,17,5,5,5,9,9,9,154,52,85,4,0,0,8,0,0,0,0,0
1616615389,6,nonzero_bottom50,5,5,5,29,29,0,245,86,159,29,0,29,245,119,126,33,29,0.3510204081632653,17,17,17,5,5,5,9,9,9,197,52,85,4,0,0,8,0,0,0,0,0
161661658X,3,nonzero_bottom50,5,5,5,29,29,0,176,86,90,29,0,29,176,119,57,33,29,0.48863636363636365,17,17,17,5,5,5,9,9,9,32,32,32,4,0,0,9,0,0,94,19,52
161661675X,7,top50,5,5,5,29,29,0,160,86,74,29,0,29,160,119,41,33,29,0.5375,16,16,16,5,5,5,14,14,14,108,48,81,4,0,0,8,0,0,0,0,0
1616616768,5,nonzero_bottom50,5,5,5,29,29,0,173,86,87,29,0,29,173,119,54,33,29,0.49710982658959535,14,14,14,5,5,5,14,14,14,123,50,83,4,0,0,8,0,0,0,0,0
1616616776,4,nonzero_bottom50,5,5,5,29,29,0,177,86,91,29,0,29,177,119,58,33,29,0.4858757062146893,14,14,14,5,5,5,14,14,14,127,50,83,4,0,0,8,0,0,0,0,0
1616617047,6,nonzero_bottom50,5,5,5,29,29,0,175,86,89,29,0,29,175,119,56,33,29,0.49142857142857144,19,19,19,5,5,5,14,14,14,119,45,78,4,0,0,9,0,0,0,0,0
1616617667,8,top50,5,5,5,29,29,0,300,86,214,29,0,29,300,119,181,33,29,0.2866666666666667,7,7,7,5,5,5,14,14,14,256,57,90,5,0,0,8,0,0,0,0,0
1617680893,7,top50,5,5,5,29,29,0,226,86,140,29,0,29,226,119,107,33,29,0.3805309734513274,10,10,10,5,5,5,9,9,9,184,59,92,5,0,0,8,0,0,0,0,0
1886978018,4,nonzero_bottom50,5,5,5,29,29,0,416,86,330,29,0,29,416,119,297,33,29,0.20673076923076922,19,19,19,5,5,5,9,9,9,366,50,83,4,0,0,8,0,0,0,0,0
1886978034,8,top50,5,5,5,29,29,0,445,86,359,29,0,29,445,119,326,33,29,0.19325842696629214,9,9,9,5,5,5,12,12,12,402,57,90,4,0,0,8,0,0,0,0,0
1892069725,3,nonzero_bottom50,5,5,5,29,29,0,63,63,0,29,29,0,63,63,0,0,0,1.0,7,7,7,5,5,5,15,15,15,18,18,18,4,4,4,9,9,9,0,0,0
192978001X,24,top50,5,5,5,29,29,0,102,86,16,29,13,16,102,102,0,16,16,0.8431372549019608,6,6,6,5,5,5,14,14,14,60,58,60,4,0,4,8,0,8,0,0,0
1929780109,8,top50,5,5,5,29,29,0,195,86,109,29,0,29,195,119,76,33,29,0.441025641025641,5,5,5,5,5,5,9,9,9,158,64,97,4,0,0,9,0,0,0,0,0
1929780664,18,top50,5,5,5,29,29,0,142,86,56,29,0,29,142,119,23,33,29,0.6056338028169014,5,5,5,5,5,5,9,9,9,105,64,97,4,0,0,9,0,0,0,0,0
1929780699,11,top50,5,5,5,29,29,0,279,86,193,29,0,29,279,119,160,33,29,0.30824372759856633,21,21,21,5,5,5,9,9,9,227,48,81,4,0,0,8,0,0,0,0,0
1929780753,7,top50,5,5,5,29,29,0,388,86,302,29,0,29,388,119,269,33,29,0.22164948453608246,8,8,8,5,5,5,9,9,9,233,61,94,5,0,0,9,0,0,113,0,0
1929780907,6,nonzero_bottom50,5,5,5,29,29,0,89,86,3,29,26,3,89,89,0,3,3,0.9662921348314607,5,5,5,5,5,5,9,9,9,52,52,52,4,4,4,9,6,9,0,0,0
1932188126,58,top50,5,5,5,29,29,0,92,86,6,29,23,6,92,92,0,6,6,0.9347826086956522,5,5,5,5,5,5,9,9,9,56,56,56,4,4,4,8,2,8,0,0,0
1932359842,4,nonzero_bottom50,5,5,5,29,29,0,116,86,30,29,0,29,116,116,0,30,29,0.7413793103448276,15,15,15,5,5,5,9,9,9,24,24,24,4,0,4,8,0,8,45,29,45
